Java ScriptEngine : using value on Java side ?	^ ^ , V N P ^ N ,
There's a search site whose search results are generated dynamically by javascript . So the user enters a query , and the site displays the content on the page , without refreshing . I need to grab those search results programmatically ( say from a Java program or a perl / python script ) . So ideally , I can launch my program with 100 queries as user inputs , and then the program would hit that website with each query and spit out on my screen all the search results as returned by the website . The obvious problem is that the site is in javasript instead of simple HTML , so sending a URL request and parsing the resultant output is not going to work ( as the source code for this page is always just a bunch of reference to various . js files ) . Given the above conditions , what are my options ?	Y D N N D N N V V R P ^ , P D N V D N , & D N V D N P D N , P A , O V P V D N N R , V P D ^ N & D ^ , ^ N , , P R , O V V D N P $ N P N N , & R D N V V D N P D N & V T P D N X D N N P V P D N , D A N V P D N V P G R P A ^ , P V D ^ N & V D A N V R V P N , P D N N P D N V R R D N P N P A , ^ N , , V D A N , O V D N ,
Almost all search provider has some APIs , but the free ones impose some constraints about how often can you search , how many times in a day and how many results you get .	R D N N V D ^ , & D A N V D N P R R V O N , R A N P D N & R A N O V ,
This site has no API . And assume there's no limits on how many searches I can do or how often .	D N V D ^ , & V Y D N P R A N O V V & R R ,
Can you give some hints about which site you want to use for searching ? If the search is a local search , you could ask a publicly API-ed search provider to search only within this site .	V O V D N P D N O V P V P V , P D N V D A N , O V V D R A N N P V R P D N ,
Ok . Here's the site : http://tinyurl.com/ley3eh	! , R D N , U
Install Firebug , study the requests that are made by the site's javascript and mimic them in your program . Chances are there is a single request that needs to be made and the resulds would come in some nice form like JSON	V ^ , V D N O V V P D S ^ & V O P D N , N V X V D A N O V P V V & D G V V P D A N P ^
Unless the search provider gives you an API to work with ( either via backchannel agreement or a publicly available one ) , then nothing you do will be likely to work for very long . You may go to great pains to fool the site into believing you are an ordinary website user . Then , they will make some minor change to how their site works ( because they have no idea someone is using it in the fashion you are ) and all of a sudden your hack won't work . Sometime later , they may notice that you are using them in this fashion , and detect your usage and flat out block it . Basically , unless they give you an API , you are essentially stealing , and should expect to receive all the courtesy that deserves ... none . Lest you think I am judging you , I'll let you know I speak from experience ;)	P D N N V O D ^ P N P , & P N N & D R A $ , , R V O V V V R P N P R R , O V V P A N P N D N P V O V D A N N , R , O V V D A N P R D N V , P O V D N N V V O P D N O V , & X P D A D N V N , R R , O V V P O V V O P D N , & V D N & A P V O , R , P O V O D ^ , O V R V , & V V P V X D N P V , N , R O V O V V O , L V O V O V P N E
What about Dyanmic Data Exchange ? Can't you use that to grab any content from any window in windows ? So I can just grab the content from my browser , and parse it in my program ?	O P G N N , V O V O P V D N P D N P ^ , P O V R V D N P D N , & V O P D N ,
@Saobi , you do realize that DDE is very , very old and not used in modern web browsers ?	@ , O V V D ^ V R , R A & R V P A N N ,
what problems will I run into with DDE ?	D N V O V P P ^ ,
Javascript does http requests almost just like a browser does , once you figure out what they are you can try to re-create them in perl / python / etc . With Firefox+Firebug you can see the requests in the ' Net ' panel . Things you might have to take into account are user-agent string , cookies , the fact that sometimes the returned data is meant to be run / interpreted by Javascript etc . Maybe your language of choice has a nice httpbrowser class you can use ? Just took a look , searching for IBM , took the post data from Firebug , replaced newlines with ' ' and put it after the request url : but it returns and no data .. So it looks like you have to script a post request . Looking at their restrictions and guidelines , maybe you should just get in touch and ask if there's a public API ?	^ V ^ N R R P D N V , R O V T O O V O V V P V O P ^ , ^ , G , P ^ O V V D N P D , N , N , N O V V P V P N V N N , N , D N P R D V N V V P V V , V P ^ G , R D N P N V D A N N O V V , R V D V , V P ^ , V D N N P ^ , V N P , , & V O P D N ^ , & O V & D N , P O V P O V P N D N N , V P D N & N , R O V R V P ^ & V P Y D A ^ ,
Ok I used the Net panel monitoring of Firebug . And whenever I submit a query on that website , the request is a POST , but the URL has search.dwr appended to it , not the actual query I submitted .	! O V D N N V P ^ , & R O V D N P D N , D N V D N , & D ^ V ^ V P O , R D A N O V ,
The search is handled by Javascript , so it can put together and use any url it wants , obviously . You'd have to look into the source to see how it does that , or just see what it posts where and try to mimic that in your code . Is the search site public ?	D N V V P ^ , P O V V R & V D ^ O V , R , L V P V P D N P V R O V O , & R V O O V R & V P V O P D N , V D N N A ,
But that POST request I saw in Firebug , how can I dig deeper to see the equivalent http request ( preferably with a search query appended ) ? Yes this is a public site .	& D N V O V P ^ , R V O V R P V D N ^ N , R P D N N V , , ! O V D A N ,
The POST request * is * the http request , the Net panel should also show what post data was sent along . You can try taking that apart and tacking it onto the URL it's posted to as GET parameters , but that won't necessarily work ( depends on if the server supports GET queries ) . But maybe you need to use curl or somesuch to do an actual post from your script . Basically the script has to behave like a browser .	D N N , V , D ^ N , D N N V R V D N N V V T , O V V V D R & V O P D ^ L V P P N N , & O V R V , V P P D N V N N , , & R O V P V ^ & ^ P V D A N P D N , R D N V P V P D N ,
Saw your sample search above . So it looks like this is not easily doable ? You managed to figure out the exact request to send . But that's not enough ....	V D N N P , P O V P D V R R A , O V P V T D A N P V , & L R A ,
That's right :-) As I said , you'd need to re-create the POST request in your scripting language . For PHP , I'd point you at http://www.php.net/curl and http://www.php.net/manual/en/function.curl-setopt.php , search for ' post ' .	L R E P O V , L V P V D N N P D N N , P ^ , L N O P U & U , N P , N , ,
Mozilla Rhino : Default JavaScript Compliance Level	^ ^ , N ^ N N
to execute JavaScript in Rhino one has to create an execution context for the script . The constructor of the Context class uses the JavaScript compliance level VERSION_DEFAULT . As I cannot find a mapping of VERSION_DEFAULT to any of the actual VERSION_XXX constants in the API , I'm wondering which JavaScript compliance level VERSION_DEFAULT is . The release note of Rhino 1.7 R1 ( * ttps :/ / developer.mozilla.org/en/New_in_Rhino_1.7R1 ) states that one has to specify the JavaScript version explicitly , but it does not mention which version is used when Context.setLanguageVersion() is omitted .	P V ^ P ^ N V P V D N N P D N , D N P D N N V D ^ N N ^ , P O V V D N P ^ P D P D A ^ N P D ^ , L V D ^ N N ^ V , D N V P ^ $ ? , G G G G G , V D O V P V D ^ N R , & O V R V D N V V R ^ V V ,
it's open source ...	L A N ,
Maybe you should ask this question on the Mozilla Rhino mailing list .	R O V V D N P D ^ ^ N N ,
Having had a look through most of the Rhino code , it looks like most of the testing against language version is negative testing , e.g. if ( getLanguageVersion() ! = Context.VERSION_1_2 ) { return paramCount ; } VERSION_DEFAULT is defined as ' 0 ' , so the one place where it looks like it would need to be set as 1.7 is to support the " let " and " yield " keywords because of this code from TokenStream : if (( result == Token.LET || result == Token.YIELD ) & & parser.compilerEnv.getLanguageVersion() Context.VERSION_1_7 ) { // LET and YIELD are tokens only in 1.7 and later result = Token.NAME ; }	V V D V P R P D ^ N , O V R R P D N P N N V A N , G C , ^ = = ^ , , C C , , ^ V V P , $ , , P D $ N R O V P O V V P V V P $ V P V D , ^ , & , ^ , N P P D N P ^ , P , C = C , C = C , & & C ^ , , = ^ & ^ V N R P $ & R N = C , ,
 : campaign and ga :p agePath ( content ) on Google Analytics Export API ?	R P V ^ , N & ^ G G , N , P ^ ^ ^ ^ ,
orts you are able to drill down on a specific campaign and then choose the Landing Page or content page that the individual visitor choose . When I try to retrieve the same information through the Google Analytics Export API , I get an error if I try to relate those two dimensions in my feed . Is there any success story about getting this information together . I know is possible , we just don't know what is the correct combination . Since I had no progress on this issue during the last week I thought about giving a little more information . I am presenting below a screen shot of an actual report of the Google Analytics UI givin the information that I am trying to pull and I am getting no info . Basically the campaing information group by the pagePage landed . So I am able to know who clicked on my emails and where that person landed . I just found other people with the same questions on the Google Analytic Help Forum .	V A N O V A P V R P D A N & R V D N N & N N P D A N V , R O V P V D A N P D ^ ^ ^ ^ , O V D N P O V P V D $ N P D N , V X D N N P V D N R , O V V R , O R V V D V D A N , P O V D N P D N P D A N O V P V D A A N , O V V P D N N P D A N P D ^ ^ ^ G D N P O V V P V & O V V D N , R D N N N P D G V , P O V A P V O V P D N & R D N V , O R V A N P D A N P D ^ ^ N N ,
with some GA data . It seems to be picky about what metric you join it to but ga :p ageviews works . Both ga : campaign and ga :p agePath are dimensions and you need to join them to a metric . You can reference GA documentation here regarding what are the valid combinations . As an example , I managed to retrieve a really long report using ( replace with your profile id ): Hope this helps .	O R V O P D ^ N , O V P V A P D A O V O P & ^ G G V , D ^ , N & ^ G G V N & O V P V O P D A , O V N ^ N R V O V D A N , P D N , O V P V D R A N V , V P D N N , V D V ,
reply . I am trying to execute your sample with my table id , but I cannot get it to work . I am getting an Authorization Required . I am authenticating with Google Analytics before requesting the URI . Let me know if you know what steps to take before executing the script . Thanks again .	N P D N , O V V P V D N P D N N , & O V V O P N , O V V D N V , O V V P ^ ^ P V D ^ , V O V P O V D N P V P V D N , N R ,
enticate to GA separately by sending an extra header in the http request . See http://code.google.com/apis/gdata/articles/using_cURL.html and http://code.google.com/apis/analytics/docs/gdata/1.0/gdataProtocol.html	O V P V P ^ R P V D A N P D ^ N , V U & U
 java or servlet , you can use authentication method in analytics api to authenticate first , and then you can retrieve data from the profile of that user .	P O V V ^ & N , O V V N N P N ^ P V R , & R O V V N P D N P D N ,
Try calling the servlet from the address bar to find out if the problem is in the JavaScript or the servlet . ( Something like localhost : 9080 / chat / index.html ? username=Lenni )	V V D N P D N N P V T P D N V P D ^ & D N , , N P C C C C C C C C C ,
won't work because i'm getting the username from an input tag . looks like :	V V P L V D N P D N N , V R ,
Well , then just dumb it down a little and return a Hello World and try that .	! , R R A O T D A & V D C C & V O ,
The URL you've specified isn't to your servlet . Just like the URL to the index page is http:// server : port / webapp name / resource the URL to your servlet needs a mapping in the web.xml file that corresponds to the resource part of the url . For example , if you had a controller servlet you'd expect something like the following in your web.xml : The URLs that would invoke the ' controller ' servlet would then follow the form http:// server : port / webapp name / anything . do .	D ^ L V V P D N , R P D ^ P D N N V ^ N , N , N N , N D ^ P D N V D N P D N V O V P D N N P D ^ , P N , P O V D N N L V N P D V P D N , D ^ O V V D , N , N V R V D N ^ N , N , N N , N , V ,
just added the web.xml . it's within the folder where the html file is and my class file . as i start the request i'm getting a request status that is not 200 so ... request fails	R V D N , L P D N R D ^ N V & D N N , P O V D N L V D N N O V R $ P , N V
The web.xml file need to be in a WEB-INF directory in the root of the web app . Take a look at this tutorial for the details on packaging a web app - http://java.sun.com/j2ee/tutorial/1_3-fcs/doc/WebComponents.html	D N N V P V P D ^ N P D N P D N N , V D V P D N P D N P V D N N , U
and where do i have to place the class file then ? :-(	& R V O V P N D N N R , E
The classes go in WEB-INF / classes . If you use ANT the WAR task will do it all for you .	D N V P ^ , N , P O V ^ D ^ N V V O R P O ,
Share an applet across many jsp pages	V D N P A ^ N
In my web application , a series of jsp pages are navigated . These jsp pages appear on the Right Hand side ( frame ) of the screen . On the left frame , I have an applet . This applet is common to all jsps . From all of the jsps , I want to invoke a method on the applet . The javascript code is inside of each jsp . Is there a way to do this ? Any approaches , suggestion , Code snippets most welcome . The applet basically displays an image . Based on the user interaction in the jsp pages , the image needs to change / rotate and so on . But the applet is common to all and should not be loaded on each of the jsps load . Thats why I am looking for a way for all jsps to communicate to the single applet ( via javascripts of course ) .	P D N N , D N P ^ N V V , O ^ N V P D N N N , N , P D N , P D N N , O V D N , D N V N P D ^ , P X P D ^ , O V P V D N P D N , D ^ N V P P D ^ , V R D N P V D , O N , N , N N R A , D N R V D N , V P D N N P D ^ N , D N V P V , V & R P , & D N V N P X & V R V V P D P D ^ N , L R O V V P D N P D ^ P V P D A N , P ^ P N , ,
Its possible.See here for details How to invoke invisible applet methods	L G R P N R P V A N N
But I dont want to embed the applet in each of the jsps . That is the catch . The applet needs to be invoked from a jsp where it is NOT embedded .	& O V V P V D N P D P D ^ , O V D N , D N V P V V P D ^ R O V R V ,
Let's say that the Applet is in Frame F1 , your javascript is in Frame F2 then you can call your Applet method from F2 with : Your Frameset : The page with with the applet is Bye .	L V P D N V P N ? , D ^ V P N ? R O V V D N N P ? P , D N , D N P P D N V ! ,
Using Bing as local search	V ^ R A N
So if I'm reading your question right , you need a way to go from zip code / city / state to longitude and latitude ? If that's the case , there are a number of free and paid databases out there that have this information . The free ones are generally not 100% up to date , but the paid ones are pretty reasonably priced and would include periodic updates with the latest and greatest data .	P P L V D N R , O V D N P V P N N , N , N P N & N , P L D N , X V D N P A & A N P X O V D N , D A N V R R $ N P N , & D A N V R R V & V V A N P D A & A N ,
so you're suggesting I do the geocoding on the server because it's limited enough ?	P L V O V D N P D N P L V A ,
@Russell - A couple ways you could do it . You could do the geocoding on your server with a database ( as I suggested in my answer ) or you could create a service on your server that you call via HTTPS which would then call out to Bing / Google via plain old HTTP . This would keep the pages as HTTPS , but just use normal HTTP under the hood - if that's acceptable from a security perspective on your end anyways .	@ , D N N O V V O , O V V D N P D N P D N , P O V P D N , & O V V D N P D N P O V P ^ O V R V T P ^ , ^ P A A ^ , D V V D N P ^ , & R V A ^ P D N , P L A P D N N P D N N ,
That is actually how we interface with Bing now , but it doesn't do geocoding . We could do the geocoding with google , but it has request limits that our server would surpass .	O V R R A N P ^ R , & O V V N , O V V D N P ^ , & O V N N P D N V V ,
Yahoo has geocoding with rate limit of 5000 per day on a REST service . http://developer.yahoo.com/maps/rest/V1/geocode.html Have you looked into Yahoo ! Maps with YQL ?	^ V N P N N P $ P N P D ^ N , U V O V P ^ , V P ^ ,
signed applet gives AccessControlException : access denied , when calling from javascript	V N V ^ , V V , O V P ^
I have an easy self-signed an applet ( done with keytool and the jarsigner ): Basically , what it does , is that it executes ' notepad c :/ hello.txt ' . Then i embed the applet in html : When i visit the page , JRE starts and asks me if i want to start this applet and if i trust it . I press ok . Then notepad starts - as it should . No problem here . But then i add this into the HTML-page : Now when i press on this text , calc should start - right ? But this gives me : whats up with this ? Why does it give me a security exception now , but it could start notepad before ?	O V D A A D N , V P N & D N , R , O O V , V P O V , ^ G , G , , R O V D N P ^ , R O V D N , ^ V & V O P O V P V D N & P O V O , O V ! , R ^ V , P O V , D N R , & R O V D P D N , R R O V P D N , N V V , R , & D V O , L T P D , R V O V O D N N R , & O V V ^ P ,
The Java 2 security model requires ( roughly ) that every frame on the stack must be granted a permission for the access control context ( acc ) to have that permission . JavaScript is on the stack and does not have file access permissions .	D ^ $ N N V , R , P D N P D N V V V D N P D N N N , N , P V D N , ^ V P D N & V R V N V N ,
He could also have used the AccessController.doPrivileged API to elevate the privileges of the javascript function call to the one of the signed applet . http://www.inf.puc-rio.br/~roberto/java/jdk1.2/docs/guide/security/doprivileged.html	O V R V V D ^ ^ P V D N P D ^ N V P D N P D A N , U
Thanks a lot , this solved my problem in a nice and clean way .	N D N , O V D N P D A & A N ,
Solved the problem with , in Java : and then in JavaScript :	V D N P , P ^ , & R P ^ ,
I agree : it is prohibited to manipulate a signed applet from javascript , and the workaround is to rewrite the applet tag in javascript in the page document . I found this source with a bit of theory proving we are right http://docs.oracle.com/javase/tutorial/deployment/applet/security.html#jsNote	O V , O V V P V D A N P ^ , & D N V P V D N N P ^ P D N N , O V D N P D N P N V O V R U
Actually , calling applet from javascript behaves as calling unsigned applet ( as specified in the jsnote : http://docs.oracle.com/javase/tutorial/deployment/applet/security.html#jsNote . That is fine and is valid when you're using a class you are not allowed to change , but since you're the author of the java class you can always wrap that specific method you need to call from javascript to be executed in the privileged mode , like this : And it should work ok . ( This is what is suggested in the upvoted comment by @Jean -Philippe Jodoin but the link provided there is broken )	R , V N P ^ V P V A N , P V P D ^ , U , O V A & V A R L V D N O V R A P V , & P L D N P D ^ N O V R V D A N O V P V P ^ P V V P D A N , P D , & O V V ! , , D V O V V P D N V P @ ^ ^ & D N V R V V ,
Communcation between Java and applet	N P ^ & N
How do I get the ( updated ) value of Java Class's variable which is dynamically modified from an applet ? The problem here is , since the applet is loaded in separate class loaders the updated value is not available when the applet is loaded a second and subsequent times .	R V O V D , V , N P ^ S N O V R V P D N , D N R V , P D N V V P A N N D V N V R A R D N V V D A & A N ,
Do you mean server side Java , or JavaScript as your tag indicate ?	V O V N N ^ , & ^ P D N V ,
In fact simple desktop java .... java script is there to indicate the use of applet by the java script from an html page	P N A N ^ , ^ N V X P V D V P N P D ^ N P D ^ N
I'm not sure what you are trying to achieve - are there two classes , one in an applet and another , where ?	L R A O O V V P V , V R $ N , $ P D N & D , R ,
Is this question still open ? If yes , please make clear what you want to do . Is your applet embedded in your desktop Java application , or in a web browser ?	V D N R A , P N , V V A O O V P V , V D N V P D N ^ N , & P D N N ,
See Java-to-Javascript Communication , Java - Javascript interaction , and Interaction without LiveConnect for JavaScript interaction .	V ^ N , ^ , ^ N , & N P ^ P ^ N ,
See http://rostislav-matl.blogspot.com/2011/10/java-applets-building-with-maven.html for working example .	V U P V N ,
Open an HttpURLConnection in a browser	V D ^ P D N
I am working on a jsp page which uses a bean to create an OAuth authenticated HttpURLConnection and am able to connect successfully . Is there anyway that I can take that open HttpURLConnection and somehow display the contents in a browser window ?	O V V P D ^ N O V D N P V D ^ V ^ & V A P V R , V X R P O V V D A ^ & R V D N P D N N ,
The only way to display the contents of a stream from another web page in a jsp is if you do not get the output stream yourself . If I remember right , the output stream for a jsp is automatically retrieved when an output character outside the scriptlet tags is envountered by the parser . This would be better done in a servlet proper rather than a jsp . Just get the url connection , get the output stream and pipe it to the servlet's output stream using a loop .	D A N P V D N P D N P D N N P D ^ V P O V R V D N N O , P O V R , D N N P D ^ V R V R D N N P D ^ N V V P D N , D V V R A P D N R R P D ^ , R V D ^ N , V D N N & V O P D S N N V D N ,
Wicket & jQuery Overlap / Collision	^ & ^ V , N
I am currently working on a web app using Wicket and started using jQuery core ( UI also ) in it today . I ran into an issue I troubleshooted as a jQuery function ( show() , slideDown() ) colliding with some of the javascript Wicket auto-generated for an external form link . Before I get deeper into this project I am wondering if anyone has had similar experiences . Are there a lot of places where the jQuery effects / actions collide with Wicket generated javascript / HTML ? Are there clean ways to avoid this , or mitigate it ? I have seen Wicketext as possibly a cleaner " integrator " of the two , but mostly it seems to just be a way of doing more of the jQuery-ish code in the Java instead of JS .	O V R V P D N N V ^ & V V ^ N , ^ R , P O N , O V P D N O V P D ^ N , ^ , ^ , V P D P D ^ ^ V P D A N N , P O V R P D N O V V P O V V A N , V R D N P V R D ^ N , N V P ^ V ^ , ^ , V R A N P V D , & V O , O V V ^ R R D N , N , P D $ , & R O V P R V D N P V R P D A N P D ^ R P ^ ,
This is an interesting problem since jQuery occupies it's own namespace . I'm guessing that there is a conflict with the $ jQuery variable . To get around this you can have jQuery occupy a different namespace like so : You can do this after you've loaded both sets of code and the $ will be returned to its original value . A bit of a headache but it can fix things in a pinch . See using jQuery with other libraries for more info .	D V D A N P ^ V L A N , L V O R V D N P D , ^ N , P V P D O V V ^ V D A N V R , O V V D P L V X N P N & D , V V V P L A N , D N P D N & O V V N P D N , V V ^ P A N P A N ,
Thanks codeincarnate ! I'll give it a try on monday and see what happens .	N N , L V O D V P N & V O V ,
So this didn't work , but I believe it to be another issue with Wicket generated JS . Had it been a library collision I think your answer is spot on so I am accepting it .	P D V N , & O V O P V D N P ^ V ^ , V O V D N N O V D N V N P P O V V O ,
