setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
You shouldn't compare Java and Dojo , they are quite different animals . Dojo is a Javascript toolkit / library so you should rather compare it to ExtJS for instance . And yes , you can use whatever js script you like in the HTML / jsp pages of your web application . Regarding Java frameworks , first and foremost look into Spring .	O V V ^ & ^ , O V R A N , ^ V D ^ N , N P O V R V O P ^ P N , & ! , O V V D ^ N O V P D ^ , ^ N P D N N , V ^ N , R & R V P N ,
" Java is to Javascript what car is to carpet . "	, ^ V P ^ D N V P N , ,
Where did you hear this ? Greg Hewgill posted it here : http://stackoverflow.com/questions/245062/whats-the-difference-between-javascript-and-java/245068#245068 , but he didn't remember where he got it from .	R V O V D , ^ ^ V O R , U , & O V V R O V O P ,
I believe the credit goes to Chris Heilmann : http://www.wait-till-i.com/2005/11/08/do-hr-people-even-read-their-job-ads-when-they-get-published /	O V D N V P ^ ^ , U ,
* " Java is to Javascript what subway is to car " *	, , ^ V P ^ D N V P N , ,
It is quite possible to combine Dojo and a Java web framework . My company's application uses both Dojo and Spring MVC . The two technologies address different sets of problems . Dojo is a client-side framework for managing UI components ( widgets ) , AJAX requests , and providing a browser-independent abstraction on top of JavaScript and the DOM . Spring MVC is a server-side framework that receives requests from the browser , provides entry-points into server-side business logic , and directs page flow through the application . Having said that , there are other Java web frameworks that overlap some functionality that is also provided by JavaScript tools like Dojo . JSF with ICEfaces or RichFaces come to mind . In those models , the server ( Java ) has more direct control over how components are rendered and how their state is held . One explicit goal of RichFaces , for example , is to help developers who don't know JavaScript ( or don't want to write it ) develop AJAX applications . But I wouldn't say one approach is better than the other . They just focus on different developer audiences .	O V R A P V ^ & D ^ N N , D S N V D ^ & ^ ^ , ^ $ N N A N P N , ^ V D A N P V ^ N , N , , ^ N , & V D A N P N P ^ & D ^ , ^ ^ V D A N P V N P D N , V V P A N N , & V N N P D N , V V O , X V A ^ N N O V D N O V R V P ^ N P ^ , ^ P ^ & ^ V P N , P D N , D N , ^ , V R A N R R N V V & R D N V V , $ A N P ^ , P N , V P N N O V V ^ , & V V P V O , V ^ N , & O V V $ N V R P D A , O R V P A N N ,
JavaScript Frameworks . Those listed here include : Prototype jQuery Ext Script.aculo.us MooTools Yahoo ! UI Library ( YUI ) Dojo Toolkit Backspace They are among the most popular ones . I use MooTools .	^ N , O V R V , ^ ^ ^ ^ ^ ^ , ^ N , ^ , ^ N N O V P D R A N , O V ^ ,
Obtaining in IE the length of a Java array passed from an applet to its Javascript wrapper	V P ^ D N P D ^ N V P D N P L ^ N
I have the following method in my applet : Which I call from Javascript as follows : This works in Firefox but IE gives me Any ideas anyone ?	O V D N N P D N , D O V P ^ P N , D V P ^ & ^ V O D N N ,
Knowing nothing about Java I can only ask if you've tried " for ( i in files ) { / * do stuff * / } "	V N P ^ O V R V P L V , P , O P N , , , , V N , , , ,
Don't you mean File [] ( not Files[] ) ? Other then that , it would help if you alert ( files ) . Also , if you have a javascript debugger ( DebugBar , for example ) that would help the most .	V O V ^ = , R C , , R R D , O V V P O V , N , , R , P O V D ^ N , ^ , P N , D V V D R ,
@annakata : Yes , I've tried it . It doesn't work in either Firefox or IE . @laginimaineb : Corrected question . Thanks ! Also , alert ( files ) doesn't help much but I'm going to try kizzx2's suggestion below to peek into files ' structure .	@ , ! , L V O , O V V P & ^ & ^ , @ , A N , N , R , C , C , V V A & L V P V Z N P P V P N , N ,
You can use Firebug Lite in IE to investigate what's going on with files First , include Firebug Lite in your file Now log it in the console with Now you can investigate what object was actually being returned by getFiles() I give this suggestion because IE said length is null not or not an object instead of files is null or not an object , so maybe files have other methods that you can use . Use Firebug to reflect those .	O V V ^ ^ P ^ P V L V P P V R , V ^ ^ P D N R V O P D V P R O V V D N V R V V P ^ O V D N P ^ V N V A R & R D N R P N V A & R D N , R R V V A N P O V V , V ^ P V O ,
Not sure how widely supported passing a Java array to javascript is . A workaround is to return the array as a delimited string as shown in the following example http://www.rgagnon.com/javadetails/java-0183.html	R R R R V V D ^ N P ^ V , D N V P V D N P D A N P V P D N N U
Already seen this link . Approach is not viable since getFiles returns an array of non-string objects .	R V D N , N V R A P ^ V D N P A N ,
I realise that , you build the string from the string attributes required from the File array , eg . the file path . you can then get the details required from the file using that path	O V D , O V D N P D N N V P D N N , G , D N N , O V R V D N V P D N V D N
Work-around found . Instead of returning an array , return a list instead . Then iterate through it using the get and size methods . Works in both IE and Firefox . So , the applet method should be : And to use it Javascript-side :	N V , R P V D N , V D N R , R A P O V D V & N N , V P D ^ & ^ , P , D N N V V , & P V O A ,
Should have checked https://developer.mozilla.org/en/LiveConnect first . Clearly stated there that arrays are dodgy in a certain LiveConnect version .	V V V U R , R V R D N V A P D A ^ N ,
Can I create a ' window ' object for javascript running in the Java6 Rhino Script Engine	V O V D , N , N P ^ V P D ^ ^ N N
I want to run some Javascript on my Java6 server - i.e. using the javax.script API , specifically the Rhino Script Engine . ( Although another solution would be acceptable ) The script file is created supported by a third party , so I don't want to download it and edit it in case it changes over time . The script directly references the ' window ' object ( and probably the ' document ' object etc . ) which Rhino does not seem to support . Can I do this , and if so , how ?	O V P V D ^ P D ^ N , G V D ^ ^ , R D ^ N N , , P D N V V A , D N N V V V P D A N , P O V V P V O & V O P N O V T N , D N R V D , N , N , & R D , N , N G , , D ^ V R V P V , V O V D , & P R , R ,
... of course , they won't do a lot of good unless you populate them with the properties that the script is trying to access . You can't just populate them with the standard browser APIs - most of them don't make sense outside the context of the browser .	, P N , O V V D N P A P O V O P D N P D N V V P V , O V R V O P D A N ^ , R P O V V N P D N P D N ,
See John Resig's blog : Bringing the Browser to the Server	V ^ ^ N , V D N P D N
That looks awesome ! I'll try that - cheers .	O V A , L V D , N ,
Can Not Read id on JSF Components	V R V L P ^ N
I have a little problem I am trying to use MartkItUp JQuery rich text editor on JSF textarea component . My form looks like this : The problem is that on output it gives me the id for textarea like that When I try in JQuery to point to it nothing happens . I had a plain textarea before , and there was no problem . Now , I have a lot of them . How do I point to id in JQuery , thats looks like comment : commentBody P.S : I know i can point to this text area by $('textarea ') . markItUp ( mySettings ); however i am looking for solution to point to specific text area by it's ID .	O V D A N O V V P V ^ ^ A N N P ^ N N , D N V P D , D N V O P N O V O D N P N P O R O V P ^ P N P O V V , O V D A N P , & R V D N , R , O V D N P O , R V O N P L P ^ , L V P V , ^ ^ , O V O V N P D N N P C , , C , C , R O V V P N P N P A N N P L N ,
try this : this will select text area having ID ending with commentBody . to select control with ID starting with particular string replace $ with ^	V D , O V A N N V N V P N , P V N P N V P A N V , P ,
Got an error when was trying to use your method . But either way , thanks for trying to help	V D N R V V P V D N , & D N , ! P V P N
Try this , $ ( ' #comment  : commentBody ') , for JQuery version 1.1 . 3 or greater .	V D , C , , C , , C , , P ^ N $ , $ & A ,
It's worked well . Thanks	L V R , !
You can read about JSF IDs here , but in this case you may also find the h : form prependId attribute useful .	O V V P ^ N R , & P D N O V R V D G , N N N A ,
Exemplary work . +1	R N , $
What compilers target JavaScript runtimes ?	D N N ^ N ,
I am using GWT , which includes a Java-to-JavaScript compiler . Before this project , targeting the JavaScript runtime from a different language hadn't occurred to me , and I'm enjoying the GWT experience . A quick search revealed Java2Script as another Java-to-JavaScript solution . Are there any other mature compilers that target the JavaScript runtime ?	O V V ^ , O V D ^ N , P D N , V D ^ N P D A N V V P O , & L V D ^ N , D A N V ^ P D ^ N , V R D A A N D V D ^ N ,
We develop http://websharper.com that compiles F# to JavaScript .	O V U O V ^ P ^ ,
OpenLaszlo is on open source XML -> Javascript ( technically DHTML , also can compile to Flash ) compiler . I've played with it a little bit and it seemed interesting , although have never used it seriously ( bad IDE support when I tried it ) . Objective-j is a similar project that resembles objective-c , although runs as javascript ( not sure if it compiles it or has a js interpreter ) . I don't know much about it , but do see posts about it on the Ajaxian from time to time .	^ V P A N ^ , ^ , R ^ , R V V P ^ , N , L V P O D A N & O V A , P V R V O R , A ^ V R O V O , , ^ V D A N P V ^ , P V P ^ , R A P O V O & V D ^ N , , O V V R P O , & V V N P O P D ^ P N P N ,
objective-j compiles either at runtime or ahead of time . It's mostly javascript with a few extra constructs though .	^ V R P N & R P N , L R ^ P D A A N P ,
Objective-j is interpreted ( by a javascript engine ) . It looks a bit weird for my tastes personally , but this http://280atlas.com is written in objective-j , and it looks awesome . Though i m sure a similar thing is possible in GWT .	^ V V , P D ^ N , , O V D N A P D V R , & D U V V P ^ , & O V A , P O V A D A N V A P ^ ,
Objective-J code looks ugly . I hate Objective-C code as well so ... OpenLaszio looks great actually , I might even try it some time .	^ N V A , O V ^ N P R R , ^ V A R , O V R V O D N ,
Script # JSC cappuccino ( sort of )	N , ^ N , V P ,
While there are other products which compile to javascript ( noted in the other comments ) , I believe that GWT is , by far , the most mature one out there , in terms of real-world usage . The simple fact that a number of Google's core applications use GWT ( e.g. : the new adwords GUI , Google wave , etc ) means you can have confidence the product is going to be maintained for at least the next few years , it isn't just going to fade away anytime soon . Another thing to keep in mind is that GWT is far more than a java-to-javascript compiler , it also is an optimizing compiler , it has hosted mode , it is fully interoperable with native javascript , it does image bundling , it does code spliting in the new version , etc .	P X V A N O V P ^ , V P D A N , , O V D ^ V , P R , D R A $ P R , P N P A N , D A N P D N P Z A N V ^ , G , D A N ^ , ^ N , G , V O V V N D N V V P V V P O R D R A N , O V R V P V R R R , D N P V P N V D ^ V R A P D ^ N , O R V D V N , O V V N , O V R A P A ^ , O V N V , O V N V P D A N , G ,
Google suspended Wave development less than 3 months after its public release , so in retrospect I'm not sure that was the best example of GWT's anticipated longevity . :-)	^ V ^ N A P $ N P L A N , R P N L R A O V D A N P Z A N , E
Parenscript is " a translator from a small Lispy language to JavaScript " . It's not Common Lisp -- it's mostly just Lisp syntax for Javascript , though for simple things you can write the same code to target both , if you're careful . I'm not sure I'd call it " mature " , either .	^ V , D N P D A ^ N P ^ , , L R A ^ , L R R ^ N P ^ , P P A N O V V D A N P V Y , P L A , L R A L V O , A , , & ,
Pyjamas compiles Python to JavaScript . HotRuby runs Ruby source code under JavaScript and Flash . Orto is ( was ? ) a JVM implemented in JavaScript . ( Original site is down ; link is to a blog entry . ) The ZK framework , which likes to compare themselves favorably against GWT , uses Java and XML to generate JavaScript . ( They claim that it takes far less code than GWT to do the same stuff . ) And I have heard it well-argued that jQuery is a separate language that happens to be implemented in , and run under , JavaScript . :-)	^ V ^ P ^ , ^ V ^ N N P ^ & ^ , ^ V , V , , D ^ V P ^ , , A N V T , N V P D N N , , D ^ N , O V P V O R P ^ , V ^ & ^ P V ^ , , O V P O V R A N P ^ P V D A N , , & O V V O V D ^ V D A N P V P V V T , & V P , ^ , E
You also have haXe . It features static , structural , strong and inferred typing ; algebraic data types ; lambda expressions with closure support ; a module system and can compile not only to JavaScript but also Flash , C++ , Neko , PHP . Java support is under development too .	O R V ^ , O V A , A , A & V V , A N N , ^ N P N N , D A N & V V R A P ^ & R ^ , ^ , ^ , ^ , ^ N V P N R ,
Here's a shameless plug for a project I started and am continuing to develop : scxml-js , a Statecharts-to-JavaScript compiler	L D A N P D N O V & V V P V , ^ , D ^ N
List of languages that compile to JS	N P N O V P ^
The inventors of Clojure ( a JVM based Lisp dialect ) launched ClojureScript in mid-2011 . ClojureScript compiles Clojure source code into JavaScript , making use of the Google Closure compiler and the Closure framework . ClojureScript code can run both in the browser client , or on node.js servers .	D N P ^ , D ^ V ^ N , V ^ P $ , ^ V ^ N N P ^ , V V P D ^ ^ ^ & D ^ N , ^ N V V $ P D N N , & P ^ N ,
Native Javascript method in GWT	A ^ N P ^
I have a native Javascript method in one of my GWT Java classes , but I'm having trouble calling my Java methods from the native Javascript code . I tried to follow this as closely as I could , but I can't get it to work . I compiled it and ran it in Firefox , and the error console said " Error : this.lc is not a function " . I tried changing all the methods to public , but that didn't seem to make a difference . What am I doing wrong ?	O V D A ^ N P $ P D ^ ^ N , & L V N V D ^ N P D A ^ N , O V P V D R R P O V , & O V V O P N , O V O & V O P ^ , & D N N V , N , G V R D N , , O V V X D N P A , & O V V P V D N , O V O V A ,
In all the code I've done in the past , I've never used ' this ' to identify my class , I have passed the class in . Eg : Change this : To this :	P X D N L V P D N , L R V , D , P V D N , O V V D N P , G , V D , P D ,
Perfect ! This makes sense , but I wish it was documented better on the GWT site .	A , D V N , & O V O V V R P D ^ N ,
I found a better way . It's similar to what you do in JavaScript , where you set " var that = this " . Using this approach , you don't have to pass this to listenForPostMessage() :	O V D A N , L A P D O V P ^ , R O V , C C = C , , V D N , O V V P V D P ^ ,
Javascript_Java_Interaction applet " Codebase " problem	^ N , ^ , N
I saw an article about Javascript_Java_Interaction today at : ============================================================================================ ========================================================================================== It displayed the applet on the page [ Javascript_Java_Interaction.html ] , but if I type in some text and click the button , nothing happens , the problem is in the following line : So I copied the class file into the same dir as the html files [ C :/ Dir_Fit / ] and changed the above line to : now it works , it will display an alert window . So , my question is why it didn't work when I specified the codebase ? According to Java document if the class file is in a different dir , you can tell it by codebase , the applet will show up but if you type in some text and click the button , nothing will happen , I've tried different ways to specify the code base : Yet , none of them works , why ? I don't want the class file to be in the same dir as the htmls . What's the fix ? Frank	O V D N P ^ N P , , , O V D N P D N , ^ , , & P O V P D N & V D N , N V , D N V P D A N , P O V D N N P D A N P D N N , G , G , , & V D A N P , R O V , O V V D N N , P , D N V R O V V R O V D N , V P ^ N P D N V V P D A N , O V V O P N , D N V V T & P O V P D N & P D N , N V V , L V A N P V D N N , & , N P O V , R , O V V D N N P V P D A N P D N , L D V , ^
It might have something to do with the changes made in Java 6 Update 10 . After the release my applets started to fail with ClassNotFoundExceptions independent of the browser - strangely they worked with 6u7 before that . First I thought about a messed up installment or configuration but then others have experienced the same thing in their system . My trial-and-error came up with the very same result as your observation , namely if I specify even an empty codebase attribute , my applet fails . Googling around ( today ) does not come up with any meaningful results or bug reports issued . I would guess the rules for the codebase attribute usage changed between versions - maybe the old one wasn't restrictive enough or wasn't conformant to some specification .	O V V N P V P D N V P ^ $ N $ , P D N D N V P V P ^ A P D N , R O V P $ P O , A O V P D V T N & N & R N V V D A N P D N , D N V T P D R A N P D N , R P O V R D A N N , D N V , V P , N , V R V T P D A N & N N A , O V V D N P D N N N V P N , R D A N V A A & V V P D N ,
scripting in java - javascript from a server-side class file in Java 1.5	V P ^ , ^ P D A N N P ^ $
I have three types of get requests that are delivered to a class file on web application from a mobile device . Because the mobile device provides no cookies , the log file hit only has If I can instantiate javascript in my class file , and generate a javascript function call to urchinTracker() from inside the class file , I can replace that useless cookieArrayLength=0 ; with some useful data urchin can read from the log file into analytics reports . We have been looking at scripting in Java with Rhino ; Safari Bookshelf has : Scripting in JavaTM : Languages , Frameworks , and Patterns which helped us immediately demo that we can run javascript in class files -- this works out-of-the-box on Java 6 . Anyone know any resources for scripting with Rhino on Java 1.5 or 1.4 ? Alternately , any suggestions for running javascript from java 1.5 would be appreciated .	O V $ N P V V O V V P D N V P N N P D A N , P D A N V D N , D N N V R V P O V V ^ P D N N , & V D ^ N V P ^ P P D N N , O V V D A C , P D A N N V V P D N V P N N , O V V V P V P ^ P ^ ^ ^ N V , V P ^ , N , N , & N O V O R V P O V V ^ P N N , O V R P ^ $ , N V D N P V P ^ P ^ $ & $ , R , D N P V ^ P ^ $ V V V ,
thanks for the resource links ; we are able to use the stripped-down Rhino in Java 6 via javax.scripting to compile test.js ( javascript ) to class file and call tests() locally but have not been successful in compiling the __utm.js and calling urchinTracker() compiling from source and trying again , but at the moment it looks like / users / 58787 / unknown-google may be right in comment below .	N P D N N , O V A P V D A ^ P ^ $ P ^ P V ^ , ^ , P N N & V ^ R & V R V A P V D ^ & V ^ V P N & V R , & P D N O V P , N , $ , N V V R P N P ,
We followed Rhino docs to run JavaScript interpreter from Java 1.4 and 1.5 .	O V ^ N P V ^ N P ^ $ & $ ,
See Server-side JavaScript for list of projects that runs JavaScript at the server-side . For your usage , using Rhino seems like the way to go .	V N ^ P N P N D V ^ P D N , P D N , V ^ V P D N P V ,
[ I'm posting in an answer , because I don't have enough points to post a comment on the question itself . ] Are you sure that the urchinTracker() function will operate outside of a web browser ? Running the Rhino JavaScript interpreter ( which isn't too difficult ) won't be enough if the function relies on various browser objects , like the Document Object Model ( DOM ) or XmlHttpRequest . I suggest that you at least scan the internals of the urchinTracker() function to see if this is the case .	, L V P D N , P O V V A N P V D N P D N O , , V O R P D ^ N V V R P D N N , V D ^ ^ N , O V R A , V V A P D N V P A N N , P D N N N , ^ , & ^ , O V P O P R V D N P D ^ N P V P D V D N ,
not sure yet , but was unable this morning to pass values via urchinTracker() through javax.scripting ( Java 6 test environment ) so it is unlikely to work on dev . will know by tomorrow ...	R R R , & V A D N P V N P ^ P ^ , ^ $ N N , P O V R P N P ^ , V V P N ,
This is correct . __utm.js has dependancies on various browser objects . Thanks !	D V A , ^ V N P A N N , N ,
Just wanted to point out the envjs project : " envjs is a pure JavaScript browser environment that runs in Rhino . " Blog Posting : http://ejohn.org/blog/bringing-the-browser-to-the-server Discussion Group : http://groups.google.com/group/envjs Source Repository : http://github.com/thatcher/env-js/tree/master	R V P N P D ^ N , , N V D A ^ N N P V P ^ , , N N , U N N , U ^ N , U
