setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
@Grant As of JDK 6 update 10 , applets * have * that . Packages object exposing the entire Java class library , even in ie . Who knew ?	@ R P ^ $ N $ , N , V , O , N N V D A ^ N N , R P ^ , O V ,
What you can do in Internet Explorer is load an applet into the page which exposes methods that do the things you want to do . You get a reference to the applet , then invoke methods on that reference . In your applet you'd need a public method getDateFromApplet() that returns a java.util.Date . Note that what I present should work , but it has been years since I did this ( it worked in NS4 , 6 and IE 4+ at the time ) . I didn't use getElementById() however , I used var applet = document.myAppletName ; . The other complication to this is that if you want this to execute on page load , the applet will almost certainly not be ready , which requires code something like : Lastly , it might ( should ) be possible to do this with the object tag , but as I said , it has been years since I needed to interact with a Java applet in this way from client-side JavaScript , so I haven't tested it .	O O V V P ^ ^ V V D N P D N O V N O V D N O V P V , O V D N P D N , R V N P D N , P D N L V D A N ^ O V D ^ , V P O O V V V , & O V V N P O V D , O V P ^ , $ & ^ $ P D N , , O V V ^ R , O V C C = ^ , , D A N P D V O P O V D P V P N N , D N V R R R V A , O V N N V , R , O V , V , V V P V D P D N N , & P O V , O V V N P O V P V P D ^ N P D N P N ^ , P O V V O ,
If JavaScript tries to call applet methods before it's ready , the plugin will make the call wait until it's ready .	P ^ V P V N N P L A , D N V V D N V P L A ,
As of Java 1.6 update 10 , the Inter-Language LiveConnect Bridge attaches a Packages object to applets within the page , just like the Packages object available in Firefox . So in a page with at least one applet , even in Internet Explorer , returns the current date . It's also possible to register new converters for convenient access to non-Java languages running in the Java virtual machine . Of course JavaFX implements such a bridge . It's not supposed to be necessary to wait for the applet to load before calling it from JavaScript but it's probably a good idea . The Java plugin will make JavaScript wait until the applet finishes loading or has an error . It is possible for the applet to call JavaScript in the web page as soon as Applet.init() is called .	R P ^ $ N $ , D A ^ N V D N N P L P D N , R P D N N R P ^ , P P D N P O R $ N , R P ^ ^ , V D A N , L R A P V A N P A N P A N V P D ^ A N , P N ^ V A D N , L R A P V A P V P D N P N P V O P ^ & L R D A N , ^ ^ V V V ^ V P D N V V & V D N , O V R P D N P V ^ P D N N P R P ^ V V ,
What about if you inspect the dom using firebug ? It should show up then , then you can grab it dynamically with javascript if you need to .	O P P O V D ^ V N , O V V T R , R O V V O R P ^ P O V P ,
Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
What's wrong with returning a value ? From Javascript You can access the Java-object by using getElementById ( " id-of-embed-tag ") . Then you can invoke any public method on that object . The Java object returned by that method will be available to your Javascript code .	L A P V D N , P ^ O V V D ^ P V ^ , , C G , R O V V D A N P D N , D ^ N V P D N V V A P D ^ N ,
Try decodeURI ( "") or decodeURIComponent ( "") ! - )	V ^ G G & ^ , , , G G
Try	V
eval is more generic , hence less efficient than call for this precise task , and it is more complex to pass parameters to the JS function .	^ V R A , R A A P V P D A N , & O V R A P V N P D ^ N ,
@Alnitak - could you be more specific	@ , V O V R A
Java is faster than JS , ok , but you have one server , and there may be LOTS of clients . Heavy functionalities may show a gain of performance when left out to the client , relieving the server from it .	^ V R P ^ , ! , & O V $ N , & R V V N P N , A N V V D V P N R V T P D N , V D N P O ,
I would not disagree with this .	O V R V P D ,
Server Side Store the time elapsed in the users session . Your pages can display the time remaining in javascript , People can mess with the javascript but they have no capability of messing with your timing logic always get the time remaining from server . Current Time - Start Time on all answers etc	N N V D N V P D N N , D N V V D N V P ^ , N V N P D ^ & O V D N P V P D N N R V D N V P N , A N , V N P D N G
my bad ... meant ' and '	D A , V , & ,
Session management in GWT without using Java on the server ?	N N P ^ P V ^ P D N ,
I'm not using RPC , the GWT request object is just a wrapper around XMLHttpRequest . Great idea ! I've never thought about changing the http status code . I may end up using this .	L R V ^ , D ^ N N V R D N P ^ , A N , L R V P V D U N N , O V N T V D ,
You can deploy both WARs in the same EAR and put common resources in the EAR . Then put the appropriate dependencies in the manifest of the web apps to link to the jar files in the ear .	O V P D ^ P D A ^ & V N N P D ^ , R V D A N P D N P D N N P N P D ^ N P D ^ ,
Yes , but if I put the common resources in each WAR file then I duplicate those resources : won't do that . If I put the common resources in the EAR file then it must contain all the WAR files that depend upon those resources : can't do either , one WAR must be deployed per environment .	! , & P O V D N N P D ^ V R O V D N , V V O , P O V D N N P D ^ V R O V V X D ^ V O V P D N , V V R , $ ^ V V V P N ,
A strategy that I have seen used for such product-line like configurations is using WAR overlays when building with maven . You define a common WAR that contains the common stuff and overlay it with those other WARs that contain the specific stuff to generate different WARs for every application . This method is probably most useful if you deploy the WAR-variants on different machines . But I'm not sure whether I can actually recommend this . Remember to specify the overlays configuration if you actually override stuff , since otherwise the overriding order is not deterministic . It might even change with a maven-war-plugin upgrade . ( It did in our case . )	D N P O V V V P A N P N V V ^ V O V P ^ , O V D N ^ O V D N N & V O P D A ^ O V D A N P V A ^ P D N , D N V R R A P O V D ^ P A N , & L R A P O V R V D , V P V D N N P O R A N , P R D A N V R A , O V R V P D ^ V , , O V P D N , E
Which JavaScript library you recommend to use with Java EE + Struts + iBatis ? Something like Ext JS , Dojo , frameworks that can be easily integrated with Struts .	O ^ N O V P V P ^ ^ & ^ & ^ , N P ^ ^ , ^ , V O V V R V P ^ ,
Here's a good article on Dojo for Java Developers .	L D A N P ^ P ^ N ,
Sorting domain names	V N N
split by " . " then piece together " . com.au " and " . co.uk " vs " . com "	V P , , , R N R , , U , & , , U , V , , ^ ,
Based on Tom's answer ... The print statements work ( when uncommented ) in the SquareFree JavaScript Development Environment , a handy place to test out javascript fragments ...	V P Z N , D N N N , R V , P D ^ ^ N N , D A N P N P ^ N ,
I've been digging through Stack Overflow as well as a number of Google searches , and I cannot find a satisfactory code formatter for Javascript . I have found several related tools , such as syntax highlighters and pretty-printers , but I am looking for a tool that I can ideally create a wrapper for in Eclipse and simply run from the menu bar . Hence , if any Java-based ones are available , that is a big plus . Free and / or open-source is preferred as well . I am looking for something that my development group can use to maintain a consistent code style . Thanks . [ EDIT ] Thank you for the incredibly fast responses ! I would upvote you both if I had any karma . But especially kRON for linking to the format customizations page . [ EDIT ] Related question on Stack Overflow .	L V V P ^ ^ P R P D N P ^ N , & O V V D A N N P ^ , O V V R A N , A P N N & ^ , & O V V P D N P O V R V D N P P ^ & R V P D N N , R , P D ^ N V A , O V D A N , A & , & N V V P R , O V V P N P D N N V V P V D A N N , N , , V , V O P D R A N , O V V O $ P O V D ^ , & R ^ P V P D N N N , , V , V N P ^ ^ ,
This is by far the best I've come across : http://jsbeautifier.org Its an online tool , but source is available .	D V P R D A L V P , U L D A N , & N V A ,
For Eclipse IDE you can use JavaScript Code Formatter based on Goolge's Style Guide For IntelliJ IDEA you can use the same js code formatter xml file , but previously you have to install a special plugin Eclipse Code Formatter Plugin , which solves the problem of maintaining a common code style in team environments where both IDEA and Eclipse are used	P ^ ^ O V V ^ N N V P ^ N N P ^ ^ O V V D A ^ N N ^ N , & R O V P V D N V ^ ^ ^ ^ , O V D N P V D N N N P N N R D ^ & ^ V V
You forgot to include the javascript code . From the example : Are you sure you call service.updateRowValueForField ( key , value , fieldname ) and not something different ? Further , your method returns a void ( e.g. doesn't return anything ) . What did you expect to get ?	O V P V D N N , P D N , V O R O V ^ , A , N , N , & R R A , R , D N V D ^ , N V V N , , O V O V P V ,
I'd like to run JSLint4Java as part of my build process . I have about 1000 JS files in a library , and don't really want to add a header to each of them -- especially since many of them are from an external library ( Dojo ) . If I don't add the header , though , JSLint complains about the same five globals on nearly every single file . Is there a way to tell JSLint to ignore them ? Some things I've thought of so far : Some sort of AntFileMap task that creates a virtual directory hierarchy that's an exact copy of another hierarchy , but has a filter applied to each file ( in this case , prepend with a / *globals * / header ) . Hack JSLint4Java to accept a set of globals which it prepends as a comment to the beginning of every file it processes . I've never seen anything like ( 1 ) . ( 2 ) seems relatively easy , but I'd prefer to use original tools if possible . Any better suggestions ?	L V P V ^ P N P D V N , O V P $ ^ N P D N , & V R V P V D N P D P O , R P A P O V P D A N , ^ , , P O V V D N , P , ^ V P D A N N P R A A N , V R D N P V ^ P V O , D N L V P R R , D N P ^ V O V D A N N L D A N P D N , & V D N V P D N , P D N , N P D D N , D N , , V ^ P V D N P V D O V P D N P D N P O V O V , L R V N V D $ D , D $ D V R A , & L V P V A N P A , D A N ,
I've been playing with DWR and converters for a while and I really wanted to map my Java classes to JavaScript classes . Using DWR converters , I have the option to point out what is the name of my JS constructor given a Java class . So far so good ... The problem arises when my JS constructor is within a JS package-like name ( just like YUI's package system , eg my.beautiful.package.MyClass ) . DWR's current implementation doesn't allow me to use this kind of construct , giving me a SyntaxError when I try to use it . Is there an elegant way arround this limitation ?	L V V P ^ & N P D N & O R V P N D ^ N P ^ N , V ^ N , O V D N P N P O V D N P D ^ N V D ^ N , P R R A , D N V R D ^ N V P D ^ A N , R P Z N N , G ^ , , Z A N V V O P V D N P V , V O D ^ R O V P V O , V R D A N P D N ,
One thing that I did , I " globalized " all needed constructors used by DWR , ( using the notation as follows * my_beautiful_package_MyClass * ) although it works , its not that elegant =/	$ N P O V , O , V , X V N V P ^ , , V D N P V , ^ , , P O V , L R R A E
Here is a sample build.xml I use for my rhino applications . If you have lots of javascript files you just need to keep adding more tags ~ : ant compile jar run ~	R V D N ^ O V P D ^ N , P O V N P ^ V O R V P V V A N G , ^ N ^ N G
Everything . JavaScript was named this way by Netscape to confuse the unwary into thinking it had something to do with Java , the buzzword of the day , and it succeeded . The two languages are entirely distinct .	N , ^ V V D N P ^ P V D A P V O V N P V P ^ , D N P D N , & O V , D $ N V R A ,
Sun tried this naming trick again with the " Sun Java Desktop " , which was essentially a branded version of Gnome and had nothing to do with Java .	^ V D V ^ R P D , ^ ^ N , , O V R D A N P ^ & V N P V P ^ ,
The reason they changed the name was to in some way pacify Sun who at that point were involved with Netscape	D N O V D N V P P D N V ^ ^ P D N V A P ^
That is the best answer ever . If it is original ( i.e. you hadn't heard it from somewhere else ) you are a genius . I am going to start quoting this ...	O V D A N R , P O V A , V O V V O P R R , O V D N , O V V P V V D ,
He didn't . 200 max per day .	O V , $ N P N ,
+1 ( just to help Tim ! )	$ , R P ^ ^ , E
I prefer the version about ham and hamster .	O V D N P N & N ,
You might also here strongly-typed and loosely-typed instead of statically-typed and dynamically-typed .	O V R R A & V R P A & A ,
If we could do categorical votes , I'd vote +1 funny , but otherwise , meh .	P O V V A N , L V $ A , & R , ! ,
Perfect - +1 for humor , as someone else said , but -1 for actually answering the question .	A , $ P N , P O R V , & $ P R V D N ,
ROFL ... That was funny .	! , O V A ,
twitted right after finishing laughing ...	V R P V V ,
They are independent languages with unrelated lineages . Brendan Eich created Javascript originally at Netscape . It was initially called Mocha . The choice of Javascript as a name was a nod , if you will , to the then ascendant Java programming language , developed at Sun by Patrick Naughton , James Gosling , et . al .	O V A N P A N , ^ ^ V ^ R P ^ , O V R V ^ , D N P ^ P D N V D N , P O V , P D R A ^ V N , V P ^ P ^ ^ , ^ ^ , G , G ,
Take a look at the Wikipedia link JavaScript , despite the name , is essentially unrelated to the Java programming language , although both have the common C syntax , and JavaScript copies many Java names and naming conventions . The language was originally named " LiveScript " but was renamed in a co-marketing deal between Netscape and Sun , in exchange for Netscape bundling Sun's Java runtime with their then-dominant browser . The key design principles within JavaScript are inherited from the Self and Scheme programming languages .	V D V P D ^ N ^ , P D N , V R A P D ^ V N , P D V D N ^ N , & ^ N A ^ N & V N , D N V R V , ^ , & V V P D A N P ^ & ^ , P N P ^ V Z ^ ^ P D A N , D A N N P ^ V V P D N & N V N ,
Same experience here .	A N R ,
Java is to JavaScript as ham is to hamster	^ V P ^ P N V P ^
Actually , now that I read it over , I think I actually don't need to escape the string I'm sending back at all ... That is , StringEscapeUtils.escapeJavaScript would be useful if the resulting value was printed in the page , like : Or am I missing something and there would still be a valid reason to do the escape in the original case ? ( when it is returned as a series of bytes back to an ajax onreadystatechange handler and assigned to a js variable )	R , R P O V O R , O V O R V V P V D N L V R P X , O V , ^ V V A P D A N V V P D N , V , & V O V N & R V R V D A N P V D V P D A N , , R O V V P D N P S N P D ^ ^ N & V P D ^ N ,
Your problem is that you're trying to keep the client from seeing what's on his or her own computer . You can't keep them from looking at their browser cache . You can't keep them from disabling JavaScript ( and thus your scripting code ) . You can't keep them from using a browser that doesn't observe that " repost " convention that you mention . This is not a problem that can be solved with JavaScript or a server-side solution . That part of why " breaking the back button " is frowned upon : it doesn't actually solve anything .	D N V P L V P V D N P V L P D & D A N , O V V O P V P D N N , O V V O P V ^ , & R D N N , , O V V O P V D N O V V O , N , N P O V , D V R D N P V V V P ^ & D A N , D N P R , V D N N , V V T , O V R V N ,
Have you considered that a malicious user could simply turn off Javascript ?	V O V P D A N V R V T ^ ,
Jeff Atwood described a way to prevent CSRF and XSRF attacks here . You could use this technique to solve your " users seeing what they should not see " problem .	^ ^ V D N P V ^ & ^ V R , O V V D N P V D , N V O O V R V , N ,
if this might help . This works for ASP , use an equivalent solution for other languages . % response.buffer = true% > % Response.CacheControl = " no-cache " % > % Response.AddHeader " Pragma " , " no-cache " % > % Response.Expires = -1 % >	P D V N , D V P ^ , V D A N P A N , G C = C , , C = , C , C C C ^ , C , , , C , G G G ^ G G G G
Is it possible to use JSTL to display a date in the client's timezone ?	V O R P V ^ P V D N P D S N ,
Yes , I poster this answer just if knowing the timezone is critical . All the information the server has is in the HTTP request which doesn't contain any info regarding time or timezone , so I guess it is impossible to know it if not using AJAX or a cookie	! , O V D N R P V D N V A , X D N D N V V P D ^ V O V V D N V N & N , P O V O V A P V O P R V ^ & D N
" You can get engines for many popular scripting languages from scripting.dev.java.net . " No , we can't anymore . I know this is extremely old , but is there a newer link we should use ?	, O V V N P A A N N P U , , ! , O V R , O V D V R A , & V R D A N O V V ,
you are incorrectly invoiking the method using ; which is passing an argument of type java.lang.Class [] into the signature that is expecting a String object . simply pass the parameters object in as it is .	O V R G D N V , O V V D N P N ^ ^ P D N P V V D ^ N , R V D N N P P O V ,
new error : There is no Java method java.lang.Class.getMethod that matches JavaScript argument types ( string , object ) . Candidate methods with the same name are : java.lang.reflect.Method getMethod ( java.lang.String , java.lang.Class [] )	A N , X V D ^ N ^ O V ^ N N , N , N , , N N P D A N V , ^ ^ , ^ , ^ = ,
in " plain " rhino this is supposed to work sorry :(	P , A , ^ D V A P V A E
in our web service we set a cookie through JavaScript wich we read again in Java ( Servlet ) however we need to escape the value of the cookie because it may contain illegal characters such as ' ' which messes up the cookie . is there a transparent way to escape ( JavaScript ) and unescape again ( JAVA ) for this ? thanks , Pieter Goddijn	P D N N O V D N P ^ ^ O V R P ^ , N , R O V P V D N P D N P O V V A N R R , , D V P D N , V R D A N P V , ^ , & L R , ^ , P D , N , ^ ^
Client JavaScript / ECMAScript : Server Java : I'll add further discoveries to my blog entry .	N ^ , ^ , N ^ , L V A N P D N N ,
Have a read of this article . Are you using Firebug + YSlow to check what is being stored in the cache ? Using the web.xml org.richfaces.LoadScriptStrategy setting , you can tell Richfaces to either : Load all script in one file . Load no scripts ( you do it yourself instead - eg . in the manner prescribed by your book ) . Load scripts when needed ( the default ) . But some basic principles : Never put logic into your getters . They are called multiple times and should only return something already populated by another method . For example if you are chaining drop-downs together use an a4j : support tag on the first one with an action attribute that loads the data which is then retrieved when you reRender the second one . Use the ajaxSingle= " true " unless you actually want to send the whole form back to the server . Don't use a rich component if you only need a normal one . For example don't use rich :d ataTable unless you are making use of some of the features that it has over and above h :d ataTable .	V D V P D N , V O V ^ & ^ P V O V V V P D N , V D ^ ^ V , O V V ^ P D , V D N P $ N , V D N , O V T O R , G , P D N V P D N , , V N R V , D N , , & D A N , R V N P D N , O V V A ^ & V A N N R V P D N , P N P O V V N R V D ^ , N N P D A $ P D N V D N D N O V R V R O V D A $ , V D G , A , P O R V P V D A N N P D N , V V D A N P O R V D A $ , P N V V A G G P O V V V P D P D N P O V R & P G G G ,
Sending MIDI messages in a Web page	V ^ N P D N N
With the intent on becoming fluent on both to do a mix of web and application coding . Would one facilitate learning the other ?	P D N P V A P $ P V D N P N & N N , V O V V D O ,
You might make this CW because it doesn't really have an answer .	O V V D ^ P O V R V D N ,
He does say he means to learn both , just wants tips on " which one _first_ " ...	O V V O V P V $ , R V N P , D $ N , ,
+1 Good answer , plus great links .	$ A N , & A N ,
What do you want to be able to do first ? There are any number of languages which could be a first language and it really depends on what you want to do .	O V O V P V A P V R , X V D N P N O V V D A N & O R V P O O V P V ,
Yeah , I wondered about the name coincidence . I guess I ll let the project dictate which one gets the most focus . You are correct about the infrastructure needs ( jvm vs web ) that each needs . Thanks y all	! , O V P D N N , O V O V V D N V D N V D A N , O V A P D N V , ^ P N , P D V , N G X
Javascript source files on JBoss have the wrong content-type / mime type ?	^ N N P ^ V D A N , ^ N ,
It is exactly the same . The client makes an HTTP request to the server ( by submitting a form ) . The server responds with some HTML ( which links to or embeds some JavaScript ) . Switching from PHP to Java is just a drop in replacement . You don't need to change any of the JavaScript . The user guide tells you how to set it up .	O V R D A , D N V D ^ N P D N , P V D N , , D N V P D ^ , D N P & V D ^ , , V P ^ P ^ V R D N P N , O V V P V D P D ^ , D N N V O R P V O T ,
http://oreilly.com/pub/a/javascript/2002/02/08/iframe.html is the best idea to file-upload . i done file upload using hidden iframe . Please consult with attached link .	U V D A N P N , O V V N V A N , V V P A N ,
I've just noticed that the line " alert ( params.stepNumber ); " seems to show undefined . Am I not creating this array correctly ? I've also tried params[ " stepNumber " ] and thats undefined too .	L R V P D N , ^ , ^ ^ , V P V A , V O R V D N R , L R V G , C , , & L A R ,
After briefly checking the prototype documentation , your request looks valid . I recommend inspecting the content of the AJAX request directly . Use Firebug or an external HTTP sniffer like Charles Proxy to verify that the POST request contains your data . EDIT I totally missed it - you're definitely defining the object wrong . You can't reuse an existing symbol as an object property without properly delimiting it . When you don't do this ( let's assume stepNumber == 4 ) then your params object looks like this	P N V D N N , D N V A , O V V D N P D ^ V R , V ^ & D A ^ N P ^ N P V P D ^ N V D N , N O R V O , L R V D N R , O V P D A N P D N N P R V O , R O V V D , L V C = $ , R D N N V P D
Thank you . Replaced the line in the java with : Integer pageNumber = ( Integer.parseInt ( request.getParameter ( " step "))) ; and it works like a charm .	V O , V D N P D N P , C C = , ^ , ^ , , C G , & O V P D N ,
There are some JSF component libraries that got more or less ajax support . ICEfaces for example , makes all the standard components ajax'ish and offers server push techniques . Check out the jsfmatrix to get an overview .	X V D ^ N N O V A & A N N , ^ P N , V X D A N Z & V N V N , V T D ^ P V D N ,
escape and unescape are deprecated - https://developer.mozilla.org/En/Core_JavaScript_1.5_Guide/Predefined_Functions/Escape_and_unescape_Functions	N & N V V , U
If this is OS independent , then you can't rely on any specific program being available . What kind of program would you want to launch anyway ?	P D V ^ A , R O V V P D A N V A , D N P N V O V P N R ,
In short , yes , but see the following article , in terms for ease of use integration ( tag library ) wise : http://raibledesigns.com/rd/entry/ext_js_tag_library and the referenced article : http://blog.james-carr.org/2008/01/22/making-extjs-more-accessible-to-java-developers /	P A , ! , & V D N N , P N P V P V N , N N , A , U & D A N , U G
I strongly recommend taking a look at Grails . It lives in the java world , and plays extremely nice together with ExtJS . For example , you probably will have to generate and parse a lot of JSON between server and ExtJS client , and Grails does that as if it was a language built-in .	O R V V D V P ^ , O V P D N N , & V R A R P ^ , P N , O R V V P V & P D N P ^ P N & ^ N , & ^ V O R P O V D N N ,
How to check whether JavaScript is enabled in client browser using Java code	R P V P ^ V V P N N V ^ N
If a form submit is performed , you can put a hidden input in the form and fill out its value with javascript ( from OnSubmit ) and check that on the server side .	P D N V V V , O V V D A N P D N & V T D N P ^ , P ^ , & V O P D N N ,
Why do you say that ? Have you tried it ?	R V O V O , V O V O ,
You really should have search for this but in JSP it's :	O R V V N P D & P ^ L ,
Maybe this could help . It will replace any words you want by anything or nothing . It will work for your request too .	R O V N , O V V D N O V P N & N , O V V P D N R ,
A closure and a class are two very different things . It is not correct to say ' A class is more powerful that a closure . ' or vise a versa . They do totally different things . A closure is in a basic sense , a function call that retains the local variable information from the scope it was created . A class is a definition of an object . The class defines behavior and the contents of instances of the class .	D ^ & D ^ V $ R A N , O V R A P V , D ^ V R A P D ^ , , & N D R , O V R A N , D ^ V P D A N , D N V O V D A A N P D N O V V , D ^ V D N P D N , D ^ V N & D N P N P D ^ ,
I'm not sure what led you to this question , but something you've been told or something you read has severely misled you . Ignoring language altogether , a closure and a class are completely unrelated structures / conventions in programming .	L R A O V O P D N , & N L V V & N O V V R V O , V N R , D ^ & D ^ V R A N , N P N ,
It sounds like one hand clapping .	O V P $ N N ,
HI Folks , I'm using the Struts 2 validation . And for displaying the custom error messages I'm overriding the css_xhtml .. and the validation.js for client side validation . Every thing is going well but the validation is on form submit .. can i do it for all the form fields Onblur event .. Any suggestion highly appreciated Thanks in Adavance Cheers , Vinayak V B	! N , L V D ^ $ N , & P V D A N N L V D ^ , & D ^ P N N N , D N V V R & D N V P N V , V O V O P X D N V ^ N , D N R A N P G V , ^ G G
I know it's not optimal , but I have to work with it , a page making calls to the applet . My problem is , when I do so , I recieve a rather cryptic error message : " uncaught exception : Error calling method on NPObject ! [ plugin exception : java.lang.reflect.InvocationTargetException ] . " Can anyone decode this ? Even multiple possibilities would be better than the junk I came up with . The basic call to the applet is from a javascript call : As you can see , the passData method is the exposed method I am trying to use . The applet itself works fine on the page , it's just when I try to call this , it doesn't do anything except throw that error . If I ask the person working on the applet ( it's not my portion ) is it possible for them to add constructive error throwing or am I not even at the point of connecting to the applet yet ?	O V L R A , & O V P N P O , D N V V P D N , D N V , R O V R , O V D R A N N , , D N , ^ V N P ^ = , N N , ^ , , , V N V D , R A N V V R P D N O V T P , D A N P D N V P D ^ N , P O V V , D ^ N V D A N O V V P V , D N O V A P D N , L R R O V P V D , O V V N V V D N , P O V D N V P D N , L R D N , V O R P O P V A N V & V O R R P D N P V P D N R ,
The string I was passing was not being received correctly by the exposed Java applet method .	D N O V V V R V V R P D A ^ N N ,
For the first issue , how about trying For the second issue here is a thread with a possible workaround . Quoting the workaround change that code to :	P D R N , R P V P D R N R V D N P D A N , V D N V D N P ,
Flash is going to be your best solution . Hopefully this will help : http://www.kirupa.com/forum/showthread.php?t=17331	^ V V P V D A N , R O V N , U
As of Flash 10 you do not need a media server . You can capture the raw samples and send them to an arbitrary back-end with an HTTP post . https://code.google.com/p/wami-recorder /	R P ^ $ O V R V D N N , O V V D A N & V O P D A A P D ^ N , U ,
This is an old thread , but the issue remains relevant . It should be noted that there is a way to record audio to the server in Flash without a proprietary back-end . Here's an example project to get you started : https://code.google.com/p/wami-recorder /	D V D A N , & D N V A , O V V V O X V D N P A N P D N P ^ P D A A , L D N N P V O V , U ,
You probably need to get a JMS connection from JNDI , like this :	O R V P V D ^ N P ^ , P D ,
Have you tried reading the answers for this question which links to the ActiveMQ Ajax support . Basically ActiveMQ has native support for Ajax so you can use its JavaScript library to directly subscribe from an ActiveMQ topic . Also see the ActiveMQ web samples which show how to do things like real time chat or real time stock portfolio screens using Ajax with ActiveMQ	V O V V D N P D N D N P D ^ ^ N , R ^ V A N P ^ P O V V L ^ N P R V P D N N , R V D ^ N N D N R P V N R A N N & A N N N N V ^ P ^
You can use JSObject to call back into javascript from Java . From that page :	O V V ^ P V R P ^ P ^ , P D N ,
thx for the link , it just contains all the possible methods	! P D N , O R V X D A N
I don't see how JavaScript is relevant here ...	O V V R ^ V A R ,
Can't you just replace the occurrences of the first string in the second with an empty string ?	V O R V D N P D A N P D A P D A N ,
@Herb Agreed , I do like Erickson's ( and Chris's ) approach much better for readability . However , his doesn't enforce strict prefix / suffix . The problem I have is the question is a bit ill-defined : what does String difference really mean ?	@ A , O V P Z , & Z , V R R P N , R , D V V A N , N , D N O V V D N V D N A , O V N N R V ,
Java : Scripting language ( macro ) to embed into a Java desktop application	^ , N N , N , P V P D ^ N N
Lua is appreciated , among other things , by the simplicity of the language , making it easy to learn . LuaJava uses the original Lua implementation , making it complete , but as you point it , maybe delicate to install . I know at least a pure Java implementation of Lua : Kahlua . It is not complete ( lacking coroutine support among other things , but one can do much without them ) but perhaps already usable for your goal . Unlike , say , Groovy , it shouldn't add much overhead to your application ...	^ V V , P A N , P D N P D N , V O A P V , ^ V D A ^ N , V O A , & P O V O , R A P V , O V P R D A ^ N P ^ , ^ , O V R A , V N V P A N , & O V V R P O , & R R A P D N , P , V , ^ , O V V R A P D N ,
You might consider Jacl . It is based on Tcl which was originally designed to be an embeddable scripting language . So , one could argue it is much more suited for that purpose than other scripting languages that had the ability to be embedded tacked-on . Particularly if the target audience is " not hardcore programmers " , Jacl makes a fine choice . Intelligent people ( and especially those without hard-wired programming prejudices ) can easily pick up the Tcl syntax in a morning .	O V V ^ , O V V P ^ O V R V P V D N N N , P , O V V O V R R V P D N P A N N O V D N P V V V , R P D V N V , R A N , , ^ V D A N , A N , & R O P A N N , V R V T D ^ N P D N ,
Java 6 already has javascript available as a JSR 223 scripting language , out of the box .	^ $ R V ^ A P D ^ $ N N , R P D N ,
Thanks for your answer , Phill . Actually , I'm using Spring . While your answer is a nice one , I'd still like to hear some other opinions :-)	N P D N , ^ , R , L V ^ , P D N V D A O , L R R P V D A N E
Not that long ago I thought about something similar . Using jQuery and the TexoTela add-on it wasn't all that difficult . First , you have a data structure like the map mentioned above : Your HTML should look comparable to : Then , you fill the first combo with jQuery code like : where manufacturerSelected is the callback registered on the onChange event This should do the trick . Please note that there may be syntax errors in there ; I have edited my code to reflect your use case and had to strip quite a lot out . If this helps I would appreciate a comment .	R O R R O V P N A , V ^ & D ^ N O V X D A , A , O V D N N P D N V P , D ^ V V A P , R , O V D A N P ^ N V , R V V D N V P D ^ N D V V D N , V V O R V V N N P R , O V V D N P V D N N & V P N R D N P , P D V O V V D N ,
if I get anywhere , I'll post the solution here . Once again , everybody , thanks for all the answers , and excuse me for the long comment .	P O V R , L V D N R , R R , N , N P X D N , & V O P D A N ,
it as soon as I can , probably the day after tomorrow . Although your solution isn't complete , I'm giving you a vote up , just for the effort you put into it :-) Hint : my solution involves using a scriptlet .	O R R P O V , R D N P N , P D N V A , L V O D V T , R P D N O V P O E N , D N V V D N ,
How do you restrict the size of a file being uploaded with JavaScript ( or Java ) without transferring the entire file ?	R V O V D N P D N V V P ^ , & ^ , P V D A N ,
With JSP or PHP you won't be able to restrict the file size because your page won't get the request until the upload has already happened . At that point you can decide not to save the file but that might be too late . There are some Java solutions out there , e.g. MyUploader or Hermes . Some even support multiple file uploads and resuming partial uploads , and some also give you the source code . You can also write your own , but it will need to be a signed applet in order to function because it needs to access the local filesystem . If you're using Apache as your webserver you'll need enough RAM in your machine to fit the whole file size in memory of all files being uploaded at a given time .	P ^ & ^ O V V A P V D N N P D N V V D N P D N V R V , P D N O V V R P V D N & O V V R A , X V D ^ N P R , G ^ & ^ , O R V A N N & V A N , & D R V O D N N , O V R V D N , & O V V P V D A N P N P N P O V P V D A M , P L V ^ P D N L V A ^ P D N P V D A N N P N P D N V V P D V N ,
http://www.wicket-library.com/wicket-examples-6.0.x/index.html has plenty of examples to get you going . Or have a Have a look at DWR http://directwebremoting.org DWR allows Javascript in a browser to interact with Java on a server and helps you manipulate web pages with the results . As Dorward mentioned this is done via AJAX	U V R P N P V O V , & V D G G N P ^ U ^ V ^ P D N P V P ^ P D N & V O V N N P D N , P ^ V D V V P ^
