Is it possible to use JSTL to display a date in the client's timezone ?	V O R P V ^ P V D N P D S N ,
syntactically may be , but you can emulate one with the other in java for example , and they are not tooo different from each other when you start thinking about it .	R V V , & O V V $ P D A P ^ P N , & O V R R A P D A R O V V P O ,
thank you for the koan .	V O P D N ,
Will I become enlightened when I figure out how to pronounce Qc Na ?	V O V A R O V T R P V ^ ^ ,
It sounds like one hand clapping .	O V P $ N N ,
@Sebasti nGrignoli - In particular , one that is applauding the felling of a tree in a vacant forest .	@ ! , P A , $ O V V D V P D N P D A N ,
This is a good question but could be better worded : " What are some similarities and differences between Java objects and JavaScript closures " ? Similarities : they both have persistent state in their local variables . Their methods have access to those state variables . Differences : Javascript is a functional language , therefore functions within functions can be immediately invoked and returned . For example : So you can write code like this snippet copy / pasted from rhino shell :	D V D A N & V V R A , , O V D N & N P ^ N & ^ ^ , , N , O D V A N P D A N , D N V N P D N N , N , ^ V D A N , & N P N V V R V & V , P N , P O V V N P D N V , V P ^ N ,
Strut2 validation , Overriding css_xhtml theme	^ N , V ^ N
HI Folks , I'm using the Struts 2 validation . And for displaying the custom error messages I'm overriding the css_xhtml .. and the validation.js for client side validation . Every thing is going well but the validation is on form submit .. can i do it for all the form fields Onblur event .. Any suggestion highly appreciated Thanks in Adavance Cheers , Vinayak V B	! N , L V D ^ $ N , & P V D A N N L V D ^ , & D ^ P N N N , D N V V R & D N V P N V , V O V O P X D N V ^ N , D N R A N P G V , ^ G G
you can use the jquery plugin to have onblur ( client side ) validation on your forms . Furthermore , you may use DWR validation for struts2 . You will have to go through some setup procedures that involve adding the DWR.xml in your configuration file but once all that is done , you will be able to have AJAX validation on your forms . Example	O V V D ^ V P V ^ , N N , N P D N , R , O V V ^ N P ^ , O V V P V P D N N O V V D ^ P D N N & R R O V V , O V V A P V ^ N P D N , N
You could just call the forms onsubmit function through an onblur handler . Something like :	O V R V D N ^ N P D ^ N , N P ,
Trouble calling an applet method from page	N V D N N P N
I know it's not optimal , but I have to work with it , a page making calls to the applet . My problem is , when I do so , I recieve a rather cryptic error message : " uncaught exception : Error calling method on NPObject ! [ plugin exception : java.lang.reflect.InvocationTargetException ] . " Can anyone decode this ? Even multiple possibilities would be better than the junk I came up with . The basic call to the applet is from a javascript call : As you can see , the passData method is the exposed method I am trying to use . The applet itself works fine on the page , it's just when I try to call this , it doesn't do anything except throw that error . If I ask the person working on the applet ( it's not my portion ) is it possible for them to add constructive error throwing or am I not even at the point of connecting to the applet yet ?	O V L R A , & O V P N P O , D N V V P D N , D N V , R O V R , O V D R A N N , , D N , ^ V N P ^ = , N N , ^ , , , V N V D , R A N V V R P D N O V T P , D A N P D N V P D ^ N , P O V V , D ^ N V D A N O V V P V , D N O V A P D N , L R R O V P V D , O V V N V V D N , P O V D N V P D N , L R D N , V O R P O P V A N V & V O R R P D N P V P D N R ,
InvocationTargetException indicates that the underlying method in your applet threw an exception . The Javascript to Java " boundary " uses reflection , so exceptions thrown by the Java code are wrapped like this . ( This makes it possible to distinguish them from exceptions thrown before you got into your Java code . For example , if you tried to call a non-existant method . ) You can get the original exception by catching the InvocationTargetException and then calling its getTargetException() or getCause() method ( they both do exactly the same thing ) .	^ V P D A N P D N V D N , D ^ P ^ , N , V N , P N V P D ^ N V V P D , , D V O R P V O P N V P O V P D ^ N , P N , P O V P V D A N , , O V V D A N P V D ^ & R V L ^ & ^ N , O D V R D A N , ,
Thanks , that's definitely going to help out . I'll leave the question open in case I get any more hits , but I'll check back tomorrow morning in case anyone has any more insight on it .	N , L R V P V T , L V D N V P N O V D A N , & L V T N N P N N V D A N P O ,
I'd suggest you look into what someOtherData is . If someOtherData isn't a correct type it could cause such an exception . It sounds like you're trying to pass a DOM object ? Take a look at this page in O'Reilly's JavaScript Guide to see available types .	L V O V P D G V , P G V D A N O V R X D N , O V P L V P V D ^ N , V D V P D N P Z ^ N P V A N ,
The string I was passing was not being received correctly by the exposed Java applet method .	D N O V V V R V V R P D A ^ N N ,
Could you elaborate ?	V O V ,
