javascript / XUL invoking java ? interesting ... any ref ?	^ , ^ V ^ , A , D N ,
LiveConnect is a Mozilla technology that bridges Java and JavaScript . Amazingly , they've started maintaining it again for recent versions of Firefox . In Firefox I can write e.g. or use the Packages . namespace if it's not a java.something or I could go crazy and call a factory method in swing easily instantiating any Java object . Is there an equivalent that works in ie ?	^ V D ^ N P V ^ & ^ , R , L V V O R P A N P ^ , P ^ O V V G & V D N , N P L R D ^ & O V V A & V D N N P V R V D ^ N , V R D N O V P ^ ,
@Esko : If it is a leaky abstraction , then Firefox is leaking all over computers everywhere . The security model protects you from doing silly things like being able to access the local file system : ` var f = new java.io.File ( " test.txt ") ; document.write ( f.exists() ); ` results in : ` Error : uncaught exception : Error calling method on NPObject ! [ plugin exception : java.security.AccessControlException : access denied ( java.io.FilePermission test.txt read ) ] . ` However , ` var s = new java.lang.StringBuilder ( " Hello ") ; s.append ( " , World ! ") ; document.write ( s ); ` works just fine : ` Hello , World ! `	@ , P O V D A N , R ^ V V D T N R , D N N V O P V A N P V A P V D A N N , , C C = C ^ , , C , , ^ C C , , V P , C N C A N , N V N P ^ , , N N , ^ , N V , ^ G N , , , , ! , , C C = A ^ , , ! , , C , , , N , , , ^ , C , , V R A , , ! , N , ,
@Tom : His code is actually creating a Java ` Date ` and referencing it from client-side JavaScript . Consider : ` var r = new java.util.Random() ; document.write ( r.nextBoolean() + ' ; ' + r.nextDouble() + ' ; ' + r.nextFloat() + ' ; ' + r.nextGaussian() + ' ; ' + r.nextInt() + ' ; ' + r.nextLong() ); ` Client-side JavaScript doesn't have a ` Random() ` object , and it certainly doesn't have any ` next* ( )` methods available .	@ ~ D N V R V D ^ , N , & V O P N ^ , V , , C C = C ^ , ^ , C = , , , = C = , , , = C = , , , = C = , , , = C = , , , = C , , N ^ V V D , ^ , N , & O R V V D , ? , , N A ,
How about if " the thing I want to do " is the Rhino eval() statement bundled with Java 6 :-)	R P P , D N O V P V , V D ^ ^ N V P ^ $ E
You could possibly use DWR or some other reverse ajax library that will allow you to create Java objects on the server side via Javascript objects .	O V R V ^ & D A A ^ N O V V O P V ^ N P D N N P ^ N ,
captcha Image link on html page	N N N P ^ N
Why do you want to do this ? It is likely that looking at the requirement rather than the technical solution would be the best option here . If you have a bot that wishes to spider information " protected " by a Captcha then contacting the providers and asking for direct access to the data would likely be a much better option that the cat mouse game you will enter without the providers permission to access said content . You could use a JavaScript interpreter to run the script . Java 6 comes with one built in or you could embed the complete HTML frame in a browser for the manual part .	R V O V P V D , O V R O V P D N R P D A N V V D A N R , P O V D N O V P V N , V , P D N R V D N & V P A N P D N V R V D R A N P D N N N O V V P D N N P N V N , O V V D ^ N P V D N , ^ $ V P $ V P & O V V D A ^ N P D N P D A N ,
Call JSObject.getWindow ( this ) in the applet . Then pass the JSObject into the code that needs it in the usual fashion .	V ^ , D , P D ^ , R V D ^ P D N P V O P D A N ,
URL decoding in Javascript	^ V P ^
Using JavaScript's escape / unescape function is almost always the wrong thing , it is incompatible with URL-encoding or any other standard encoding on the web . Non-ASCII characters are treated unexpectedly as well as spaces , and older browsers don't necessarily have the same behaviour . As mentioned by roenving , the method you want is decodeURIComponent() . This is a newer addition which you won't find on IE 5.0 , so if you need to support that browser ( let's hope not , nowadays ! ) you'd need to implement the function yourself . And for non-ASCII characters that means you need to implement a UTF-8 encoder . Code is available if you need it .	V ^ N , N N V R R D A N , O V A P ^ & D A A N P D N , ^ N V V R R R P N , & A N V R V D A N , P V P V , D N O V V ^ , D V D A N P O V V P ^ $ , R P O V P V D N , L V R , R , , L V P V D N O , & P ^ N O V O V P V D ^ ^ , N V A P O V O ,
I am brand new to Java -> JavaScript communication , as I planned to explore it this week . A good opportunity here ... :-) After some tests , it seems you cannot pass a JS function to a Java applet . Unless I am doing it the wrong way ... I tried : where Call is ( are ) defined as : When I pass a JS function ( all tests in FF3 ) , I get a null on the Java side . Note that the following Java routine allows to display the JS code of DumberTest function ! To the point : I made a JS function : I extract the name of the JS function from the toString result and pass it to Java applet . I don't think we can handle anonymous functions because Java call JS functions by name . Java side :	O V R A P ^ , ^ N , P O V P V O D N , D A N R , E P D N , O V O V V D ^ N P D ^ ^ , P O V V O D A N , O V , R N V , V , V P , R O V D ^ N , X N P ^ , , O V D N P D ^ N , V P D V ^ N V P V D ^ N P ^ N , P D N , O V D ^ N , O V D N P D ^ N P D ^ N & V O P ^ ^ , O V V O V V A N P ^ V ^ N P N , ^ N ,
Why is it not advisable to use JavaScript in JSP ? One rationale that I can think of is turning off the feature in browser would stop the code from executing . Is there any other reason behind this ?	R V O R A P V ^ P ^ , $ N P O V V P V V T D N P N V V D N P V , V R D A N P D ,
Afaik , there is no problem in using javascript in jsp , and many sites do use it . Especially if your site is a web app , you will have to use both side by side . They are completely independent . You just have to make sure that what you are using each for is appropriate . As for the part about turning off javascript in a browser making the site unusable , it is true whenever you use javascript , with or without jsp .	^ , X V D N P V ^ P ^ , & A N V V O , R P D N V D N N , O V V P V D N P N , O V R A , O R V P V A P O O V V D P V A , R P D N P V T ^ P D N V D N A , O V A R O V ^ , P & P ^ ,
He's got to mean " don't use java scriptlets " , which is the stuff between % % > . The biggest reason has got to be maintainability and debugging ; scriptlets make everything make both very difficult . On the other hand , if you implement taglibs , you can extract any logic to a real java class , which is easily debugged , and you will still be able to open things up in a visual xml / html editor , since taglibs are a valid xml structure . Now , it is a bad idea to do validation on the client side ( in javascript ) . Users can disable javascript or even access a url directly to get around validation , which opens you up to exploits .	L V P V , V V ^ N , , O V D N P , , , , D A N V V P V N & V , N V N V D R A , P D A N , P O V ^ , O V V D N P D A ^ N , O V R V , & O V R V A P A N P P D A ^ , ^ N , P ^ V D A ^ N , R , O V D A N P V N P D N N , P ^ , , ^ V V A & R V D N R P V P N , O V O T P N ,
I am developing an online exam using JSP / Servlets which is nearing completion . I'm planning to add timer function for the entire exam that shows elapsed time in minutes . How do I implement this with a fool-proof technique to implement this , because using javascript would mean that the user can turn off the feature in the browser . Any help on this would be highly appreciated .	O V V D A N V ^ , ^ O V V N , L V P V N N P D A N P V V N P N , R V O V D P D A N P V D , P V ^ V V P D N V V T D N P D N , D N P D V V R V ,
You can make javascript a requirement in the user's browser , and use javascript+AJAX - every minute , get the updated time from the server or make sure the times are synchronised .	O V V ^ D N P D S N , & V ^ , D N , V D V N P D N & V A D N V A ,
The better way to manage timer is on client side instead of server side . What will happen if the network is very slow ? A guy with poor internet speed can not finish exam since your logic is on server side . You may look Skill Evaluation Lab exam software timer management and implement like this .	D A N P V N V P N N R P N N , O V V P D N V R A , D N P A N N V R V N P D N V P N N , O V V N N N N N N N & V P D ,
What should happen if the session expired on the server-side , then the next time the client sends a request to the server , it will either create a new session , or , more likely , send back a message to the client that it is trying to access a page without a session , and send them to the login screen . However , you will still need to wait until the client sends a message to the server .	O V V P D N V P D N , R D A N D N V D N P D N , O V D V D A N , & , R A , V T D N P D N P O V V P V D N P D N , & V O P D N N , R , O V R V P V P D N V D N P D N ,
different WAR files , shared resources	A ^ N , A N
Thanks for the replies so far , but I'm afraid I forgot to mention that the WARs will be deployed in different environments that are completely isolated from each other . So maybe having a common WAR deployed next to the actual application is the only option . I think I'll go with the following : WAR1 , WAR2 containing app-specific stuff CommonWAR containg common stuff ( no kidding ) EAR1 : WAR1 + CommonWAR , to be deployed in env1 EAR2 : WAR2 + CommonWAR , to be deployed in env2	N P D N R R , & L A O V P V P D ^ V V V P A N O V R V P D A , P R V D N ^ V R P D A N V D A N , O V L V P D N , ^ , ^ V A N N V N N , D V , ^ , ^ & ^ , P V V P ^ ^ , ^ & ^ , P V V P $
The CommonWAR is deployed in two EARs , but it is the * same * CommonWAR , so it is NOT duplicated " for development " . To be honest , I have reverted to 2 EAR files and one WAR file , see my updated post :)	D ^ V V P $ ^ , & O V D , A , ^ , P O V O A , P N , , P V A , O V V P $ ^ N & $ ^ N , V D V N E
You can also dispatch images this way	O V R N N D N
I need JS for display enhancements , and I need free libraries	O V ^ P N N , & O V A N
You must choose the Javascript library based on what you expect from the library , not based on the server libraries . The tipical JS libraries ( Ext JS , JQuery , Prototype , Dojo , YUI , etc ) work on the browser and don't have any dependence on server tecnology . If you are looking for a way to use your server POJO's from javascript take a look at DWR . This library is now part of the dojo foundation , but I've used it with jQuery and Prototype with ease .	O V V D ^ N V P O O V P D N , R V P D N N , D A ^ N , ^ ^ , ^ , ^ , ! , ^ , G , V P D N & V V D N P N N , P O V V P D N P V D N ^ P ^ V D V P ^ , D N V R N P D ^ N , & L V O P ^ & N P V ,
Err , what's wrong with doing exactly what you suggest , reversing the strings and sorting alphabetically ?	! , L A P V R O O V , V D N & V R ,
From the few examples given , I assumed there were three fields ( foo.bar.com) . If there were only two fields ( foo.com) , then the third field would be null .	P D A N V , O V R V $ N , U , P X V A $ N , U , R D A N V V A ,
This is how it's done in Perl :	D V R L V P ^ ,
If you already use Eclipse , I recommend you to try Aptana , you can install it as an Eclipse Plugin .	P O R V ^ , O V O P V ^ , O V V O P D ^ N ,
If you need source code , you might check out the code I present in the article A JavaScript Formatter .	P O V N N , O V V T D N O A P D N D ^ ^ ,
I'm trying to get some code working that a previous developer has written . Yep , he now left the company . :-( I have a JSON RPC call being made from the JS code . The JS all runs fine and the callback method gets an object back ( not an error object ) . But the method on the Java class never gets hit . The smd method does get hit though . I'm stumped as to why , or what I'm missing . I've read JSON plugin page over and over . I think I just need another set of eyes . Note : no errors in the Tomcat console , no JS errors . Anyone got any clues ? Cheers Jeff Porter	L V P V D N V P D A N V V , ! , O R V D N , E O V D ^ ^ V V V P D ^ N , D ^ X V A & D N N V D N N , R D N N , , & D N P D ^ N R V V , D ^ N V V V P , L V R P R , & D L V , L V ^ V N N & R , O V O R V D V P N , N , D N P D ^ N , D ^ N , N V D N , ^ ^ ^
I know its old post ... but i am not able to get this work either ... i am on 2.2 . 3 and in javascript when i say service.doSomething ... it says doSomething not defined ... sounds logical as there is no method saying doSomething in Json service . That example is not correct .. something is missing there ...	O V L A N , & O V R A P V D N & , O V P $ , $ & P ^ R O V ^ , O V ^ R A , V A P X V D N V G P ^ N , D N V R A , N V V R ,
From http://www.ohloh.net/p/jslint4java News 2009-12-02 . jslint4java 1.3 . 3 is released . Noteworthy alterations : Add support for the predef option , to allow specifying a list of predefined global variables . Sounds like what you might be looking for . Try the -- help option to get the syntax , maybe ?	P U ^ $ , ^ $ , $ V V , ^ N , V V P D N N , P V V D N P D A N , V P O O V V V P , V D , N N P V D N , R ,
Thats right , I wonder if they will fix it only for version 3 . Here we use version 2 yet .	L R , O V P O V V O R P N $ , R O V N $ R ,
Why not simply use java task ? Any objections ?	R R R V ^ N , D N ,
* Punches in the arm* . According to wikipedia , I am required to do so after you jinxed me and before I can speak again . http://en.wikipedia.org/wiki/Jinx	, V P D G , V P ^ , O V A P V R P O G O & P O V V R , U
I doubt it was to cause confusion - what's the benefit to the company of that ? I suspect the _intent_ was to ride on the success of Java , although the _effect_ was what you stated .	O V O V P N N , L D N P D N P O , O V D C V P V P D N P ^ , P D C V O O V ,
Yeah , and it worked . @Greg Hewgill , the world might be a better place , but Javascript probably wouldn't be where it is today .	! , & O V , @ ^ , D N V V D A N , & ^ R V V R O V N ,
Awesome answer . I need to remember it !	A N , O V P V O ,
Damn , this answer earned you 690 rep atleast . It is a great answer still .	! , D N V O $ N R , O V D A N R ,
lol , very nice comparison .	! , R A N ,
@Ian Quigley : Ah , that must have been where I saw it ! Thanks .	@ ^ , ! , O V V V R O V O , N ,
2 years late , but thank you so much for this thoughtful explanation . It's way more useful and informative than the selected answer , and deserves far more votes IMO	$ N R , & V O R A P D A N , L N R A & A P D A N , & V R A N ^
Overtly trollish , but somewhat funny .	R A , & R A ,
I downvoted this , then read it properly , then upvoted it .	O V D , R V O R , R V O ,
-1 factually incorrect and not that funny .	$ R A & R R A ,
@Roman well of course , the proper Java way is to write at least 20 different classes using intricate inheritance and other cool OOP features to complete a FizzBuzz :)	@ R P N , D A ^ N V P V P R $ A N V A N & R A ^ V P A D ^ E
Actually , javascript isn't just for browsers . It's a complete scripting language often used for many applications that requires scripts . And Java isn't just for inexperienced or idiots . It can acomplish many things within no time .	R , ^ V R P N , L D A A N R V P A N P V N , & ^ V R P A & N , O V V A N P D N ,
You're right . With the development of Rhino , and some of the other developments you mentioned , Javascript has come pretty far out of the browser sandbox .	L R , P D N P ^ , & D P D A N O V , ^ V V R R R P D N ^ ,
Like everybody's saying , they're pretty much entirely different . However , if you need a scripting language for your Java application , Javascript is actually a really good choice . There are ways to get Javascript running in the JVM and you can access and manipulate Java classes pretty seamlessly once you do .	P L V , L R R R A , R , P O V D N N P D ^ N , ^ V R D R A N , X V N P V ^ V P D ^ & O V N & V ^ N R R R O V ,
A Re-Introduction to Javascript by the Mozilla team ( they make Firefox ) should explain it .	D N P ^ P D ^ N , O V ^ , V V O ,
It comes from a big hamster ; it's so big that you could confuse it with a pig . ` ;) `	O V P D A N , L R A P O V V O P D N , G E G
How will hitting the back button cause the user to see another user's data ? What is your use case ? Is it designed for a public terminal , where each user submits data and then leaves ? In this case , associate each input with a unique session id . Keep track of valid session ids in your server . Once the input is submitted , remove that session id from the valid ids . If it comes up again , then don't display the information .	R V V D N N P D N P V D S N , O V D N N , V O V P D A N , R D N V N & R V , P D N , V D N P D A N ^ , V N P A N N P D N , R D N V V , V D N L P D A N , P O V T R , R V V D N ,
As I mentioned in my post here , you can turn off caching but history may be treated differently by different user agents . The HTTP specification makes a distinction between the two but doesn't really define the concept of history as well as it defines caching .	P O V P D N R , O V V T V & N V V V R P A N N , D ^ N V D N P D $ & V R V D N P N P R P O V V ,
If you're worried about someone seeing what was in a form in a previous page you could use a hidden form for the " real " post and use one that's just for display for the user . When the user submits the display form , you copy all of the fields to the hidden form , clear the display form , then submit the hidden one . I agree with everyone else - fiddling with the back button this is a bad way to handle protecting information .	P L A P O V O V P D N P D A N O V V D A N P D , A , N & V $ L R P N P D N , R D N V D N N , O N R P D N P D A N , V D N N , R V D A $ , O V P N R , V P D N N D V D A N P V V N ,
All of the different browsers have different behaviors and quirks when it comes to how history relates to the cache and the various headers available to control it . Firefox 3 works differently from Firefox 2 , re-displaying potentially sensitive data when a user clicks the back button in spite of using caching directives to prevent it . The best solution is to use a session cookie that is not persisted and inform the user of the need to close the browser window after logging out . Especially if they are at a public terminal . Painful , I know , but current browser offerings and the HTTP specification do not provide any mechanisms for dealing with browser history . History may be treated differently than caching by a user agent according to the HTTP specification . See 13.13 History Lists as defined in RFC 2616 Hypertext Transfer Protocol -- HTTP / 1.1 for the problem and rationale .	X P D A N V A N & V R O V P R N V P D N & D A N A P N O , ^ $ V R P ^ $ , V R A N R D N V D N N P N P V V N P V O , D A N V P V D N N O V R V & V D N P D V P V D N N P V T , R P O V P D A N , A , O V , & A N N & D N N V R V D N P V P N N , ^ V V V R P V P D N N V P D N N , V ^ ^ ^ P V P ^ ^ ^ ^ ^ , ^ , $ P D N & N ,
I have found two solutions to this . Here is the first one . Add back in padding to Base64 encoded strings . Inspiration for this came from http://fi.am/entry/urlsafe-base64-encodingdecoding-in-two-lines In this solution , the JavaScript stays the same ( base64 encode everything ) and the server side looks like : On the JavaScript side , you just need to make sure you base64 encode the values :	O V V $ N P D , R V D A $ , V R P V P ^ A N , N P D V P U P D N , D ^ V D A , $ N N , & D N N V R , P D ^ N , O R V P V R O ^ P D N ,
All the information the server has is in the HTTP request which doesn't contain any info regarding time or timezone . So you have two options : Using a cookie you can store the timezone and then retrieve it in the server-side . The problem here is that you have to wait for the second request to use the timezone value . Using AJAX , with javascript and a XMLHttpRequest object you can push ' new Date() . getTimezoneOffset() ' value to the server , store it in a session var Maybe any of the options are too much if you just want to display time zone	X D N D N V V P D ^ V O V V D N V N & N , P O V $ N , V D N O V V D N & R V O P D N , D N R V P O V P V P D A N P V D N N , V ^ , P ^ & D ^ N O V V , C ^ , ^ , N P D N , V O P D N C R R P D N V R A P O R V P V N N
How to load . js files into a Rhino context in Java	R P N G ^ N P D ^ N P ^
+1 Thanks , that and the web archive have [ helped] ( http://web.archive.org/web/20070610234337/https://scripting.dev.java.net/) , since the latter is just a bag of links , really .	$ N , O & D N N V G G , U , P D N V R D N P N , R ,
now I get this exception : InternalError : Unable to convert JavaScript value to Java value of type java.lang.Class []	R O V D N , ^ , A P V ^ N P ^ N P N ^ ^
how do I set the " args " value ?	R V O V D , N , N ,
I've already tried out all stuff from developer.mozilla.org , with no success ...	L R V T D N P U , P D N ,
In java you got StringEscapeUtils from Commons Lang to escape / unescape . In Javascript you escape through encodeURIComponent , but I think the Commons component I gave to you will satisfy your needs .	P ^ O V ^ P ^ ^ P V , V , P ^ O V P ^ , & O V D ^ N O V P O V V D V ,
JSF Richfaces frontend performance tuning	^ ^ N N V
You can use : org.ajax4jsf.DEFAULT_EXPIRE 31536000 So that all js , css files ( generated by richfaces ) are cached for 1 year on the browser . This really improved speed in our project . Also , we do not need to worry about if we change richfaces version as when we change richfaces version it will generate different files .	O V V , ^ $ P D X ^ , ^ N , V P ^ , V V P $ N P D N , D R A N P D N , R , O V R V P V P P O V ^ N P R O V ^ N O V V A N ,
Found the following ( translated from Italian ) . I'd say Flash is the way to go . If you want to be ghetto you can just get 88 or so piano samples and play them against a timeline . http://translate.google.com/translate?prev=hp hl=en js=n u=http%3A%2F% 2Fflash.html.it %2Fguide%2Flezione%2F2936%2Fmidi-player%2F sl=it tl=en history_state0=	V D N , V P ^ , , L V ^ V D N P V , P O V P V N O V R V $ & P N N & V O P D N , U G G G G G G G G
Java and JavaScript have just the similar name in common . Besides that , they are absolutely different .	^ & ^ V R D A N P N , P O , O V R A ,
@Lucas , I agree , should be a CW .	@ , O V , V V D ^ ,
@Lucas : good points , though I disagree that " you won't get far " with Javascript ( and HTML and CSS ) , these days -- guess I'll add a note to my answer to that effect .	@ , A N , P O V O , O V V R , P ^ , & ^ & ^ , , D N , V L V D N P D N P D N ,
Beyond some of the basic syntax , they are not very similar at all . Go with whichever you find most interesting first .	P D P D A N , O V R R A P X , V P O O V R A R ,
Java first , because you will be learning better programming habits that will be useful whatever second language you want to learn after . And it's less traumathic to make the transition from a static type system to a dynamic one than the reverse .	^ R , P O V V V A N N O V V A R A N O V P V P , & L A N P V D N P D A N N P D A $ P D N ,
IMO , learn JavaScript first . You can be near guaranteed that you will come across a project / task where you need it . Definitely take a look at jquery , a great library for javascript . In terms of the application layer , if you are just learning now , Java is an OK decision to learn first , so is C# . Personally , I prefer the open source stack , Perl , Python or PHP as I believe there are a lot more resources out there to help you learn them . PHP will have the most resources , but Python is a better choice .	^ , V ^ R , O V V P A P O V V P D N , N R O V O , R V D V P ^ , D A N P ^ , P N P D N N , P O V R V R , ^ V D A N P V R , P V ^ , R , O V D A N N , ^ , ^ & ^ P O V R V D N A N P R P V O V O , ^ V V D A N , & ^ V D A N ,
I have found an answer by changing the following : to be this , instead : As a beginner to JSP , I'm not sure what tutorial I picked up the previous example from , but it had led to no amount of frustration . The lynx command now results in : This applies to CSS as well .	O V V D N P V D N , P V D , R , P D N P ^ , L R A O N O V T D A N P , & O V V P D N P N , D ^ N R V P , D N P ^ P R ,
Why would a redirect be involved ? The servelet just needs to output a text / html response .	R V D N V A , D N R V P N D N , ^ N ,
just a quick thought : Tried setting the parameter name to something other than the variable name ? " stepNumber : stepNumber " looks like it could cause some issues ...	R D A N , V V D N N P N A P D A N , , C , C , V P O V P D N ,
Just as an aside ; for somewhat easier way to do Ajax with Java , you might want to check out DWR , http://directwebremoting.org	R P D R , P R A N P V ^ P ^ , O V V P V T ^ , U
I've fixed this by changing the key to step , still not getting any parameters ....	L V D P V D A P N , R R V D N ,
I'm relatively new to Java EE and I'm in need of a framework that will simplify AJAX for me . At the moment I have code that uses the dojo toolkit to draw a graph , but I'd like to have the graph updatable via AJAX . is there a good framework that allows me to do Ajax call backs and insert and run javascript into a page ? If so is there a good tutorial on how to use this framework ? My only experience with Ajax is using Telerik under ASP.Net .	L R A P ^ ^ & L P V P D N P V V ^ P O , P D N O V N O V D ^ N P V D N , & L V P V D N N P ^ , V R D A N O V O P V ^ V V & V & V ^ P D N , P P V R D A N P R P V D N , D A N P ^ V V ^ P ^ ,
Here are some things to try : In your JavaScript , encode your URL paraemters with encodeURIComponent : Next , you may have to set the encoding on the request using setCharacterEncoding Last , I think if you call request.getParameter , it does the URLDecoding for you .	R V D N P V , P D ^ , V D ^ N P ^ , R , O V V P V D N P D N V ^ R , O V P O V ^ , O V D N P O ,
Launching a desktop application from a web site	V D N N P D N N
Is ext js compatible with . jsp , java backend ?	V ^ ^ A P G ^ , ^ N ,
Ext JS is a javascript library . It exists at the client side of the browser . So it doesn't matter whether you use PHP , JSP or ASP.Net , as long as a browser supports javascript , ExtJS will work there .	^ ^ V D ^ N , O V P D N N P D N , P O V V P O V ^ , ^ & ^ , R R P D N V ^ , ^ V V R ,
I've a Javascript source that uses a Java class that defines a " delete " method ( using jdk6 scripting ) . Since delete is a keyword , I cannot invoke that method . In JavaFX script any sequence of characters enclosed in > is treated as a lexical identifier . So you can use " insert " , that is a keyword , as an identifier : Javascript provides a way to protect keywords ?	L D ^ N P V D ^ N O V D , ^ , N , V ^ N , , P ^ V D N , O V V D N , P ^ N D N P N V P = V V P D A N , P O V V , ^ , , O V D N , P D N , ^ V D N P V N ,
A simple thing would be to do a call back from the page , such as an AJAX call . I don't think there's any other way to determine this , at least not universally .	D A N V V P V D N N P D N , A P D ^ V , O V V Y D A N P V D , O R R R ,
In yourform for you can put code like this : The parameter should only be submitted if the browser has scripts turned off . In your Java applications you can check it like so :	P G P O V V N P D , D N V R V V P D N V N V T , P D ^ N O V V O V R ,
JSP or JavaScript equivalent to PHP's $_SERVER[ " HTTP_HOST " ] ?	^ & ^ N P Z G , G , , ,
The location object has several properties , and the one you'd want is hostname . Or , you can optionally just use a root-relative URL and just set the pathname property and not mess with the host business at all !	D N N V A N , & D $ L V V N , ^ , O V R R V D A ^ & R V D N N & R N P D N N P X ,
I don't understand how closure is more powerful than class . It looks like I can achieve the same behavior of closure using class . Any help would be appreciated	O V V R ^ V R A P ^ , O V P O V V D A N P N V ^ , D N V V V
oops . thanks .	! , ! ,
thank you for the koan .	V O P D N ,
This is a good question but could be better worded : " What are some similarities and differences between Java objects and JavaScript closures " ? Similarities : they both have persistent state in their local variables . Their methods have access to those state variables . Differences : Javascript is a functional language , therefore functions within functions can be immediately invoked and returned . For example : So you can write code like this snippet copy / pasted from rhino shell :	D V D A N & V V R A , , O V D N & N P ^ N & ^ ^ , , N , O D V A N P D A N , D N V N P D N N , N , ^ V D A N , & N P N V V R V & V , P N , P O V V N P D N V , V P ^ N ,
You could just call the forms onsubmit function through an onblur handler . Something like :	O V R V D N ^ N P D ^ N , N P ,
Thanks , that's definitely going to help out . I'll leave the question open in case I get any more hits , but I'll check back tomorrow morning in case anyone has any more insight on it .	N , L R V P V T , L V D N V P N O V D A N , & L V T N N P N N V D A N P O ,
jQuery and Java applets	^ & ^ N
I'm trying to write a web-app that records WAV files ( eg : from the user's microphone ) . I know Javascript alone can not do this , but I'm interested in the least proprietary method to augment my Javascript with . My targeted browsers are Firefox for PC and Mac ( so no ActiveX ) . Please share your experiences with this . I gather it can be done with Flash ( but not as a WAV formated file ) . I gather it can be done with Java ( but not without code-signing ) . Are these the only options ? @dominic -mazzoni I'd like to record the file as a WAV because because the purpose of the webapp will be to assemble a library of good quality short soundbites . I estimate upload will be 50 MB , which is well worth it for the quality . The app will only be used on our intranet . UPDATE : There's now an alternate solution thanks to JetPack's upcoming Audio API : See https://wiki.mozilla.org/Labs/Jetpack/JEP/18	L V P V D N D V ^ N , G , P D S N , , O V ^ R V R V D , & L A P D R A N P V D ^ P , D V N V ^ P ^ & ^ , P D ^ , , R V D N P D , O V O V V V P ^ , & R P D ^ V N , , O V O V V V P ^ , & R P V , , V O D A N , @ ^ L V P V D N P D ^ P P D N P D N V V P V D N P A N A N , O V V V V $ N , O V R N O P D N , D N V R V V P D N , N , Y R D A N N P Z A N ^ , V U
Your only options are Flash , Java , ActiveX , or writing a custom Firefox extension . Flash is probably your best option - you could write or use an existing Flash app to do the recording and keep almost everything else in pure Javascript . Why do you want a WAV file ? If you're planning to process the actual bits of the waveform on the client , then that's probably a bad idea ; the client might be really slow and you wouldn't be able to really manipulate the file . If you want to send the sound back to the server , then it's much better to send a compressed file , and then uncompress it on the server .	D A N V ^ , ^ , ^ , & V D A ^ N , ^ V R D A N , O V V & V D A ^ N P V D N & V R N R P A ^ , R V O V D ^ N , P L V P V D A N P D N P D N , R L R D A N , D N V V R A & O V V A P R V D N , P O V P V D N N P D N , R L R R P V D V N , & R V O P D N ,
This is a paid solution but it will do what you are looking for . http://www.javasonics.com /	D V D A N & O V V O O V V P , U ,
Write a Servlet that Talks to JMS ( ActiveMQ ) and OnMessage Update the Site	V D ^ P V P ^ , ^ , & ^ N D N
The problem with having a servlet implement MessageListener is that servlets are synchronous and MessageListeners are asynchronous . Instead you should create some other object to act as the MessageListener and update some state somewhere ( possibly a database or a JMX MBean or a Stateful Session EJB ) when messages come in . Then the servlet can query that state to see if there's data to report back to the client , and your web page can periodically ping the servlet to ask for fresh data .	D N P V D N V ^ V D N V A & ^ V A , R O V V D A N P V P D ^ & V D N R , R D N & D ^ ^ & D A N ^ , O N V T , R D N V N D N P V P Y N P V R P D N , & D N N V R V D N P V P A N ,
Passing JS function to applet for as event listener	V ^ N P N P P N N
No , but instead of passing in the bare callback function you could create a new object containing it , pass that in then use the object.call ( name ) form .	N , & R P V P D A N N O V V D A N V O , V O P R V D ^ , N , N ,
JavaScript or Java String Subtraction	^ & ^ N N
LOL - okay then , let's tag this as Java / JavaScript / C# / VB.NET / Python / Ruby / erlang / Smalltalk / Lisp / etc ... My point is , JavaScript and Java have nothing in common other than syntax shared with C# , C , C++ , etc . and this is not really a JavaScript solution .	! , A R , L V D P ^ , ^ , ^ , ^ , ^ , ^ , ^ , ^ , ^ , G , D N V , ^ & ^ V R P N A P N V P ^ , ^ , ^ , G , & D V R R D ^ N ,
Thanks Chris and Daniel ( and all the rest of you ) . That was amazingly fast .	N ^ & ^ , & X D N P O , , O V R R ,
At first glance , I thought of RegExp , but adding to the question , you removed that possibility by adding to the start-string ... So you'll have to make a procedure , that takes every character that are equal out of the resulting string , something like this : By the way it doesn't have a meaning to set Java and javascript as equals in any context , a popular way of putting it could be : Java and javascript has four things in common : j - a - v - a ! - )	P A N , O V P ^ , & V P D N , O V D N P V P D N , P L V P V D N , O V D N P V A N P D A N , N P D , P D N O V V D N P V ^ & V P V P D N , D A N P V O V V , ^ & ^ V $ N P N , G G G G G G D G G ,
if the target audience is " no programming skills .... " choose jython ( python ) it is easy to learn . ( my 7 year old daugther learned it very quick ) Bruce Eckel made a chapter with jython in " thinking in java " . at the danger getting a " down-vote " python is easier as BASIC :-)	P D V N V , D N N , , V ^ , ^ , O V A P V , , D $ A A N V O R A , ^ ^ V D N P ^ P , V P ^ , , P D N V D , N , ^ V A P ^ E
Plus side : it's basically dynamic Java , so it's really easy to attach it to a Java program . Minus side : it's basically dynamic Java , so it might not be the easiest language to learn .	A N , L R A ^ , P L R A P V O P D ^ N , A N , L R A ^ , P O V R V D A N P V ,
" The Mozilla Rhino engine for the JavaScript programming language , however , is currently included as a feature in the JDK 6 and JRE 6 libraries . " Does this put Rhino slightly ahead of everyone else ?	, D ^ ^ N P D ^ N N , R , V R V P D N P D ^ $ & ^ $ N , , V D V ^ R R P N R ,
