Upload image thumbnail to server , without uploading whole image	V N N P N , P V A N
What you can do in Internet Explorer is load an applet into the page which exposes methods that do the things you want to do . You get a reference to the applet , then invoke methods on that reference . In your applet you'd need a public method getDateFromApplet() that returns a java.util.Date . Note that what I present should work , but it has been years since I did this ( it worked in NS4 , 6 and IE 4+ at the time ) . I didn't use getElementById() however , I used var applet = document.myAppletName ; . The other complication to this is that if you want this to execute on page load , the applet will almost certainly not be ready , which requires code something like : Lastly , it might ( should ) be possible to do this with the object tag , but as I said , it has been years since I needed to interact with a Java applet in this way from client-side JavaScript , so I haven't tested it .	O O V V P ^ ^ V V D N P D N O V N O V D N O V P V , O V D N P D N , R V N P D N , P D N L V D A N ^ O V D ^ , V P O O V V V , & O V V N P O V D , O V P ^ , $ & ^ $ P D N , , O V V ^ R , O V C C = ^ , , D A N P D V O P O V D P V P N N , D N V R R R V A , O V N N V , R , O V , V , V V P V D P D N N , & P O V , O V V N P O V P V P D ^ N P D N P N ^ , P O V V O ,
The applet should just call a method on the page when it is ready ?	D N V R V D N P D N R O V A ,
How about if " the thing I want to do " is the Rhino eval() statement bundled with Java 6 :-)	R P P , D N O V P V , V D ^ ^ N V P ^ $ E
@joeforker : 1 ) I'm not sure the applet can call a method on the page . You have to wait for the applet to be ready , then call into it from JavaScript . 2 ) Yes , the applet could potentially have a single public ` do() ` or ` eval() ` method that you just pass Java as plain text to and have it execute inside the applet on the browser .	@ , $ , L R A D N V V D N P D N , O V P V P D N P V A , R V P O P ^ , , , ! , D N V R V D A A , ^ , & , ^ , N P O R V ^ R A N P & V O V P D N P D N ,
If JavaScript tries to call applet methods before it's ready , the plugin will make the call wait until it's ready .	P ^ V P V N N P L A , D N V V D N V P L A ,
Still works , years ago MS released a javascript / java applet rpc proxy , called MSRS ( microsoft remote scripting ) . I had to mantain a web application built using MSRS , and works well in IE7 . The javascript library calls a public method of the java class , so I think your approach to this question will do the job too . http://www.ashleyit.com/rs /	R V , N P ^ V D ^ , ^ N ? N , V ^ , ^ A N , , O V P V D N N V V ^ , & V R P ^ , D ^ N V D A N P D ^ N , P O V D N P D N V V D N R , U ,
You could possibly use DWR or some other reverse ajax library that will allow you to create Java objects on the server side via Javascript objects .	O V R V ^ & D A A ^ N O V V O P V ^ N P D N N P ^ N ,
Interesting interpretation of the question .	A N P D N ,
As of Java 1.6 update 10 , the Inter-Language LiveConnect Bridge attaches a Packages object to applets within the page , just like the Packages object available in Firefox . So in a page with at least one applet , even in Internet Explorer , returns the current date . It's also possible to register new converters for convenient access to non-Java languages running in the Java virtual machine . Of course JavaFX implements such a bridge . It's not supposed to be necessary to wait for the applet to load before calling it from JavaScript but it's probably a good idea . The Java plugin will make JavaScript wait until the applet finishes loading or has an error . It is possible for the applet to call JavaScript in the web page as soon as Applet.init() is called .	R P ^ $ N $ , D A ^ N V D N N P L P D N , R P D N N R P ^ , P P D N P O R $ N , R P ^ ^ , V D A N , L R A P V A N P A N P A N V P D ^ A N , P N ^ V A D N , L R A P V A P V P D N P N P V O P ^ & L R D A N , ^ ^ V V V ^ V P D N V V & V D N , O V R P D N P V ^ P D N N P R P ^ V V ,
You could make the properties of your objects available through a JSON response from your servlet in JAVA ? Since JS can readily use JSON and it is light weight it makes for an easy way to crate JS Objects from your Java Objects . Also look at the Rhino JavaScript engine and making Java resources available from JavaScript . https://developer.mozilla.org/en-US/docs/Rhino_documentation	O V V D N P D N R P D ^ N P D N P ^ , P ^ V R V ^ & O V A N O V P D A N P N ^ N P D ^ N , R V P D ^ ^ N & V ^ N A P ^ , U
captcha Image link on html page	N N N P ^ N
HI , I am using a bot program in which i want to find out the link of captcha image so that i can display on a Jframe . When i am looking to page source their is no image link of captcha on it.It is generated on by javascript . Please some body help me . Thanks in advance .	! , O V V D N N P D O V P V T D N P N N P D O V V P D ^ , R O V V P N N G V D N N P N P G V V P P ^ , V D N V O , N P N ,
What about if you inspect the dom using firebug ? It should show up then , then you can grab it dynamically with javascript if you need to .	O P P O V D ^ V N , O V V T R , R O V V O R P ^ P O V P ,
Not to put too fine a point on it , but the captcha is there _for a reason_ . If you need the content behind it , contact the publisher ; they clearly don't want it grabbed by bots .	R P V R A D N P O , & D N V R G D G , P O V D N P O , V D N , O R V V O V P N ,
Why do you want to do this ? It is likely that looking at the requirement rather than the technical solution would be the best option here . If you have a bot that wishes to spider information " protected " by a Captcha then contacting the providers and asking for direct access to the data would likely be a much better option that the cat mouse game you will enter without the providers permission to access said content . You could use a JavaScript interpreter to run the script . Java 6 comes with one built in or you could embed the complete HTML frame in a browser for the manual part .	R V O V P V D , O V R O V P D N R P D A N V V D A N R , P O V D N O V P V N , V , P D N R V D N & V P A N P D N V R V D R A N P D N N N O V V P D N N P N V N , O V V D ^ N P V D N , ^ $ V P $ V P & O V V D A ^ N P D N P D A N ,
How is this an answer .	R V D D N ,
