What happened to Rhino ? Is it still under active development ?	O V P ^ , V O R P A N ,
Look no further , you already mentioned GWT pick that ! It has a very good API and many good applications have use them . Even JavaScript frameworks like http://extjs.com have GWT support . I use it for an small JavaScript calendar recently . To be honest , I don't really like JavaScript that much . Most of the times the errors are hard to track ( specially for a non JavaScript guy as me ) and the workarounds included some plug-ins for the explorer just to get exactly what a compiler should do . Catch silly error early . In the other hand I'm very familiar with the Java Programming language , and many of the libraries ( if not the most important ) such as java.lang and java.util have been ported to GWT . Plus , the guy who wrote relevant parts of java.util is the same behind GWT ( google Joshua Bloch . )	V D R , O R V ^ V O , O V D R A ^ & A A N V V O , R ^ ^ P U V ^ N , O V O P D A ^ N R , P V A , O V R P ^ D A , R P D ^ D N V R P N , R P D G ^ N P O , & D N V D N P D N R P V R O D N V V , V A N A , P D A N L R A P D ^ N N , & A P D N , P R D R A , R P ^ & ^ V V V P ^ , ^ , D N O V A N P ^ V D A P ^ , ^ ^ ^ , ,
GWT * could * be a pain in the ass , depending on how the serverside is to be implemented . But it is getting heaps better now in its current iteration .	^ , V , V D N P D N , V P R D N V P V V , & O V V N R R P L A N ,
ExtGWT is a separate project to ExtJS and it's * awful* . For one , the guy has absolutely no clue when it comes to generics . Run away .	^ V D A N P ^ & L , N , P $ , D N V R D N R O V P ^ , ^ R ,
Check out Nikhil Khotari's Script# project . It allows you to write C# code and compiles it to JavaScript .	V T ^ Z ^ N , O V O P V ^ N & V O P ^ ,
Gee , really ? Drive-by-downvoting ?	! , R , V ,
Also for Java there is J2S . Java2Script ( J2S ) Pacemaker provides an Eclipse Java to JavaScript compiler plugin and an implementation of JavaScript version of Eclipse Standard Widget Toolkit ( SWT ) with other common utilities , such as java.lang . * and java.util . * . You can convert your SWT-base Rich Client Platform ( RCP ) into Rich Internet Application ( RIA ) by Java2Script Pacemaker . This means that if you use the SWT IDE ( drag and drop ) you can then convert the generated code to JS + HTML .	R P ^ R V ^ , ^ , ^ , ^ V D ^ ^ P ^ N N & D N P ^ N P ^ ^ ^ ^ , ^ , P A N N , A P ^ G G & ^ G G , O V V D ^ ^ ^ ^ , ^ , P ^ ^ ^ , ^ , P ^ ^ , D V O P O V D ^ ^ , V & V , O V R V D V N P ^ , ^ ,
I wouldn't hand write any Javascript for UI . This can lead to maintenance disaster . jQuery is what I am using but I still wouldn't use it to write full UI Javascript code . ExtJS is also another good option if you plan to write in Javascript . In general what I am saying here is that it's so much easier to main in Java / C# than Javascript . Check out cappuccino framework and Atlas . Never used GWT . Script# is similar to GWT but for ASP.NET framework . Also depends on the requirement , if your site is public facing then RIA isn't a good option . It's all about which extreme end you pursuit ( hand written and web standard , or RAD or libraries like jQuery / ExtJS as the middle option ) .	O V N V D ^ P ^ , D V V P N N , ^ V O O V V & O R V V O P V A ^ ^ N , ^ V R D A N P O V P V P ^ , P R O O V V R V P L R R A P ^ P ^ , ^ P ^ , V T ^ N & ^ , R V ^ , ^ V A P ^ & P ^ N , R V P D N , P D N V A V R ^ V D A N , L R P D A N O N , N V & N N , & A & N P ^ , ^ P D A N , ,
Script# has already been mentioned . It hasn't been updated since August 2008 . Milescript is another , but also has seen very little for 6 months . Extsharp for the Ext library . Adds Ext support for Script# Javascript compiler to Java ( going the wrong way for you ) Java to script Eclipse plugin My issues with Script# ( a known issue ) is it doesn't support jQuery yet . However it comes with a very lightweight library to tie in with the . NET framework , in Nikhil's sscorlib.js file and ssfx.core.js files . And also has support for lots of other Javascript APIs ( mostly Microsoft , seeing as he is in the ASP.NET team ) . I'd love to see a Script# extension for jQuery ( I'm thinking about writing it if it's easy enough ) . As it stands , most don't provide full compilation yet but they're certainly getting there . Update : I wrote a small extension to enable JQuery support Script# a few months ago . The project can be found here .	^ V R V V , O V V V P N $ , ^ V D , & R V V R A P $ N , ^ P D ^ N , V ^ N P ^ ^ N P ^ , V D A N P O , ^ P N ^ V D N P ^ , D A N , V O V V ^ R , R O V P D R A N P V P P D G ^ N , P Z ^ N & ^ N , & R V V P N P A ^ ^ , R ^ , V P O V P D ^ N , , L V P V D ^ N P ^ , L V P V O P L R A , , P O V , R V V A N R & L R V R , N , O V D A N P V ^ ^ ^ D A N R , D N V V V R ,
Last time I went to the Script# site , I saw that jQuery is on the roadmap for the next release of Script# ( due some time in 2009 ) .	A N O V P D ^ N , O V D ^ V P D N P D A N P ^ , A D N P $ , ,
Check out Axial , a . NET to JavaScript converter that works well in ASP.NET . It supports WebForms , jQuery and canvas . It's not very mature , but it's worth a look .	V T ^ , D G ^ P ^ N O V R P ^ , O V ^ , ^ & ^ , L R R A , & L V D V ,
I'm going to second the use of GWT . I've used it for several projects and , when used in combination with a modern editor like Eclipse or IDEA , it really makes the mess manageable . It's important to note that not only does it allow you to write in Java and have that transformed into optimized and obfuscated Javascript it also comes with a substantial subset of the core Java API . In addition to this they provide lots of additional classes for doing things like parsing and working with JSON and XML and communicating with a server via asynchronous HTTP . You can check out the docs to get an idea of what else they offer . Another feature that might be of special interest to you for implementing drag and drop functionality is it's integration with javascript libraries like Ext and scriptaculous . Either through pre-built interfaces or via JSNI	L V P V D V P ^ , L V O P A N & , O V P N P D A N P ^ & ^ , O R V D N A , L A P V O R R V O V O P V P ^ & V O V P A & A ^ O R V P D A N P D A ^ ^ , P N P D O V N P A N P V N P V & V P ^ & ^ & V P D N P A ^ , O V V T D N P V D N P O R O V , D V O V V P A N P O P V V & V N V L N P ^ N P ^ & ^ , & P A N & P ^
http://jsc.sourceforge.net is a C# to JavaScript , Java , Flash and PHP compiler .	U V D ^ P ^ , ^ , ^ & ^ N ,
Check this open source Java project http://st-js.org it produces clean javascript code that is clean , easy to read and easy to debug .	V D A N ^ N U O V A ^ N P V A , A P V & A P V ,
JscriptSuite offers another free . NET to Javascript compiler . There is a big difference to Saltarelle ( jsc , SharpKit# etc . ) . Developer write down and debug only C# code ( or any other . NET langauge ) , like in GWT . Javascript will be generated f r deployment only .	^ V D A G ^ P ^ ^ , X V D A N P ^ , ^ , ^ G G , , ^ V T & V A ^ N , & D A G ^ N , , V P ^ , ^ V V V G G N R ,
how to get rid of double-scrollbars on internal frame of GWT app	R P V A P ^ P A N P ^ N
May be it makes sense to embed GWT into old JSP ? Place div id= " for.gwt " / somewhere on the JSP , and import JS . It's not clear how you embed JSP into GWT , sorry . Would something like document.body.clientHeight within the frame help you , I wonder ?	^ V O V N P ^ ^ P A ^ , ^ G G G G G G R P D ^ , & N ^ , L R A R O V ^ P ^ , A , V N P ^ P D N V O , O V ,
Inside my GWT app I create a Frame object . Then I do frame.setUrl ( " / path / to / legacy_content ") - so the browser essentially loads a new page into the frame . The legacy content happens to be generated by a JSP .	P D ^ N O V D ^ N , R O V ^ G G G G G G G G G , P D N R P D A N P D N , D N N V P V V P D ^ ,
its possible to eliminate the scrollbars , but its not possible to make the page " fit " the frame , which is how I understand what you actually want . If you really want to make the scrollbar disappear , just set the frame's overflow to none .	L A P V D N , & L R A P V D N , V , D N , O V R O V O O R V , P O R V P V D N V , R V D S N P N ,
Read this , it will most likely be a solution to your problem It explains how you can get the size of the window and manage it's scrolling in JavaScript .	V D , O V R R V D N P D N O V R O V V D N P D N & V L V P ^ ,
The easiest way that I can think of to fully solve this problem is to not use a Frame element , but rather an HTMLPanel combined with an HTTPRequest . This approach adds complexity with the RPC call , but an HTMLPanel is a simple div that has content within it . As such , it can expand and / or contact with your JSP content . The end result would be a seamless integration of the two pages . Google's own example on JSON has good examples for making an HTTP request .	D A N P O V V P P R V D N V P R V D ^ N , & R D ^ V P D ^ , D N V N P D ^ V , & D ^ V D A ^ O V N P O , R A , O V N & , & N P D ^ N , D N N V V D A N P D $ N , L A N P ^ V A N P V D ^ N ,
How do I limit my date range on an Ajax Calendar ?	R V O V D N N P D ^ N ,
I am using the ajax calendar tool . I like its function , but I would like to restrict the user to an option of selecting a time frame starting with Today , and ending with 6 months prior . How do I do this ?	O V V D ^ N N , O V D N , & O V V P V D N P D N P V D N N V P N , & V P $ N R , R V O V D ,
Which ajax calendar tool are you using . There are about 7000 out there . I've seen the ones from Yahoo ( YUI ) and a few others that take configurations for start and end dates where the user has to select something in between . If you're using a calendar that doesn't have that , you could add it by checking the date after the user selects and checking if that is outside your range . Then display a message and leave the calendar visable for them to pick again . ( Might be easier to switch to a calendar that already supports this though )	D ^ N N V O V , X V P $ P R , L V D N P ^ , ^ , & D A N P V N P V & N N R D N V P V O P P , P L V D N P V V O , O V V O P V D N P D N V & V P O V P D N , R V D N & V D N A P O P V R , , V V A P V P D N P R V D P ,
You can use asp : comaparevalidator to check selected date .	O V V G G G P V A N ,
If you're using the asp.net calendar control , use the DayRender event to check each day against the date limit you wish to impose .	P L V D ^ N N , V D ^ N P V D N P D N N O V P V ,
Seems like something I should be looking at . How would I add this to my html page ?	V P N O V V V P , R V O V D P D ^ N ,
Java equivalent to JavaScript's encodeURIComponent that produces identical output ?	^ V P Z ^ O V A N ,
I've been experimenting with various bits of Java code trying to come up with something that will encode a string containing quotes , spaces and " exotic " Unicode characters and produce output that's identical to JavaScript's encodeURIComponent function . My torture test string is : " A " B " If I enter the following JavaScript statement in Firebug : Then I get : Here's my little test Java program : This program outputs : URLEncoder.encode returns %22A%22+B+%C2%B1+%22 getBytes returns " A " B " Close , but no cigar ! What is the best way of encoding a UTF-8 string using Java so that it produces the same output as JavaScript's encodeURIComponent ? EDIT : I'm using Java 1.4 moving to Java 5 shortly .	L V V P A N P ^ N V P V T P N O V V D N V N , N & , A , ^ N & V N L A P Z ^ N , D N N N V , G G G G G P O V D V ^ N P ^ , R O V , L D A N ^ N , D N V , ^ V G ^ V G G G G G R , & D N , O V D A N P V D ^ N V ^ P D O V D A N P Z ^ , V , L V ^ $ V P ^ $ R ,
Using the javascript engine that is shipped with Java 6 : import javax.script.ScriptEngine ; import javax.script.ScriptEngineManager ; public class Wow { public static void main ( String [] args ) throws Exception { ScriptEngineManager factory = new ScriptEngineManager() ; ScriptEngine engine = factory.getEngineByName ( " JavaScript ") ; engine.eval ( " print ( encodeURIComponent ( '  " A " B  "'))") ; } } Output : %22A%22%20B%20%c2%b1%20%22 The case is different but it's closer to what you want .	V D ^ N O V V P ^ $ , G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G N , G D N V A & L R P O O V ,
Ah , sorry ... I should have mentioned in the question that I'm on Java 1.4 moving to Java 5 shortly !	! , A , O V V V P D N P L P ^ $ V P ^ $ R ,
Iiips . I don't have a solution for you then :-) .	! , O V V D N P O R E ,
If javascript is the only solution you can try Rhino , but it's too much just for this small problem .	P ^ V D A N O V V ^ , & L R R R P D A N ,
Even if he was using Java 6 , I think this solution is WAY over the top . I don't think he's looking for a way to directly invoke the javascript method , just a way to emulate it .	R P O V V ^ $ , O V D N V R P D N , O V V L V P D N P R V D ^ N , R D N P V O ,
Maybe . I think the easiest solution would be to write your own escape function if you can't find anything that does the trick for you . Just copy some method from the StringEscapeUtils class ( Jakarta Commons Lang ) and reimplement it with your needs .	R , O V D A N V V P V D N N N P O V V V O V D N P O , R N D N P D ^ N , G G G , & V O P D V ,
@Ravi Wallau very nice !	@ G R A ,
This actually works , and if you're not worried about performance ... I think it's good .	D R V , & P L R A P N , O V L A ,
Looking at the implementation differences , I see that : MDC on encodeURIComponent() : literal characters ( regex representation ): [-a-zA-Z0- 9._ *~ ' ( ) ! ] Java 1.5 . 0 documentation on URLEncoder : literal characters ( regex representation ): [-a-zA-Z0- 9._ *] the space character " " is converted into a plus sign " + " . So basically , to get the desired result , use URLEncoder.encode ( s , " UTF-8 ") and then do some post-processing : replace all occurrences of " + " with " %20 " replace all occurrences of " %xx " representing any of [~ ' ( ) ! ] back to their literal counter-parts	V P D N N , O V O , ^ P ^ , A N , ^ N G G G G G G G G G ^ $ G $ N P ^ , A N , ^ N G G G G D N N , , V V P D N N G G G , P R , P V D A N , V ^ , G G G G G & R V D V , V D N P G G G P G G G V D N P G G G V D P G G G G G G N P D A N
I wish you had written " Replace all occurrences of " %xx " representing any of [~ ' ( ) ! ] back to their literal counter-parts " in some simple language . :( my tiny head is not able to understand it .......	O V O V V , V D N P G G G V D P G G G G G G N P D A N , P D A N , E D A N V R A P V O ,
@Shailendra ` [~ ' ( ) ! ] ` means `" ~ "` or `"'"` or `" ( "` or `")"` or `" ! "` . :) I recommend learning the regex basics , too , though . ( I also didn't expand on that since at least two other answers show the respective Java code . )	@ G G G G G G G G V G G G G G G G G G G G G G G G G E O V V D ^ N , R , P , , O R V V P D P O R $ A N V D A ^ N , ,
This is the class I came up with in the end :	D V D N O V T P P D N ,
Thanks for sharing the code ! :-) +1	N P V D N , E G
Adding a tip . In Android 4.4 I found that we also need to replace ` %0A ` which means a return key in Android input , or it will crash the js .	V D N , P ^ $ O V P O R V P V G G G O V D N N P ^ N , & O V V D ^ ,
I came up with another implementation documented at , http://blog.sangupta.com/2010/05/encodeuricomponent-and.html . The implementation can also handle Unicode bytes .	O V T P D N V P , U , D N V R V ^ N ,
I came up with my own version of the encodeURIComponent , because the posted solution has one problem , if there was a + present in the String , which should be encoded , it will converted to a space . So here is my class :	O V T P D A N P D ^ , P D V N V $ N , P X V D G A P D ^ , O V V V , O V V P D N , P R V D N ,
Thanks for a good solution ! The others look totally ... inefficient , IMO . Perhaps it'd be even better without the BitSet on today's hardware . Or two hard-coded longs for 0 ... 127 .	N P D A N , D N V R , A , G , R L V R R P D ^ P S N , & $ A N P $ ~ $ ,
` URLEncoder.encode ( " + " , " UTF-8 ") ; ` yields `" %2B "` , which is the proper URL encoding , so your solution is , my apologies , totally unnecessary . Why on earth ` URLEncoder.encode ` doesn't turn spaces into ` %20 ` is beyond me .	, G G G G G G G G G G G V G G G , O V D A ^ N , P D N V , D N , R A , R P ^ , ^ , V V N P G G G V P O ,
I have found PercentEscaper class from google-http-java-client library , that can be used to implement encodeURIComponent quite easily . PercentEscaper from google-http-java-client javadoc google-http-java-client home	O V V ^ N P ^ N , O V V V P V ^ R R , ^ P ^ ^ ^ N
How to create a photo gallery with slideshow effect of the images placed in server folder using jsp / servlet / javascript	R P V D N N P N N P D N V P N N V ^ , ^ , ^
I need to create slideshow of the images which are in server.These images would be changing as the user uploads . I need this using jsp / javascript / servlet / ajax	O V P V N P D N O V P G N V V V P D N V , O V D V ^ , ^ , ^ , ^
Please explain your problem a little more detailed . Is it with the slide show at all or don't you how to handle the uploads ? Should a open / running ( inside a browser ) slide show change when user uploads take place ?	V V D N D A R A , V O P D N N P X & V O R P V D N , V D A , A , P D N , N N V R N N V N ,
Generally when the page loads , the slideshow code already has a list of the available files . It would need to use AJAX to poll the server periodically to determine if this list has changed ( a user had uploaded a file ) . Typically you'd just replace the array or string holding the list of files in the AJAX call . The server-side code just needs to supply the list of files in a folder in a format the slideshow expects . Here's a collection of different slideshows you can grab and modify for this purpose .	R R D N V , D N N R V D N P D A N , O V V P V ^ P N D N R P V P D N V V , D N V V D N , , R L R V D N & N V D N P N P D ^ N , D N N R V P V D N P N P D N P D N D N V , L D N P A P O V V & V P D N ,
