Java ScriptEngine : using value on Java side ?	^ ^ , V N P ^ N ,
@Herb Agreed , I do like Erickson's ( and Chris's ) approach much better for readability . However , his doesn't enforce strict prefix / suffix . The problem I have is the question is a bit ill-defined : what does String difference really mean ?	@ A , O V P Z , & Z , V R R P N , R , D V V A N , N , D N O V V D N V D N A , O V N N R V ,
At first glance , I thought of RegExp , but adding to the question , you removed that possibility by adding to the start-string ... So you'll have to make a procedure , that takes every character that are equal out of the resulting string , something like this : By the way it doesn't have a meaning to set Java and javascript as equals in any context , a popular way of putting it could be : Java and javascript has four things in common : j - a - v - a ! - )	P A N , O V P ^ , & V P D N , O V D N P V P D N , P L V P V D N , O V D N P V A N P D A N , N P D , P D N O V V D N P V ^ & V P V P D N , D A N P V O V V , ^ & ^ V $ N P N , G G G G G G D G G ,
Java : Scripting language ( macro ) to embed into a Java desktop application	^ , N N , N , P V P D ^ N N
if the target audience is " no programming skills .... " choose jython ( python ) it is easy to learn . ( my 7 year old daugther learned it very quick ) Bruce Eckel made a chapter with jython in " thinking in java " . at the danger getting a " down-vote " python is easier as BASIC :-)	P D V N V , D N N , , V ^ , ^ , O V A P V , , D $ A A N V O R A , ^ ^ V D N P ^ P , V P ^ , , P D N V D , N , ^ V A P ^ E
Lua is appreciated , among other things , by the simplicity of the language , making it easy to learn . LuaJava uses the original Lua implementation , making it complete , but as you point it , maybe delicate to install . I know at least a pure Java implementation of Lua : Kahlua . It is not complete ( lacking coroutine support among other things , but one can do much without them ) but perhaps already usable for your goal . Unlike , say , Groovy , it shouldn't add much overhead to your application ...	^ V V , P A N , P D N P D N , V O A P V , ^ V D A ^ N , V O A , & P O V O , R A P V , O V P R D A ^ N P ^ , ^ , O V R A , V N V P A N , & O V V R P O , & R R A P D N , P , V , ^ , O V V R A P D N ,
Plus side : it's basically dynamic Java , so it's really easy to attach it to a Java program . Minus side : it's basically dynamic Java , so it might not be the easiest language to learn .	A N , L R A ^ , P L R A P V O P D ^ N , A N , L R A ^ , P O V R V D A N P V ,
You might consider Jacl . It is based on Tcl which was originally designed to be an embeddable scripting language . So , one could argue it is much more suited for that purpose than other scripting languages that had the ability to be embedded tacked-on . Particularly if the target audience is " not hardcore programmers " , Jacl makes a fine choice . Intelligent people ( and especially those without hard-wired programming prejudices ) can easily pick up the Tcl syntax in a morning .	O V V ^ , O V V P ^ O V R V P V D N N N , P , O V V O V R R V P D N P A N N O V D N P V V V , R P D V N V , R A N , , ^ V D A N , A N , & R O P A N N , V R V T D ^ N P D N ,
" The Mozilla Rhino engine for the JavaScript programming language , however , is currently included as a feature in the JDK 6 and JRE 6 libraries . " Does this put Rhino slightly ahead of everyone else ?	, D ^ ^ N P D ^ N N , R , V R V P D N P D ^ $ & ^ $ N , , V D V ^ R R P N R ,
Java 6 already has javascript available as a JSR 223 scripting language , out of the box .	^ $ R V ^ A P D ^ $ N N , R P D N ,
You can use RelProxy - Java , it provides real and pure Java as a scripting language , including shell scripts made with Java , thanks to its compilation on the fly . Because the Java " script " is executed sharing the launcher ClassLoader , integration is straightforward .	O V V ^ , ^ , O V A & A ^ P D N N , V N N V P ^ , N P D N P D N , P D ^ , N , V V V D N ^ , N V A ,
Thanks for your answer , Phill . Actually , I'm using Spring . While your answer is a nice one , I'd still like to hear some other opinions :-)	N P D N , ^ , R , L V ^ , P D N V D A O , L R R P V D A N E
If I understand this correctly , every time a car manufacturer is added or removed from the Map , I'd have to add or remove the appropriate select tag in the JSP . Since I get this Map from a vendor's web service , I have no way of knowing how many elements the Map might have .	P O V D R , D N D N N V V & V P D N , L V P V & V D A N N P D ^ , P O V D N P D S N N , O V D N P V R A N D N V V ,
Not that long ago I thought about something similar . Using jQuery and the TexoTela add-on it wasn't all that difficult . First , you have a data structure like the map mentioned above : Your HTML should look comparable to : Then , you fill the first combo with jQuery code like : where manufacturerSelected is the callback registered on the onChange event This should do the trick . Please note that there may be syntax errors in there ; I have edited my code to reflect your use case and had to strip quite a lot out . If this helps I would appreciate a comment .	R O R R O V P N A , V ^ & D ^ N O V X D A , A , O V D N N P D N V P , D ^ V V A P , R , O V D A N P ^ N V , R V V D N V P D ^ N D V V D N , V V O R V V N N P R , O V V D N P V D N N & V P N R D N P , P D V O V V D N ,
I might not be allowed to use JQuery . They're a bit touchy when it comes to introducing new frameworks in the app . But , if I can't get it to work any other way , I'll just have to get my boss to convince the business guys that that's the only way to do it . However , the larger issue is getting the map	O V R V V P V ^ , L D N R R O V P V A N P D N , & , P O V V O P V D A N , L R V P V D N P V D N N P L D A N P V O , R , D A N V V D N
if I get anywhere , I'll post the solution here . Once again , everybody , thanks for all the answers , and excuse me for the long comment .	P O V R , L V D N R , R R , N , N P X D N , & V O P D A N ,
I just love a challenge . No jQuery , just plain javascript , tested on Safari . I'd like to add the following remarks in advance : It's faily long due to the error checking . Two parts are generated ; the first script node with the Map and the contents of the manufacterer SELECT Works on My Machine ( TM ) ( Safari / OS X ) There is no ( css ) styling applied . I have bad taste so it's no use anyway . .	O R V D N , D ^ , R A ^ , V P ^ , L V P V D N V P N , L R R A P D N N , $ N V V , D A N N P D N & D N P D N ^ V P D N , ^ , , ^ , ^ ^ , X V R , ^ , V V , O V A N P L D , R , ,
it as soon as I can , probably the day after tomorrow . Although your solution isn't complete , I'm giving you a vote up , just for the effort you put into it :-) Hint : my solution involves using a scriptlet .	O R R P O V , R D N P N , P D N V A , L V O D V T , R P D N O V P O E N , D N V V D N ,
Here is a working , cut-and-paste answer in jsp without any tag libraries or external dependencies whatsoever . The map with models is hardcoded but shouldn't pose any problems . I separated this answer from my previous answer as the added JSP does not improve readability . And in ' real life ' I would not burden my JSP with all the embedded logic but put it in a class somewhere . Or use tags . All that " first " stuff is to prevent superfluos " , " in the generated code . Using a foreach dosn't give you any knowledge about the amount of elements , so you check for last . You can also skip the first-element handling and strip the last " , " afterwards by decreasing the builder length by 1 .	R V D V , A N P ^ P D N N & A N R , D N P N V A & V V D N , O V D N P D A N P D V ^ V R V N , & P , A N , O V R V D ^ P X D V N & V O P D N R , & V N , X D , A , N V P V G , , , P D V N , V D ^ V V O D N P D N P N , P O V P A , O V R V D A N & N D A , , , R P V D N N P $ ,
How do you restrict the size of a file being uploaded with JavaScript ( or Java ) without transferring the entire file ?	R V O V D N P D N V V P ^ , & ^ , P V D A N ,
This isn't a perfect solution , but if you check the Content-Length HTTP header with request.getHeader ( " Content-Length ") then you can choose to not transfer the entire file . By way of explanation , an extremely large file will not be transferred all at once . You'd have to actually open a stream representing that chunk of POST data and read from it for the entire thing to be transfered . On the other hand , if you're worried about denial-of-service attacks , then you can't really trust the Content-Length header , because it can easily be forged . In this case , you should set a limit and stream a transfer of this file , stopping as soon as you've exceeded that limit .	D V D A N , & P O V D ^ ^ N P ^ , , ^ ^ R O V V P R V D A N , P N P N , D R A N V R V V R P R , L V P R A D N V D N P ^ ^ & V P O P D A N P V V , P D A N , P L A P ^ N , R O V R V D ^ N , P O V R V V , P D N , O V V D N & V D N P D N , V R R P L V D N ,
With JSP or PHP you won't be able to restrict the file size because your page won't get the request until the upload has already happened . At that point you can decide not to save the file but that might be too late . There are some Java solutions out there , e.g. MyUploader or Hermes . Some even support multiple file uploads and resuming partial uploads , and some also give you the source code . You can also write your own , but it will need to be a signed applet in order to function because it needs to access the local filesystem . If you're using Apache as your webserver you'll need enough RAM in your machine to fit the whole file size in memory of all files being uploaded at a given time .	P ^ & ^ O V V A P V D N N P D N V V D N P D N V R V , P D N O V V R P V D N & O V V R A , X V D ^ N P R , G ^ & ^ , O R V A N N & V A N , & D R V O D N N , O V R V D N , & O V V P V D A N P N P N P O V P V D A M , P L V ^ P D N L V A ^ P D N P V D A N N P N P D N V V P D V N ,
If I can do this , how do I call Java code ( methods for instance ) from within JavaScript code , in Wicket .	P O V V D , R V O V ^ N , N P N , P P ^ N , P ^ ,
http://www.wicket-library.com/wicket-examples-6.0.x/index.html has plenty of examples to get you going . Or have a Have a look at DWR http://directwebremoting.org DWR allows Javascript in a browser to interact with Java on a server and helps you manipulate web pages with the results . As Dorward mentioned this is done via AJAX	U V R P N P V O V , & V D G G N P ^ U ^ V ^ P D N P V P ^ P D N & V O V N N P D N , P ^ V D V V P ^
erk . The correct answer would be ajax call backs . You can either manually code the js to hook into the wicket js , or you can setup the callbacks from wicket components in java . For example , from AjaxLazyLoadPanel : This example shows how to add call back code to any Component in Wicket . After the OnDomReady event fires in your browser , when loading a page , Wicket will cause it's js enging , to call back into your code , using Ajax , to the ' respond ' method shown above , at which point you can execute Java code on the server , and potentially add components to the ajax target to be re-rendered . To do it manually , from js , you can hook into wicket's system by printing out getCallbackScript() . toString() to a attribute on a wicket component , which you'll then be able to access from js . Calling this url from js manually with wicket's wicketAjaxGet from wicket- ajax.js . Check out the mailing list for lot's of conversation on this topic : http://www.nabble.com/Wicket-and-javascript-ts24336438.html#a24336438	N , D A N V V ^ N N , O V R R N D ^ P V P D ^ ^ , & O V V D ^ P ^ N P ^ , P N , P ^ , D N V R P V N N N P D N P ^ , P D ^ N V P D N , O V D N , ^ V P L ^ N , P V R P D N , V ^ , P D , ^ , N V P , P D N O V V ^ N P D N , & R V N P D ^ N P V A , P V O R , P ^ , O V V P Z N P V T ^ , ^ P D N P D ^ N , D L R V A P N P ^ , V D N P ^ R P ^ ^ P G G , V T D N N P G P N P D N , U
Excerpt from https://cwiki.apache.org/WICKET/calling-wicket-from-javascript.html If you add any class that extends AbstractDefaultAjaxBehavior to your page , wicket- ajax.js will be added to the header ofyour web page . wicket- ajax.js provides you with two basic methods to call your component : and Here is an example : JavaScript $url$ is obtained from the method abstractDefaultAjaxBehavior.getCallbackUrl() . If you paste the String returned from that method into your browser , you'll invoke the respond method , the same applies for the javascript method . You can optionally add arguments by appending these to the URL string . They take the form foo =b ar . you get the optional arguments in the Java response method like this : or this :	G P U P O V D N P V ^ P D N , G G V V V P D N G N N , G G V O P $ A N P V D N , & N V D N , ^ G V V P D N ^ , P O V D N V P D N P D N , L V D V N , D A N P D ^ N , O V R V N P V O P D ^ N , O V D N G G G , O V D A N P D ^ N N P D , & D ,
Oh , and a gotcha : the URL returned by ` getCallbackUrl() ` can change during the component construction cycle . It's often inaccurate if you try to use it in the constructor , and callbacks will fail as a result . I've had success using it in an override of the component's ` onBeforeRender() ` instead .	! , & D G , D ^ V P , ^ , V V P D N N N , L R A P O V P V O P D N , & N V V P D N , L V N V O P D N P D S , ^ , R ,
I'm trying to write a Selenium test for a web page that uses an onbeforeunload event to prompt the user before leaving . Selenium doesn't seem to recognize the confirmation dialog that comes up , or to provide a way to hit OK or Cancel . Is there any way to do this ? I'm using the Java Selenium driver , if that's relevant .	L V P V D ^ N P D N N O V D ^ N P V D N P V , ^ V V P V D N N O V T , & P V D N P V N & N , V R D N P V D , L V D ^ ^ N , P L A ,
You could write a user extension ( or just some JavaScript in a storeEval etc ) that tests that window.onbeforeunload is set , and then replaces it with null before continuing on from the page . Ugly , but ought to get you off the page .	O V V D N N , & R D ^ P D ^ G , O V D ^ V V , & R V O P A P V P P D N , A , & V P V O T D N ,
it was just a matter of adding ` js_eval " window.onbeforeunload =null "` before an open for me . ( selenium-client in Ruby , but you should be able to easily translate to other languages )	O V R D N P V , C , ^ G G P D A P O , , N P ^ , & O V V A P R V P A N ,
I've just had to do this for an application of mine where the onbeforeunload handler brings up a prompt if a user leaves a page while a document is in an unsaved state . Python code : The Java equivalent would be : If the alert does not exist , the code above will fail with a NoAlertPresentException so there is no need for a separate test to check the existence before accepting the prompt . I'm running Selenium 2.43 . 0 but I think this has been doable for a while now . In cases where I don't want the prompt to come up at all because that's not what I'm testing , I run custom JavaScript in the browser to set window.onbeforeunload to null before leaving the page . I put this in the test teardown code .	L R V P V D P D N P O R D ^ N V T D N P D N V D N P D N V P D A N , ^ N , D ^ N V V , P D N V R V , D N P V V P D ^ P X V D V P D A N P V D N P V D A , L V ^ $ , $ & O V D V V R P D N R , P N R O V V D V P V T P R P L R O L V , O V A ^ P D N P V ^ P N P V D N , O V D P D N N N ,
I read that you could call JavaScript code from a Java Applet by calling However , when I do this i get the following error : How do I work around this ?	O V P O V V ^ N P D ^ N P V R , R O V D G V D N N , R V O V P D ,
I get the same exception as you do because of that the URL class does not accept javascript : as a valid protocol . There is a workaround though ; supply an URLStreamHandler to the URL constructor . Example :	O V D A N P O V P P O D ^ N V R V ^ , P D A N , X V D N P , V D ^ P D ^ N , N ,
Nevermind , apparently my Firefox 3.0 . 3 on Ubuntu is bugged :) It works perfectly on other computers . Thanks !	! , R D ^ $ , $ P ^ V V E O V R P A N , N ,
I've been in a team that has built this using a . NET + jQuery setup - it's not fun , and makes your mind MELT . If you have the option of using a silverlight grid I'd take that option over javascript .	L V P D N P V V D V D G ^ & ^ N , L R A , & V D N V , P O V D N P V D ^ N L V D N P ^ ,
I'd say this comes down to data grids . For Javascript frameworks : Jquery has ' plugins ' like this . Serverside : Telerik has asp.net controls like this . It really comes down to what platform mix you want to use . Also , why do you want to bind an asp.net page to IE instead of Firefox ? For a web application , my recommendation would be a mix of asp.net mvc and jquery . JQuery is in my view the best and most stable JavaScript framework out there . The problem is that asp.net mvc is still in ctp phase and it's probably not ' supported ' and ' stable ' enough in some eyes . I already finished a mid-scale commercial web app based on the mixture and was pleased with it .	L V D V T P N N , P ^ N , ^ V , N , P D , N , ^ V ^ N P D , O R V T P D N N O V P V , R , R V O V P V D ^ N P ^ R P ^ , P D N N , D N V V D N P ^ ^ & ^ , ^ V P D N D A & R A ^ N P R , D N V D ^ ^ V R P ^ N & L R R , V , & , A , A P D N , O R V D A N N N V P D N & V V P O ,
Check out SpreadsheetGear , as is a . Net component that will allow you to read / write Excel files and execute macros . You can preserve the logic of the spreadsheets and use them to power you web site . For a front end you may want to check out Telerik as people have created a spreadsheet like interface with the Telerik grid control .	V T ^ , P V D G ^ N O V V O P V , V ^ N & V N , O V V D N P D N & V O P N O N N , P D A N O V V P V T ^ P N V V D N P N P D ^ N N ,
It sounds like EASA might meet your needs . It's a codeless app development tool in use at companies like Zurich , GE , HP . You may like to have a look at http://www.easasoftware.com/spreadsheets . Hope this helps .	O V P ^ V V D N , L D A N N N P V P N P ^ , ^ , ^ , O V V P V D V P U , V D V ,
Scripting in Java	V P ^
How about Jython ? http://www.jython.org/Project /	R P ^ , U G
Java supports a variety of ( scripting ) languages , some are listed in Wikipedia here and here . You probably should choose language with powerful DSL and metaprogramming capabilities , such as Clojure . But if you need something simpler , JavaScript might be a viable alternative .	^ V D N P , N , N , D V V P ^ R & R , O R V V N P A ^ & N N , A P ^ , & P O V N R , ^ V V D A N ,
You have quite a few options : Groovy - http://groovy.codehaus.org Jython - http://www.jython.org/Project JRuby - http://jruby.codehaus.org Possibly even BeanShell ( http://www.beanshell.org ) I'm a fan of Python myself so I'd recommend Jython , but they're probably all reasonable options .	O V R D A N , ^ , U ^ , U ^ , U R R ^ , U , L D N P ^ O P L V ^ , & L R R A N ,
I am a big fan of Python / Jython due to the clean syntax - which may suit you if you have some python experience . Otherwise Groovy which is based on Java syntax and may be an easier learning curve if most of your developers are Java guys . It also has the advantage of closer ties with the Java language and libraries . Beanshell is good if you have simple scripting in mind - it doesn't support classes . However I don't think it has had any support over the last few years ( the JSR seemed to kill it off ... ) so is perhaps a bad choice if support is important to you .	O V D A N P ^ , ^ A P D A N , O V V O P O V D ^ N , R ^ O V V P ^ N & V V D A N N P R P D N V ^ N , O R V D N P A N P D ^ N & N , ^ V A P O V A N P N , O V V N , R O V V O V V D N P D A A N , D ^ V P V O T , , P V R D A N P N V A P O ,
If you were to start from scratch in 2012 would you approach the " glue components together " differently ?	P O V P V P N P $ V O V D , V N R , R ,
But Java has support for ( re- ) loading classes , and using some thought and reflection will take you a long way . If necessary .	& ^ V V P G G G V N , & V D N & N V V O D A N , P A ,
Compiling should an be infinitesimal issue compared to incorporating a scripting language , in all the ways I can think of .	N V D V A N V P V D N N , P X D N O V V P ,
Wicket + Javascript	^ & ^
FYI , there's an error in your javascript emit . You're missing the right hand paren and semicolon , but you're also missing quotes around the supplied string . ... new talker ( "" + this.talker.getCallbackURL() + " ") ; " ; or something like that .	G , Y D N P D ^ G , L V D A N N & N , & L R A N P D A N , G G G G G G ^ G G G G G , & N P O ,
please show a link to GridAjaxBehavior - i know wicket a bit , but GridAjaxBehavior is new to me . is this a custom developed behavior	V V D N P ^ , O V ^ D N , & ^ V A P O , V D D A A N
Write a Servlet that Talks to JMS ( ActiveMQ ) and OnMessage Update the Site	V D N P V P ^ , ^ , & ^ N D N
You probably need to get a JMS connection from JNDI , like this :	O R V P V D ^ N P ^ , P D ,
The problem with having a servlet implement MessageListener is that servlets are synchronous and MessageListeners are asynchronous . Instead you should create some other object to act as the MessageListener and update some state somewhere ( possibly a database or a JMX MBean or a Stateful Session EJB ) when messages come in . Then the servlet can query that state to see if there's data to report back to the client , and your web page can periodically ping the servlet to ask for fresh data .	D N P V D N V ^ V D N V A & ^ V A , R O V V D A N P V P D ^ & V D N R , R D N & D ^ ^ & D A N ^ , O N V T , R D N V N D N P V P Y N P V R P D N , & D N N V R V D N P V P A N ,
Have you tried reading the answers for this question which links to the ActiveMQ Ajax support . Basically ActiveMQ has native support for Ajax so you can use its JavaScript library to directly subscribe from an ActiveMQ topic . Also see the ActiveMQ web samples which show how to do things like real time chat or real time stock portfolio screens using Ajax with ActiveMQ	V O V V D N P D N D N P D ^ ^ N , R ^ V A N P ^ P O V V L ^ N P R V P D ^ N , R V D ^ N N D V R P V N R A N N & A N N N N V ^ P ^
Integration of JavaScript and JMS	N P ^ & ^
I would try using DWR to integrate JavaScript with your Java app . It makes Java to JavaScript communication transparent and only requires one servlet + configuration of what to expose . I haven t done this with JMS , but it should work the same . There are three technologies that together solve all my integration problems , Spring , Mule , and DWR .	O V V V ^ P V ^ P D ^ N , O V ^ P ^ N A & R V $ N & N P O P V , O G G V D P ^ , & O V V D A , X V $ N P R V X D N N , ^ , ^ , & ^ ,
You'll find some references to the Dojo / Bayeux approach here http://www.pathf.com/blogs/2006/08/bayeux_a_json_p If you're using WebSphere 6.0 or higher then the Web 2.0 Feature Pack includes an implementation .	L V D N P D ^ , ^ N R U P L V ^ $ & R R D ^ $ N N V D N ,
I was able to get the examples to work on Version 5.0 of ActiveMQ . However they have trouble running in 5.1 . Which version of ActiveMQ are you running ?	O V A P V D N P N P N $ P ^ , R O V N V P $ , D N P ^ V O V ,
The Seam framework supports subscription to JMS topics from a JavaScript based client : http://docs.jboss.com/seam/2.0.2.GA/reference/en-US/html/remoting.html#d0e14169	D ^ N V N P ^ N P D ^ V N , U
What's the best , crossplatform way to perform blackbox tests on AJAX web applications ? Ideally , the solution should have the following attributes : Able to integrate into a continuous integration build loop Cross platform so I you can run it on Windows laptops and Linux continuous integration servers Easy way to script the interactions Free-as-in-freedom so you can adapt it into your tool chain if necessary I've looked into HttpUnit but I'm not conviced it can handle AJAX-heavy websites .	L D A , A N P V N N P ^ N N , R , D N V V D N N , A P V P D A N V N N N P O O V V O P ^ N & ^ A N N A N P N D N G P O V V O P D N N P A L V P ^ & L R G O V V ^ N ,
I have used Selenium for exactly this task , but found it to be brittle . Check out this talk by two Googlers : Does my button look big in this ? Building testable AJAX applications They isolate the testable javascript ( non DOM-interaction ) and test that using the Rhino javascript engine .	O V V ^ P R D N , & V O P V A , V T D N P $ ^ , V D N V A P D , V A ^ N O V D A ^ , A ^ , & V O V D ^ ^ N ,
We want to try Ext JS on new project . Is there any well-known best practice for integrating Ext JS with server side Java ( Spring / Hibernate / JS ) application ? Is DWR a good choice for that ?	O V P V ^ ^ P A N , V R D A A N P V ^ ^ P N N ^ , ^ , ^ , ^ , N , V P D A N P O ,
Yes it's possible . I've done the same thing with . NET : UI in ext-JS which communicates with the server trough JSON . In . NET world you can use DataContractSerializer ( class from WCF ) or JavascriptSerializer ( ASP.NET ) I'm sure that there's several good JSON Serializer in the Java world too . I used Jabsorb ( but not enough to give you a solid feedback ) . It appears that other people have tried : [ link text][2 ] [ 2 ]: http://extjs.com/forum/showthread.php?t=30759 forum ext-js	N L A , L V D A N P , ^ , ^ P ^ D V P D N G ^ , P , ^ N O V V ^ , N P ^ , & ^ , ^ , L A P Y A A ^ A P D ^ N R , O V ^ , & R A P V O D A N , , O V D A N V V , , N G , , $ , U G G
My team has been using Ext with DWR for almost year a year , and have had nothing but good things to say . If you take this approach , you will end up using DWR's generated JavaScript classes for making your requests to the server . This will often be done in place of using the Ext.Ajax and Ext.data.Connection classes . When you use a class that require an Ext.data.Store ( e.g. grip , combo box , etc . ) and you want to fetch data from the server , you will need to use a proxy that can link in with DWR . The user-community provided Ext.ux.data.DWRProxy has worked flawlessly for us : http://extjs.com/forum/showthread.php?t=23884 .	D N V V V ^ P ^ P R A D N , & V V A & A N P V , P O V D N , O V N T V Z V ^ N P V D N P D N , D V R V V P N P V D ^ & ^ N , R O V D N P V D ^ , G N , N N , G , , & O V P V N P D N , O V V P V D N O V N P P ^ , D N V ^ V V R P O , U ,
Take a look at Grails , it plays well together with ExtJS .	V D V P ^ , O V R R P ^ ,
Part of our java application needs to run javascript that is written by non-developers . These non-developers are using javascript for data formatting . ( Simple logic and string concatenation mostly ) . My question is how can I setup the execution of these scripts to make sure scripting errors don't have a major negative impact on the rest of the application . Need to guard against infinite loops Guard against spawning new threads . Limit access to services and environment File system ( Example : If a disgruntled script writer decided to delete files ) Database ( Same thing delete database records ) Basically I need to setup the javascript scope to only include exactly what they need and no more .	N P D ^ N V P V ^ O V V P N , O N V V ^ P N V , , A N & N N R , , D N V R V O V D N P D N P V A V N V V D A A N P D N P D N , V P V P A N N P V A N , V N P N & N N N , N , P D A N N V P V N , N , A N V N N , R O V P N D ^ N P A V R O O V & D A ,
Javascript is single-threaded and can't access the filesystem , so I don't think you have to worry about those . I'm not sure if there's a way to set a timeout to guard against infinite loops , but you could always spawn a ( Java ) thread that executes the script , and then kill the thread after so much time .	^ V A & V V D N , P O V V O V P V P O , L R A P Y D N P V D N P V P A N , & O V R V D , ^ , N O V D N , & R V D N P R A N ,
To guard against infinite loops , you'd need to put it in a separate process so that it could be killed . To guard against creating threads , you'd need to extend SecurityManager ( the default implementation allows untrusted code to access non-root thread groups ) . Java security does allow you to prevent access to the file system . For database restrictions , you might be able to use the standard SQL user security , but that is quite weak . Otherwise , you need to provide an API that enforces your restrictions . Edit : I should point out that the version of Rhino provided with JDK6 has had security work done on it , but doesn't include the compiler .	P V P A N , L V P V O P D A N P D O V V V , P V P V N , L V P V ^ , D N N V A N P V A N N , , ^ N V V O P V V P D N N , P N N , O V V A P V D A ^ N N , & O V R A , R , O V P V D ^ O V D N , N , O V N T P D N P ^ V P ^ V V N N V P O , & V V D N ,
To block Java class and method access have a look at ... http://codeutopia.net/blog/2009/01/02/sandboxing-rhino-in-java /	P V ^ N & N N V D V P , U ,
