How to Cross-Compile Java Source Code to JavaScript ?	R P V ^ N N P ^ ,
The detection logic does not work in IE32 on Windows7-64 . It could not detect the java version it installed earlier . Well , after further reading , the Java Deployment Toolkit on Windows uses ActiveX classid which may pose your app to hackers ( see http://www.kb.cert.org/vuls/id/886582 ) . I am out .	D N N V R V P ^ P ^ , O V R V D ^ N O V A , ! , P R V , D ^ ^ ^ P ^ V ^ N O V V D ^ P N , V U , , O V T ,
Version of Java : Is Java and is Java enable : These functions works on Opera , Firefox , Chrome . I havn't IE .	N P ^ , V ^ & V ^ V , O V V P ^ , ^ , ^ , O V ^ ,
JavaVersion does not work under MSIE since navigator.mimeTypes is always empty on this browser ( tested on MSIE7 )	^ V R V P ^ P ^ V R A P D N , V P ^ ,
I find that the JavaScript solution provided by the Java Deployment Toolkit gives an error ... " deployJava.do_initialize is not a function " . One solution that I have used extensively for many years that does work in all browsers is the Java Version Display Applet . Unfortunately the original author's site seems to have disappeared , but you can download a copy of the Java Version Display Applet here .	O V P D ^ N V P D ^ ^ ^ V D N , , ^ V R D N , , $ N P O V V R P A N P V V P D N V D ^ ^ ^ ^ , R D A S N V P V V , & O V P D N P D ^ ^ ^ ^ R ,
To use the Gears WorkerPool in GWT do I have to write the same code in Java and Javascript ?	P V D ^ ^ P ^ V O V P V D A N P ^ & ^ ,
I have never used Gears for GWT , but after reading your evidence , I believe you are correct in stating that the WorkerPool class can run only JavaScript files and not Java-compiled-to-JavaScript . Here is a quote from the GWT-Gears v1.1.1 WorkerPool API . WorkerPool module allows web applications to run JavaScript code in the background , without blocking the main page's script execution . Currently this class can only create worker threads out of raw JavaScript code . That is , user code cannot currently create worker bodies from Java code . The WorkerPool class manages the threads and communication , which is no small task .	O V R V ^ P ^ , & P V D N , O V O V A P V P D ^ N V V A ^ N & R ^ , R V D N P D ^ $ ^ ^ , ^ N V N N P V ^ N P D N , P V D A S N N , R D N V R V N N P P A ^ N , O V , N N V R V N N P ^ N , D ^ N V D N & N , O V D A N ,
How to access objects / arrays defined in JavaScript from Java applets	R P N N , N V P ^ P ^ N
Using LiveConnect getMember ( String ) method of a window JSObject , a Java object of type " Object " is returned but I don't find the expected members defined on it . Neither can I cast it to a JSObject to continue using the getMember() . Accessing DOM nodes and elements ( DOM Objects ) works as expected .	V ^ ^ , ^ , N P D N ^ , D ^ N P N , ^ , V V & O V V D V N V P O , ^ V O V O P D ^ P V V D ^ , V ^ N & N , ^ N , V P V ,
It's rather unclear what exactly you're trying to do - how about showing us some sourcecode ?	L R A O R L V P V , R P V O D N ,
When you say you can't cast , do you get a specific exception or error ?	R O V O V N , V O V D A N & N ,
@andynormancx Yes . That processing cannot cast from Object to JSObject .	@ ! , O V V N P ^ P ^ ,
@Michael Borgwardt This is what I'm trying to do . Global JavaScript Object . Processing code . This is perhaps not Processing specific . That's why I didn't originally post the code .	@ ^ D V O L V P V , A ^ N , V N , D V R R V A , L R O V R V D N ,
I'm confused by the line got2 = win.getMember ( " obj ") ; . It seems like you're expecting that line to get the foo object . As I understand it , win.getMember ( " obj ") will get you the obj property on the DOM window node , which doesn't exist . For example , from this page : If you want to get the foo object , the best way I'm aware of is to make a JavaScript method you can call from the Java applet . JavaScript : Applet :	L A P D N C = C , , ^ , , , O V P L V D N P V D N N , P O V O , C , , ^ , V V O D ^ N P D ^ N N , O V V , P N , P D N , P O V P V D N N , D A N L A P V P V D ^ N O V V P D ^ N , ^ , N ,
MDC says that it's supposed to be a " JavaScript Object " . Whatever that means . https://developer.mozilla.org/en/Core_JavaScript_1.5_Reference/LiveConnect/JSObject	^ V P L A P V D , ^ N , , O O V , U
Yes , but I don't get why you expect it to get the " foo " object . " JavaScript object " just means it's a object from JavaScript that's been translated to a Java object , specifically JSObject .	! , & O V V R O V O P V D , ^ , N , , ^ N , R V L D N P ^ L V V P D ^ N , R ^ ,
Did that work for you ? Because it's giving me an exception .	V D N P O , P L V O D N ,
It did . What's your exception ?	O V , L D N ,
Exception in thread " Animation Thread " java.lang.NullPointerException at js_processing_api.draw ( js_processing_api.java : 34 ) at processing.core.PApplet.handleDraw ( PApplet.java : 1406 ) at processing.core.PApplet.run ( PApplet.java : 1311 ) at java.lang.Thread.run ( Thread.java : 619 )	N P N , N N , ^ P ^ , ^ , $ , P ^ , ^ , $ , P ^ , ^ , $ , P ^ , ^ , $ ,
Random guess : try clearing your classloader cache ? Bring up your Java console ( Tools - Java console in FF , or right click on the Java icon in your systray and pick the console ) , and hit x to clear it , then reload .	A N , V V D N N , V T D ^ V , N , ^ V P ^ , & R V P D ^ N P D N & V D N , , & V N P A O , R A ,
I did try that . It throws the error when I click on the applet .	O V V O , O V D N R O V P D N ,
I'm not sure I have any more suggestions for you , except to be pedantic - are you using the exact code I wrote above ? I can get the exception if I have getFoo return null , but my line number is 32 instead of 34 , so I suspect you have something else there as well .	L R A O V D A N P O , V P V A , V O V D A N O V P , O V V D N P O V G V ^ , & D N N V $ R P $ , P O V O V N R R R R ,
It works now . Thanks .. I don't know what the error was but I copy pasted your code and viola it works . Thanks a ton .	O V R , N , O V V O D N V & O N V D N & V O V , V D N ,
There's another problem , how may I assign it the values I get to a variable . The type appears to be an Object and I can't cast it to float or string .	L D N , R V O V O D V O V P D A , D N V P V D N & O V V O P V & N ,
How to transfer java array to javaScript array using jsp ?	R P N ^ N P ^ N V ^ ,
I have a list of strings on my server which I am trying to get to the client in the form of an array . The code I am attempting to use is the following : Within the jsp I have a List String column I am attempting the following code : This code simply returns the first element in the columns list for every element in the colArray . I have also tried : which does not work either . I feel like I am making a little mistake somewhere and am just not seeing it . Is what I am trying to do possible in the way that I am attempting ? Thanks .	O V D N P N P D N P O V V P V P D N P D N P D N , D N O V V P V V D N , P D ^ O V D N N N O V V D N N , D N R V D A N P D N N P D N P D ^ , O V R V , O V R V R , O V P O V V D A N R & V R R V O , V O O V V P V A P D N P O V V , N ,
You're getting the JSP code that is executed on the server mixed up with the JavaScript code that's executed on the client . The snippet %= columns.get ( j++ ) % is executed once , on the server , and the JavaScript loop around it is irrelevant at this point . When it arrives the the client , the loop's body just says colArray[i ] = " first entry " ; which of course puts the same string into every element of the array . What you need to do instead is to have a loop execute on the server , like this : My JSP skills are rusty , and the syntax may be different , but I hope you get the idea . Edit : As was pointed out in the comments , you need to be VERY careful about escaping anything in those Strings that could cause them to be interpreted as JavaScript code ( most prominently quotation marks ) - especially if they contain user-generated content . Otherwise you're leaving your app wide open to Cross-site scripting and Cross-site request forgery attacks .	L V D ^ N P V V P D N V T P D ^ N L V P D N , D N G ^ G G G G V V R , P D N , & D ^ N P O V A P D N , R O V D D N , D S N R V G G G G A N , , D P N V D A N P D N P D N , O O V P V R V P V D N V P D N , P D , D ^ N V A , & D N V V A , & O V O V D N , V , P V V T P D N , O V P V R A P V N P D N O V P O P V V P ^ N , R A N V , , R P O V A N , R L V D N R A P A N & A N N N ,
This will not work if the strings contain characters such as double-quote , backslash or newline . Such characters will need to be escaped .	D V R V P D N V N R P N , N & N , A N V V P V V ,
I'd also add a semicolon to the end of the second line .	L R V D N P D N P D A N ,
Once the JavaScript reaches the client , the server code has stopped executing . The server code does not execute " in parallel " with the client code . You have to build the entire JavaScript initialization in Java and send it , complete and executable , to the client : That is just one way to do it , you can also build the output " on the fly " by embedding the server code inside the [ and ] . I used this example to try to demonstrate the separation between building the string that comprises the client-side JavaScript and outputting that to the browser .	P D ^ V D N , D N N V V V , D N N V R V , P A , P D N N , O V P V D A ^ N P ^ & V O , A & A , P D N , O V R A N P V O , O V R V D N , P D N , P V D N N P D , & , , O V D N P V P V D N P V D N O V D A ^ & V O P D N ,
Try using JSON ( Javascript object notation ) it'd be quite simple to encode the array and decode it on javascript check it out here http://www.json.org/java/index.html	V V ^ , ^ N N , L V R A P V D N & V O P ^ V O T R U
Exp Language :	^ N ,
The solutions posted above didn't work in my case , I needed an extra Javascript variable to do the transference :	D N V P V V P D N , O V D A ^ N P V D N ,
Java based Swing Browser should support JavaScript	^ V ^ N V V ^
In my company , I am implementing a java based html browser . I found a lot of tools to generate complete browsers only in Swing which are looking like Mozilla . But I was not able to find a browser which supports JavaScript . The browser I will implement should execute JavaScript inside the HTML sides . Do you know of a tool that supports this ? Or do you know of a parser which pairs the javascript to something I can use inside the html browser ? I know that the eclipse plugins can handle javascript , but I can not use AWT in my project . Thanks for your help .	P D N , O V V D ^ V ^ N , O V D N P N P V A N A P ^ D V V P ^ , & O V R A P V D N D V ^ , D N O V V V V ^ P D ^ N , V O V P D N & V D , & V O V P D N D N D ^ P N O V V P D ^ N , O V & D ^ N V V ^ , & O V R V ^ P D N , N P D N ,
You don't want to build this yourself . Fortunately , there are a number of open source javascript engines you might be able to adapt .	O V V P V D O , R , X V D N P A N ^ N O V V A P V ,
add the moment the html sides are shown by using C++ and a firefox plugin , but i should use the existing html sides which including javascript . I have no choice , i have to show html with javascript .	V D N D ^ N V V P V ^ & D ^ N , & O V V D A ^ N O V ^ , O V D N , O V P V ^ P ^ ,
I'm not saying don't do it : I'm saying find someone else that's already done it and use that .	L R V V V O , L V V O R L R V O & V D ,
In my company , I am implementing a java based html browser . Good God , why ? That said , this page at java.net discusses some options ; you could search it more extensively .	P D N , O V V D ^ V ^ N , A ^ , R , O V , D N P ^ V D N , O V V O R R ,
I'd look at Lobo . It sounds like just want you want . It has a HTML Renderer and parser , and some support for Javascript . If it's missing a feature of Javascript that you need , it seems like it would easier to contribute to Lobo , instead of reinventing the wheel .	L V P ^ , O V V R V O V , O V D ^ N & N , & D N P ^ , P L V D N P ^ P O V , O V P O V A P V P ^ , R P V D N ,
That sounds like a good solution . I will test this . Thanks	O V P D A N , O V V D , N
Will you please tell me that how to implement this ?	V O V V O R R P V D ,
It will be available . I hope pretty soon . Its name is JWebPane and it is based on WebKit afaik . The interesting question is " When " Here's the link : http://weblogs.java.net/blog/ixmal/archive/2008/05/introducing_jwe.html	O V V A , O V R R , D N V ^ & O V V P ^ ^ , D A N V , R , L D N , U
News today : http://weblogs.java.net/blog/alex2d/archive/2008/12/jwebpane_projec.html	N N , U
How can I get stock quotes using Google Finance API ?	R V O V N N V ^ ^ ^ ,
I'm looking for access to financial data from Google services . I found this URL that gets the stock data for Microsoft . What are all the possible parameters that Google allows for this kind of HTTP request ? I'd like to see all the different information that I could get .	L V P N P A N P ^ N , O V D ^ O V D N N P ^ , O V X D A N P ^ V P D N P ^ N , L V P V X D A N P O V V ,
How did you find that URL ?	R V O V D ^ ,
You can easily get Google Finance data via YQL which is simple and REST based . An example can be found here : http://www.jarloo.com/google-finance-and-yql /	O V R V ^ ^ ^ P ^ O V A & ^ V , D N V V V R , U ,
This is a great question , are there more answers that are up to date ?	D V D A N , V R A N O V T P N ,
@Timmyc - The ` client=ig ` parametet leads me to believe this is / was used for an iGoogle widget . Just a guess though .	@ , D , G , V V O P V D V , V V P D ^ N , R D N P ,
Note that if your application is [ for public consumption , using the Google Finance API is against Google's terms of service] ( https://groups.google.com/d/msg/google-finance-apis/O8fjsgnamHE/-ZKSjif4yDIJ) . @timmyc : the ` ` parameter isn't necessary . http://finance.google.com/finance/info?q=NASDAQ%3aMSFT works .	V O P D N V , P A N , V D ^ ^ ^ V P Z N P E , U , @ , D G G N V A , U V ,
There's a whole API for managing portfolios . * Link removed . Google no longer provides an developer API for this . Getting stock quotes is a little harder . I found one article where someone got stock quotes using Google Spreadsheets . Here is another example of that . You can also use the gadgets but I guess that's not what you're after . The API you mention is interesting but doesn't seem to be documented ( as far as I've been able to find anyway ) . Here is some information on historical prices , just for reference sake .	L D A ^ P V N , , V V , ^ R A V D N ^ P D , V N N V D A A , O V O N R O V N N V ^ ^ , R V D N P O , O V R V D N & O V L R O L P , D ^ O V V A & V V P V V , R R P L V A P V R , , R V D N P A N , R P N N ,
There is an undocumented API from google you can use to get stock info much easier as it's REST based and doesn't require authentication . Here is a C# example http://www.jarloo.com/google-stock-api /	X V D A ^ P ^ O V V P V N N R A P L ^ V & V V N , R V D ^ N U ,
Note : The Google Finance API has been officially deprecated as of May 26 , 2011 and will be shut down on October 20 , 2012 .	N , D ^ ^ ^ V V R V P P ^ G , G & V V V T P ^ G , G ,
This answer is mostly off-topic . The answer below it is the correct one .	D N V R A , D N P O V D A O ,
Perhaps of interest , the Google Finance API documentaton includes a section detailing how to access different parameters via JavaScript . I suppose the JavaScript API might be a wrapper to the JSON request you mention above ... perhaps you could check which HTTP requests are being sent .	R P N , D ^ ^ ^ ^ V D N V R P V A N P ^ , O V D ^ ^ V V D N P D ^ V O V P , R O V V D ^ N V V V ,
no longer available	D A A
I found this site helpful . http://benjisimon.blogspot.com/2009/01/truly-simple-stock-api.html It links to an API yahoo seems to offer that is very simple and useful . For instance : http://finance.yahoo.com/d/quotes.csv?s=GOOG+AAPL f=snl1 Full details here : http://www.gummy-stuff.org/Yahoo-data.htm	O V D N A , U O V P D ^ ^ V P V O V R A & A , P N , U G A N R , U
Here is an example that you can use . Havent got Google Finance yet , but Here is the Yahoo Example . You will need the HTMLAgilityPack , Which is awesome . Happy Symbol Hunting . Call the procedure by using YahooStockRequest ( string Symbols ); Where Symbols = a comma-delimited string of symbols , or just one symbol	R V D N P O V V , V V ^ ^ R , & R V D ^ N , O V V D ^ , O V A , A N N , V D N P V ^ , V N , D N = D A N P N , & R A N
The Google Finance Gadget API has been officially deprecated since October 2012 , but as of April 2014 , it's still active : http://www.google.com/finance/info?q=NASDAQ:GOOG http://www.google.com/finance/info?q=CURRENCY:GBPUSD http://finance.google.com/finance/info?client=ig q=AAPL , YHOO You can also get charts : https://www.google.com/finance/getchart?q=YELP Note that if your application is for public consumption , using the Google Finance API is against Google's terms of service . Check google-finance-get-stock-quote-realtime for the complete code in python	D ^ ^ ^ ^ V V R A P ^ G , & R P ^ G , L R A , U U U G , ^ O V R V N , U V O P D N V P A N , V D ^ ^ ^ V P Z N P N , V G P D A N P ^
This led me exactly to what I was looking for ! Thanks .	D V O R P O O V V P , N ,
But I cannot get the volume traded through this URL , Can you help me out , if I need the volume details too	& O V V D N V P D ^ , V O V O T , P O V D N N R
@DanDascalescu Thanks Dan . Looks like it was just down when I was checking it . Comment deleted .	@ N ^ , V P O V R R R O V V O , N V ,
Building upon the shoulders of giants...here's a one-liner I wrote to zap all of Google's current stock data into local Bash shell variables : Then you will have variables like $GF_last $GF_open $GF_volume etc . readily available . Run env or see inside / tmp / stockprice.tmp.log So for stock= " FBM " / tmp / stockprice.tmp.log ( and your environment ) will contain :	N P D N P L D N O V P V R P Z A N N P A ^ N N , R O V V N P G G G G , R A , V ^ & V P , G G G P P G , G G G G G G G & O N , V V ,
Can I use the URL for a Real Time stock quote ?	V O V D ^ P D A N N N ,
Mostly yes . Compare ` GF_trade_time_utc ` to the current time / date and you be the judge .	R ! , V , ^ , P D A N , N & O V D N ,
Thanks for your answer , but here the volume is not coming in the json , is there any other way or URL to get the volume traded ?	N P D N , & R D N V R V P D ^ , V R D A N & ^ P V D N V ,
The problem with Yahoo and Google data is that it violates terms of service if you're using it for commercial use . When your site / app is still small it's not biggie , but as soon as you grow a little you start getting cease and desists from the exchanges . A licensed solution example is FinancialContent : http://www.financialcontent.com/json.php or Xignite	D N P ^ & ^ N V P O V N P N P L V O P N V , R D N , N V R A L R N , & R R P O V D A O V V V & N P D N , D A N N V ^ , U & ^
This is no longer an active API for google , you can try Xignite , although they charge : http://www.xignite.com	D V D A D A ^ P ^ , O V V ^ , P O V , U
Do you have any experience using their services ? How much do they charge ?	V O V D N V D N , R R V O V ,
The simplest way as you have explained is this link this is for ' Dow Jones Industrial Average ' Link 2 is for ' NASDAQ-100 ' and for all related to NASDAQ link 3 I think this should be it , else you want same in JSON notations the same as Microsoft Please refer this old post I think this will help , Update : To know the details of volume and other details , I have created a vbscript that is using IE object to fetch details from the link , and alerts the content in the particular id ( Create a . vbs file and run it .. this will alert the values from page like this I am sure this will help ..	D A N P O V V V D N D V P , ^ ^ A N , V $ V P , ^ , & P X V P ^ N $ O V D V V O , R O V A P ^ N D A P ^ V V D A N O V D V N , N , P V D N P N & A N , O V V D ^ O V V ^ N P V N P D N , & V D N P D A ^ , V D , ^ N & V O , O V V D N P N P D O V R O V N ,
Thanks a lot for your answer . But I need the realtime data in json along with the volume traded , is there any rest services ?	V D N P D N , & O V D N N P ^ P P D N V , V R D N N ,
Please refer this for details on realtime , generally this links provide reatime data with some exception .. https://www.google.com/googlefinance/disclaimer/#realtime	V V D P N P N , R D N V A N P D N , U
Thanks once again bro , This one was really helpful , but still how can I get the volume information ?	N R R ^ , D N V R A , & R R V O V D N N ,
Its if you are aware of VBA or VBS on the page ( https://www.google.com/finance?q=INDEXNASDAQ%3ANDX =NASDAQ =2 =B3UoUsiIH5DIlgPEsQE ) the element's id is ' market-data-div ' that div contains 2 more divs and the second div has the table that contains volume ` 759.30 M ` like this . If want more help please post some code of your work or fiddle will do .	L P O V A P ^ & ^ P D N , U G G G , D S ^ V , ^ , D N V $ A N & D A N V D N D V N , $ ^ , P D , P V A N V V D N P D N & ^ V V ,
No Sir , Dont have any idea of VBA or VBS , but will check this definitely , Can you provide me the URL , which results in the realtime stock quote along with volume information ?	D ^ , V V D N P ^ & ^ , & V V D R , V O V O D ^ , D N P D N N V P P N N ,
I will create a fiddle for a with a js file which will alert you give me some time	O V V D ^ P D P D ^ V O V V O V O D N
Sure Sir , Thanks a lot and that will be of great help .. :-) god bless you	R ^ , V D N & O V V P A N , E N V O
@SashiKant I have updated my answer , Please find the VBS code that works well on windows PC enjoy :)	@ O V V D N , V V D ^ N O V R P ^ ^ V E
Thanks a lot brother .. :-)	V D N N , E
You are always welcome :) StackOverflow is there to help us all :)	O V R A E N V R P V O R E
Try with this : http://finance.google.com/finance/info?client=ig q=NASDAQ : GOOGL It will return you all available details about the mentioned stock . e.g. out put would look like below : // [ { " id " : " 694653 " , " t " : " GOOGL " , " e " : " NASDAQ " , " l " : " 528.08 " , " l_fix " : " 528.08 " , " l_cur " : " 528.08 " , " s " : " 0 " , " ltt " : " 4:00 PM EST " , " lt " : " Dec 5 , 4:00 PM EST " , " lt_dts " : " 2014-12-05T 16:00 : 14Z " , " c " : " - 14.50 " , " c_fix " : " - 14.50 " , " cp " : " - 2.67 " , " cp_fix " : " - 2.67 " , " ccol " : " chr " , " pcls_fix " : " 542.58 " } ] You can have your company stock symbol at the end of this URL to get its details :	V P D , U G , ^ O V V O R A N P D V N , G T V V V V P G G G G G G G G G G G G G G G G G G G , G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G , G , G G G G , G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G O V V D N N N P D N P D ^ P V D N ,
Agree with Pareshkumar's answer . Now there is a python wrapper googlefinance for the url call . Install googlefinance It is easy to get current stock price : Google finance is a source that provides real-time stock data . There are also other APIs from yahoo , such as yahoo-finance , but they are delayed by 15min for NYSE and NASDAQ stocks .	V P Z N , R R V D ^ N N P D N ^ , V ^ O V A P V A N N , ^ N V D N P V A N N , X V R A ^ P ^ , A P ^ , & O V V P $ P ^ & ^ N ,
How to resize a java applet when the browser is resized ?	R P V D ^ N R D N V V ,
I have a java applet that is embedded in html using the object-comment-embed method . I would like to resize the applet whenever the browser window is resized . I have found solutions around the internet , but they all work based on the deprecated applet tag . Also , when trying a setSize() call on my embed element in FireBug , it will resize the content of the applet , but not the applet viewport . That is , the area of the display that is given over to java does not change . Current code looks something like this :	O V D N ^ O V V P ^ V D ^ N , O V V P V D N R D N N V V , O V V N P D ^ , & O D V V P D A N N , R , O V D ^ V P D ^ N P ^ , O V V D N P D N , & R D N N , O V , D N P D N O V V O P ^ V R V , A N V N P D ,
does your resize function get called ? ( e.g. where is the error so far ? )	V D A N V V , , N R V D N R R , ,
Try replacing these lines : with :	V V D N , P ,
My vote is for this method . I've basically done this same thing to resize ActiveX controls . It should work the same for an Applet .	D N V P D N , L R V D A N P V ^ N , O V V D A P D N ,
This worked ! I was doing the same thing , using setSize() . It was being called but the applet wasn't resizing . Thanks !	D V , O V V D A N , V ^ , O V V V & D N V V , N ,
Why don't you use percentage width and height . I usually use the following code for my applets :	R V O V N N & N , O R V D N N P D N ,
Netbeans intellisense for Yahoo utils	^ N P ^ N
In netbeans I created an html page in which I am using Yahoo utils . If I type " yahoo . " then namespace , render , hide are not visible in the interactive documentation . Please tell me how to configure Netbeans to handle this .	P ^ O V D ^ N P D O V V ^ N , P O V , ^ , , R N , N , N V R A P D A N , V V O R P V ^ P V D ,
I don't use Netbeans , but I do know that Javascript is case-senstive , and that the global Yahoo object is YAHOO , not yahoo . So try it in all caps .	O V V ^ , & O V V D ^ V A , & P D A ^ N V ^ , R ^ , P V O P D N ,
Sending a value from javascript to jsp ( with jquery )	V D N P ^ P ^ , P ^ ,
right now i have a jsp page that allows to sort some items , when is ready and a link is clicked a javascript function converts all the info into xml ( text in a variable ) , after this i need to send this xml to the jsp page again , i tried putting the info in a hidden input and submiting the form , sending with $ . post and a few more jquery functions but nothing worked . Any ideas ? in my JSP im reading the post like this : This doesnt work : This either : replacing . text with . html doesnt work Any ideas are welcome , thx	R R O V D ^ N O V P N D N , O V A & D N V V D ^ N V X D N P ^ , V P D A , , P D G V P V D ^ P D ^ N R , O V V D N P D A N & V D N , V P G , N & D A A A N & N V , D N , P D ^ ^ V D N P D , D V N , D ^ , V , V P , ^ V V D N V V , N
You could always use an XMLHttpRequest to send the data . This can be done with our without user interaction on an element such as a form submit button . jQuery has functionality built in for assisting with such requests . http://docs.jquery.com/Ajax	O V R V D ^ P V D N , D V V V P D P N N P D N R P D N V N , ^ V N V P P V P A N , U
Suggesting another library is like creating a mess here . JQuery is as good as Prototype in making AJAX calls , if not better .	V D N V P V D N R , ^ V P A P ^ P V ^ V , P R R ,
Trying using the jQuery Ajax API - you can use it to send arbitrary data via GET or POST and you don't need to set up a hidden form or anything .	V V D ^ ^ ^ , O V V O P V A N P ^ & ^ & O V V P V T D A N & N ,
Yes , we don't submit forms , like we traditionally do . A sound suggestion .	! , O V V N , V O R V , D N N ,
You're probably going the wrong way here . You didn't provide the html code , but I assume it is something like this : If that is correct , then you should say $ ( " #data ") . val ( xml ); instead of text() or html() as those change the matched thing with text or html you provide . This should work for your current solution . Also I'd propose to look at jQuery's $ . post() and others as an alternative to packing everything as xml unless this is really what you want on the backend . It could be easier to just make up a javascript object with all the values keyed by some names and pass it on to one of jQuery's $ . post() , $ . get() , etc . like this : Actually it only occured to me now that you can also send your xml this way ( unless you prefer your way of doing things ): You might want to enlighten yourself more here : Ajax @ jQuery docs	L R V D A N R , O V V D ^ N , & O V O V N P D , P O V A , R O V V , , G G , G G , ^ , R P ^ & ^ P O V D V N P N & ^ O V , D V V P D A N , R L V P V P Z , , ^ & N P D N P V N P ^ P D V R O O V P D N , O V V A P R V T D ^ N P X D N V P D N & V O P P $ P Z , , ^ , , , ^ , G , P D , R O R V P O R P O V R V D ^ D N , P O V D N P V N , O V V P V O R R , ^ P ^ N
The Google Maps Wikipedia Layer	D ^ N ^ N
Is there a way to programmatically list all geo-tagged Wikipedia entries within a radius of a long / lat point ? I'm thinking this is possible with the google maps API but I am interested in any method . NOTE : I do not want to display a googlemap .	V R D N P D N R A ^ N P D N P D A , D N , L V D V R P D ^ N ^ & O V V P D N , V , O V R V P V D ^ ,
Yes , it's possible . The hard part is either : ( 1 ) Screen-scraping Wikipedia ( bad idea , unless you already have a ( small ) list of target pages ) ( 2 ) Downloading and parsing the massive Wikipedia data sets ( better idea ) Once you have lat / long coordinates , which I assume are in the wiki page's geotag format , you can use the great circle formula to compute relative distances , and bypass Google's API entirely . The moral of this story ? When you've dealing with datasets this massive , you're going to want to do as much of it offline as possible .	! , L A , D A N V R , , $ , N ^ , A N , P O R V D , A , N P N N , , $ , V & V D A ^ N N , A N , R O V ^ , A N , D O V V P D ^ Z N N , O V V D A N N P V A N , & V Z ^ R , D N P D N , R L V P L D A , L V P V P V R A P O V R A ,
I've solved a slightly similar problem by using the GeoNames webservices . You can use the webservice to request cities and so on . There is a per-ip-limitation you may not exceed . I searched a little further and there's something interesting for you . The webservice is called findNearByWikipedia . It may be the thing you're searching for ...	L V D R A N P V D ^ N , O V V D N P V N & R P , X V D N O V R V , O V D A A & L N A P O , D N V V ^ , O V V D N L V P ,
Another option is using DbPedia SPARQL interface . For example , the following SPARQL query gets wikipedia articles within bounding box limited by coordinates . SPARQL libraries widely available , for example for SPARQL Endpoint interface to Python To test it , just paste the query below to this online query editor : http://dbpedia.org/sparql Gets the following result :	D N V V ^ ^ N , P N , D V ^ N V ^ N P V N V P N , ^ N R A , P N P ^ ^ N P ^ P N O , R V D N P P D A N N , U V D N N ,
How to preview a file on the server in JBoss	R P V D N P D N P ^
I need some ideas on how I can best solve this problem . I have a JBoss Seam application running on JBoss 4.3 . 3 What a small portion of this application does is generate an html and a pdf document based on an Open Office template . The files that are generated I put inside / tmp on the filesystem . I have tried with System.getProperties ( " tmp.dir ") and some other options , and they always return $JBOSS_HOME / bin I would like to choose the path $JBOSS_HOME / $DEPLOY / myEAR.ear / myWAR.war / WhateverLocationHere However , I don't know how I can programatically choose path without giving an absolute path , or setting $JBOSS_HOME and $DEPLOY . Anybody know how I can do this ? The second question ; I want to easily preview these generated files . Either through JavaScript , or whatever is the easiest way . However , JavaScript cannot access the filesystem on the server , so I cannot open the file through JavaScript . Any easy solutions out there ?	O V D N P R O V A V D N , O V D ^ ^ N V P ^ $ , $ D D A N P D N V V V D ^ & D ^ N V P D ^ ^ N , D N O V V O V P , ^ P D N , O V V P ^ , , ^ , & D A N , & O R A C , N O V V P V D N C , C , C , C , G R , O V V R O V R V N P V D A N , & V C & C , N V R O V V D , D A N , O V P R N O A N , X P ^ , & O V D A N , R , ^ V V D N P D N , P O V V D N P ^ , D A N P R ,
Not sure I have a complete grasp of what you are trying to achieve , but I'll give it a try anyway : My assumption is that your final goal is to make some files ( PDF , HTML ) available to end users via a web application . In that case , why not have Apache serve those file to the end users , so you only need your JBOSS application to know the path of a directory that is mapped to an Apache virtual host . So basically , create a file and save it as / var / www / html / myappfiles / tempfile.pdf ( the folder your application knows ) , and then provide http://mydomain.com/myappfiles ( an Apache virtual host ) to your users . The rest will be done by the web server . You will have to set an environment variable or system property to let your application know where your folder resides (/ var / www / html / myappfiles in this example ) . Hopefully I was not way off :)	R A O V D A N P O O V V P V , & L V O D N R , D N V P D A N V P V D N , ^ , ^ , A P N N P D N N , P D N , R R V ^ N O N P D N N , P O R V D ^ N P V D N P D N P V V P D ^ A N , P R , V D N & V O P , ^ , ^ , ^ , N , N , D N D N V , , & R V U , D ^ A N , P D N , D N V V V P D N N , O V V P V D N N & N N P V D N V R D N V G G G G G G G G P D N , , R O V R R R E
I'm not sure if this works in JBoss , given that you want a path inside a WAR archive , but you could try using ServletContext.getRealPath ( String ) . However , I personally would not want generated files to be inside my deployed application ; instead I would configure an external data directory somewhere like $JBOSS_HOME / server / default / data / myapp	L R A P D V P ^ , V P O V D N P D ^ N , & O V V V ^ , ^ , , R , O R V R V V N P V P D V N , R O V P D A N N R P ^ , N , N , N , N
I agree with Peter ( yo Pete ! ) . Put the directory outside of your WAR and setup an environment variable pointing to this . Have a read of this post by Jacob Orshalick about how to configure environment variables in Seam : As for previewing PDFs , have a look at how Google Docs handles previewing PDFs - it displays them as an image . To do this with Java check out the Sun PDF Renderer .	O V P ^ , ! ^ , , , V D N N P D ^ & V D N N V P D , V D N P D N P ^ ^ P R P V N N P ^ , R P V ^ , V D N P R ^ ^ V V ^ , O V O P D N , P V D P ^ V T D ^ ^ ^ ,
