Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
I'd like to run JSLint4Java as part of my build process . I have about 1000 JS files in a library , and don't really want to add a header to each of them -- especially since many of them are from an external library ( Dojo ) . If I don't add the header , though , JSLint complains about the same five globals on nearly every single file . Is there a way to tell JSLint to ignore them ? Some things I've thought of so far : Some sort of AntFileMap task that creates a virtual directory hierarchy that's an exact copy of another hierarchy , but has a filter applied to each file ( in this case , prepend with a / *globals * / header ) . Hack JSLint4Java to accept a set of globals which it prepends as a comment to the beginning of every file it processes . I've never seen anything like ( 1 ) . ( 2 ) seems relatively easy , but I'd prefer to use original tools if possible . Any better suggestions ?	L V P V ^ P N P D V N , O V P $ ^ N P D N , & V R V P V D N P D P O , R P A P O V P D A N , ^ , , P O V V D N , P , ^ V P D A N N P R A A N , V R D N P V ^ P V O , D N L V P R R , D N P ^ V O V D A N N L D A N P D N , & V D N V P D N , P D N , N P D D N , D N , , V ^ P V D N P V D O V P D N P D N P O V O V , L R V N V D $ D , D $ D V R A , & L V P V A N P A , D A N ,
Hi James , I'm curious if you ever worked out a solution to this .	V ^ , L A P O R V T D N P D ,
From http://www.ohloh.net/p/jslint4java News 2009-12-02 . jslint4java 1.3 . 3 is released . Noteworthy alterations : Add support for the predef option , to allow specifying a list of predefined global variables . Sounds like what you might be looking for . Try the -- help option to get the syntax , maybe ?	P U ^ $ , ^ $ , $ V V , ^ N , V V P D N N , P V V D N P D A N , V P O O V V V P , V D , N N P V D N , R ,
You can also use LintRoller - a Node.js utility for checking entire directories or projects against JSLint , JSHint and other validations .	O V R V ^ , D ^ N P V A N & N P ^ , ^ & A N ,
I've been playing with DWR and converters for a while and I really wanted to map my Java classes to JavaScript classes . Using DWR converters , I have the option to point out what is the name of my JS constructor given a Java class . So far so good ... The problem arises when my JS constructor is within a JS package-like name ( just like YUI's package system , eg my.beautiful.package.MyClass ) . DWR's current implementation doesn't allow me to use this kind of construct , giving me a SyntaxError when I try to use it . Is there an elegant way arround this limitation ?	L V V P ^ & N P D N & O R V P N D ^ N P ^ N , V ^ N , O V D N P N P O V D N P D ^ N V D ^ N , P R R A , D N V R D ^ N V P D ^ A N , R P Z N N , G ^ , , Z A N V V O P V D N P V , V O D ^ R O V P V O , V R D A N P D N ,
I don't have a workaround , but for your information there is an opened issue about this : http://bugs.directwebremoting.org/bugs/browse/DWR-103 If I am wrong and it is not the same problem as what you described , let me know and I will delete this comment .	O V V D N , & P D N R V D V N P D , U P O V A & O V R D A N P O O V , V O V & O V V D N ,
Thats right , I wonder if they will fix it only for version 3 . Here we use version 2 yet .	L R , O V P O V V O R P N $ , R O V N $ R ,
As far as I know the this isn't possible directly . I have in my current work project experimented with enhancing each returned object on the client side with methods from a Javascript class , which gets the result that I think you are interested in . I'll have to check at work on monday ( now is sunday ) that augmentProto is correct one to use , but I think it is . There may even be a better hook into DWR that'll allow you to do this on the fly automagically .	R R P O V D O V R R , O V P D A N N V P V O V N P D N N P N P D ^ N , O V D N P O V O V V T , L V P V P V P ^ , R V N , D ^ V A $ P V , & O V O V , X V R V D A N P ^ L V O P V D P D V N ,
One thing that I did , I " globalized " all needed constructors used by DWR , ( using the notation as follows * my_beautiful_package_MyClass * ) although it works , its not that elegant =/	$ N P O V , O , V , X V N V P ^ , , V D N P V , ^ , , P O V , L R R A E
I'd like to use the Rhino JavaScript compiler to compile some JavaScript to . class bytecode files for use in a project . It seems like this should already exist , since there are groovyc , netrexxc , and jythonc tasks for Groovy , NetREXX ( ! ) and Jython , respectively . Has anyone used or written such an Ant task , or can anyone provide some tips on how to write one ? Ideally it would have some way to resolve dependencies among JavaScript or Java classes .	L V P V D ^ ^ ^ P V D ^ P , N ^ N P V P D N , O V P D V R V , P X V ^ , ^ , & Z N P ^ , ^ , , , & ^ , R , V O V & V X D N N , & V O V D N P R P V $ , R O V V D N P V N P ^ & ^ N ,
Why not simply use java task ? Any objections ?	R R R V ^ N , D N ,
Hmm , the main concern is handling dependencies among Java and JavaScript classes . Still , this might be enough to work for now -- thanks .	! , D A N V V N P ^ & ^ N , R , O V V A P N P R , ! ,
Here is a sample build.xml I use for my rhino applications . If you have lots of javascript files you just need to keep adding more tags ~ : ant compile jar run ~	R V D N ^ O V P D ^ N , P O V N P ^ V O R V P V V A N G , ^ N ^ N G
I'm using RequireJS in my project , which includes a script that traces out dependencies between modules , and combines them into a single JavaScript file . Optionally , it can also minify the combined js file with the Google Closure compiler . Once it's in this form , where all dependencies are included in a single js file , the file can be easily compiled using jsc . Here's a segment of my ant script which I use to create the single combined js file , compile it to a class file , and then create an executable JAR : The complete build script can be found here .	L V ^ P D N , O V D N P V T N P N , & V O P D A ^ N , R , O V R A D A ^ V P D ^ ^ N , R L P D N , R R N V V P D A ^ N , D N V V R V V ^ , L D N P D ^ N P O V P V D A A ^ N , V O P D N N , & R V D A ^ , D A V N V V V R ,
* Punches in the arm* . According to wikipedia , I am required to do so after you jinxed me and before I can speak again . http://en.wikipedia.org/wiki/Jinx	, V P D G , V P ^ , O V A P V R P O G O & P O V V R , U
You misread that - I get to punch you now . And get me my Coke .	O V O , O V P V O R , & V O D ^ ,
Everything . JavaScript was named this way by Netscape to confuse the unwary into thinking it had something to do with Java , the buzzword of the day , and it succeeded . The two languages are entirely distinct .	N , ^ V V D N P ^ P V D A P V O V N P V P ^ , D N P D N , & O V , D $ N V R A ,
Javascript was originally called Livescript , and the world would probably be a better place today if they hadn't renamed it !	^ V R V ^ , & D N V R V D A N N P O V V O ,
I doubt it was to cause confusion - what's the benefit to the company of that ? I suspect the _intent_ was to ride on the success of Java , although the _effect_ was what you stated .	O V O V P N N , L D N P D N P O , O V D C V P V P D N P ^ , P D C V O O V ,
" ride the success of java " by calling something unrelated with a similar name ? That sounds very much like " causing confusion for marketing purposes " to me .	, V D N P ^ , P V N A P D A N , O V R A R , V N P N N , P O ,
Sun tried this naming trick again with the " Sun Java Desktop " , which was essentially a branded version of Gnome and had nothing to do with Java .	^ V D V ^ R P D , ^ ^ N , , O V R D A N P ^ & V N P V P ^ ,
@Pax - Put another way , it confused the unwary into thinking it had something to do with Java , the buzzword of the day .	@ , V D N , O V D A P V O V N P V P ^ , D N P D N ,
Yeah , and it worked . @Greg Hewgill , the world might be a better place , but Javascript probably wouldn't be where it is today .	! , & O V , @ ^ , D N V V D A N , & ^ R V V R O V N ,
@Just Some Guy - Well said . I improved my answer by adding some of your wit .	@ ^ ^ , ! V , O V D N P V D P D N ,
The reason they changed the name was to in some way pacify Sun who at that point were involved with Netscape	D N O V D N V P P D N V ^ ^ P D N V A P ^
Java and Javascript are similar like Car and Carpet are similar .	^ & ^ V A P N & N V A ,
Awesome answer . I need to remember it !	A N , O V P V O ,
from ddaa import wit # I wish I had come up with that one !	P N N N G O V O V V T P D $ ,
That is the best answer ever . If it is original ( i.e. you hadn't heard it from somewhere else ) you are a genius . I am going to start quoting this ...	O V D A N R , P O V A , V O V V O P R R , O V D N , O V V P V V D ,
Unfortunately , I can't claim originality . I don't recall where I first heard it , however .	R , O V V N , O V V R O R V O , R ,
Damn , this answer earned you 690 rep atleast . It is a great answer still .	! , D N V O $ N R , O V D A N R ,
Great answer . Simple and lets you get the idea .	A N , A & V O V D N ,
He didn't . 200 max per day .	O V , $ N P N ,
i don't think it's a flaw . he deserved his points . this is a short answer , and all he needs to know .	O V V L D N , O V D N , O V D A N , & R O V P V ,
lol , very nice comparison .	! , R A N ,
I would vote this up twice if I could . Great analogy !	O V V D T R P O V , A N ,
+1 ( just to help Tim ! )	$ , R P ^ ^ , E
I would have said car and bus .	O V V V N & N ,
@Ian Quigley : Ah , that must have been where I saw it ! Thanks .	@ ^ , ! , O V V V R O V O , N ,
Greg Hewgil , you're my new hero man !	^ ^ , L D A N N ,
I prefer the version about ham and hamster .	O V D N P N & N ,
This is a bad answer . Javascript and Java are both languages for writing code , but they are used in different contexts . Car and Carpet are nothing at all like each other . Javascript and Java are easy to confuse for a beginner	D V D A N , ^ & ^ V D N P V N , & O V V P A N , N & N V N P X V D A , ^ & ^ V A P V P D N
2 years late , but thank you so much for this thoughtful explanation . It's way more useful and informative than the selected answer , and deserves far more votes IMO	$ N R , & V O R A P D A N , L N R A & A P D A N , & V R A N ^
I upvote both in such cases . We need the right answer , but holy shmoly , geeks like us we really need more of this humor	O V $ P A N , O V D A N , & R R , N P O V R V R P D N
You might also here strongly-typed and loosely-typed instead of statically-typed and dynamically-typed .	O V R R A & V R P A & A ,
One is essentially a toy , designed for writing small pieces of code , and traditionally used and abused by inexperienced programmers . The other is a scripting language for web browsers .	O V R D N , V P V A N P N , & R A & V P A N , D N V D A N P N N ,
Overtly trollish , but somewhat funny .	R A , & R A ,
Gave me a chuckle . Enough for +1	V O D N , A P $
If we could do categorical votes , I'd vote +1 funny , but otherwise , meh .	P O V V A N , L V $ A , & R , ! ,
I was about to berate you for dissing Javascript when it had come so far in the last few years . Then I rid the second paragraph and L'dOL . But , hang on a mo , Java is my main income earner ... :-)	O V P P V O P V ^ R O V V R R P D A A N , R O V D A N & G , & , V P D N , ^ V D A N G , E
I downvoted this , then read it properly , then upvoted it .	O V D , R V O R , R V O ,
Poetry , Shog . Sheer poetry .	N , N , ^ N ,
Perfect - +1 for humor , as someone else said , but -1 for actually answering the question .	A , $ P N , P O R V , & $ P R V D N ,
downvoted for dissing Javascript , then noticing you were talking about JAVA and upvoted ( and lol'ed alot ) .	V P V ^ , R V O V V P ^ & V , & G G , ,
-1 factually incorrect and not that funny .	$ R A & R R A ,
It's sad that I can only upvote once . This is going on my Facebook profile somewhere ...	L A P O V A N R , D V V P D ^ N R ,
ROFL ... That was funny .	! , O V A ,
But which language goes with which description(wasn't java meant to be used as a well not quite scripting but everything else for the net during some point in the 90s-by sun and netscape ) ? Also who writes small pieces of code in java ?	& D N V P D V ^ V P V V P D R R R A & N R P D N P D N P D G ^ & ^ , , R O V A N P N P ^ ,
@Roman well of course , the proper Java way is to write at least 20 different classes using intricate inheritance and other cool OOP features to complete a FizzBuzz :)	@ R P N , D A ^ N V P V P R $ A N V A N & R A ^ V P A D ^ E
Jeeez . I almost downvoted the answer , when I started to read the first sentence :D	^ , O R V D N , R O V P V D A N E
twitted right after finishing laughing ...	V R P V V ,
Oh my gosh ... hilarious ! +1	! ! ! , A , @
Actually , javascript isn't just for browsers . It's a complete scripting language often used for many applications that requires scripts . And Java isn't just for inexperienced or idiots . It can acomplish many things within no time .	R , ^ V R P N , L D A A N R V P A N P V N , & ^ V R P A & N , O V V A N P D N ,
Brilliant . A heartfelt +1	^ , D A $
They are independent languages with unrelated lineages . Brendan Eich created Javascript originally at Netscape . It was initially called Mocha . The choice of Javascript as a name was a nod , if you will , to the then ascendant Java programming language , developed at Sun by Patrick Naughton , James Gosling , et . al .	O V A N P A N , ^ ^ V ^ R P ^ , O V R V ^ , D N P ^ P D N V D N , P O V , P D R A ^ V N , V P ^ P ^ ^ , ^ ^ , G , G ,
Javascript isn't just for HTML pages , Java6 now includes it , BIRT uses it for report scripting - I'm sure that there are other non-HTML uses beyond these two .	^ V R P ^ N , ^ R V O , ^ V O P N V , L A P R V A ^ V P D $ ,
You're right . With the development of Rhino , and some of the other developments you mentioned , Javascript has come pretty far out of the browser sandbox .	L R , P D N P ^ , & D P D A N O V , ^ V V R R R P D N ^ ,
Scripting is simply one particular kind of programming ... instead you should say perhaps that Java is a compiled programming language and javascript is a scripting or interpreted programming language .	V V R $ A N P V , R O V V R P ^ V D A V N & ^ V D N & V V N ,
Take a look at the Wikipedia link JavaScript , despite the name , is essentially unrelated to the Java programming language , although both have the common C syntax , and JavaScript copies many Java names and naming conventions . The language was originally named " LiveScript " but was renamed in a co-marketing deal between Netscape and Sun , in exchange for Netscape bundling Sun's Java runtime with their then-dominant browser . The key design principles within JavaScript are inherited from the Self and Scheme programming languages .	V D V P D ^ N ^ , P D N , V R A P D ^ V N , P D V D N ^ N , & ^ N A ^ N & V N , D N V R V , ^ , & V V P D A N P ^ & ^ , P N P ^ V Z ^ ^ P D A N , D A N N P ^ V V P D N & N V N ,
They have nothing to do with each other . Java is statically typed , compiles , runs on its own VM . Javascript is dynamically typed , interpreted , and runs in a browser . It also has first-class functions and anonymous functions , which Java does not . It has direct access to web-page elements , which makes it useful for doing client-side processing . They are also somewhat similar in syntax , but that's about it .	O V N P V P D A , ^ V R V , V , V P L A ^ , ^ V R V , V , & V P D N , O R V A N & A N , D ^ V R , O V A N P A N , O V O A P V A N , O V R R A P N , & L P O ,
Like everybody's saying , they're pretty much entirely different . However , if you need a scripting language for your Java application , Javascript is actually a really good choice . There are ways to get Javascript running in the JVM and you can access and manipulate Java classes pretty seamlessly once you do .	P L V , L R R R A , R , P O V D N N P D ^ N , ^ V R D R A N , X V N P V ^ V P D ^ & O V N & V ^ N R R R O V ,
In addittion to being entirely different languages , in my experience : Java looks nice at first , later it gets annoying . JavaScript looks awful and hopeless at first , then gradually you really start to like it . ( But this may just have more to do with my preference of functional programming over OO programming ... ;)	P N P V R A N , P D N , ^ V A P R , R O V A , ^ V A & A P R , R R O R V P V O , , & D V R V R P V P D N P N V P ^ V , E
Same experience here .	A N R ,
Practically every PC in the world sells with at least one JavaScript interpreter installed on it . Most ( but not " practically all ") PCs have a Java VM installed .	R A N P D N V P O R $ ^ N V P O , R , & R , R R A N V D ^ ^ V ,
A Re-Introduction to Javascript by the Mozilla team ( they make Firefox ) should explain it .	D N P ^ P D ^ N , O V ^ , V V O ,
It's like they didn't bother to edit it even a little .	L P O V V P V O R D A ,
Java is to JavaScript as ham is to hamster	^ V P ^ P N V P ^
Where do you think ham comes from ? ;)	R V O V N V P , E
It comes from a big hamster ; it's so big that you could confuse it with a pig . ` ;) `	O V P D A N , L R A P O V V O P D N , G E G
Don't be confused with name .. Java was created at Sun Microsystems ( now Oracle ) . But , JavaScript was created at Netscape ( now Mozilla ) in the early days of the Web , and technically , Java-Script is a trademark licensed from Sun Microsystems used to describe Netscape s implementation of the language . Netscape submitted the language for standardization to ECMA ( European Computer Manufacturer s Association ) and because of trademark issues , the standardized version of the language was stuck with the awkward name ECMAScript . For the same trademark reasons , Microsoft s version of the language is formally known as JScript . In practice , just about everyone calls the language JavaScript . The real name is ECMAScript . Both are fully different languages !!!	V V V P N , ^ V V P ^ N , R ^ , , & , ^ V V P ^ , R ^ , P D A N P D ^ , & R , ^ V D N V P ^ N V P V ^ G N P D N , ^ V D N P N P ^ , N N N G N , & P P N N , D A N P D N V V P D A N ^ , P D A N N , ^ G N P D N V R A P ^ , P N , R P O V D N ^ , D A N V ^ , X V R A N ,
Actually , now that I read it over , I think I actually don't need to escape the string I'm sending back at all ... That is , StringEscapeUtils.escapeJavaScript would be useful if the resulting value was printed in the page , like : Or am I missing something and there would still be a valid reason to do the escape in the original case ? ( when it is returned as a series of bytes back to an ajax onreadystatechange handler and assigned to a js variable )	R , R P O V O R , O V O R V V P V D N L V R P X , O V , ^ V V A P D A N V V P D N , V , & V O V N & R V R V D A N P V D V P D A N , , R O V V P D N P S N P D ^ ^ N & V P D ^ N ,
I'm not sure if I understand your problem exactly . Are you concerned about Person A logging off , Person B logs in from the same PC and browser instance , and then you want to prevent Person B from seeing whatever A was viewing ? If so , it should be sufficient to check the credentials of the user on every page load . Check that the current user is authorized to view the data being requested .	L R A P O V D N R , V O V P N ^ V T , N ^ V P P D A N & N N , & R O V P V N ^ P V D ^ V N , P R , O V V A P V D N P D N P D N N , V P D A N V V P N D N V V ,
How will hitting the back button cause the user to see another user's data ? What is your use case ? Is it designed for a public terminal , where each user submits data and then leaves ? In this case , associate each input with a unique session id . Keep track of valid session ids in your server . Once the input is submitted , remove that session id from the valid ids . If it comes up again , then don't display the information .	R V V D N N P D N P V D S N , O V D N N , V O V P D A N , R D N V N & R V , P D N , V D N P D A N ^ , V N P A N N P D N , R D N V V , V D N L P D A N , P O V T R , R V V D N ,
I agree - it sounds like he's trying to solve a problem that shouldn't exist ... running the session as a singleton or something ?	O V , O V P L V P V D N P V V , V D N P D ^ & N ,
Your problem is that you're trying to keep the client from seeing what's on his or her own computer . You can't keep them from looking at their browser cache . You can't keep them from disabling JavaScript ( and thus your scripting code ) . You can't keep them from using a browser that doesn't observe that " repost " convention that you mention . This is not a problem that can be solved with JavaScript or a server-side solution . That part of why " breaking the back button " is frowned upon : it doesn't actually solve anything .	D N V P L V P V D N P V L P D & D A N , O V V O P V P D N N , O V V O P V ^ , & R D N N , , O V V O P V D N O V V O , N , N P O V , D V R D N P V V V P ^ & D A N , D N P R , V D N N , V V T , O V R V N ,
Actually , you can turn caching off . Most browsers respect this , but it's not guaranteed .	R , O V V V T , A N N D , & L R A ,
As I mentioned in my post here , you can turn off caching but history may be treated differently by different user agents . The HTTP specification makes a distinction between the two but doesn't really define the concept of history as well as it defines caching .	P O V P D N R , O V V T V & N V V V R P A N N , D ^ N V D N P D $ & V R V D N P N P R P O V V ,
I had a similar problem in . Net . I added the following javascript to my logout page : document.execCommand ( " ClearAuthenticationCache " , " false ") ; now if you press the back button you need to authenticate again .	O V D A N P G G , O V D V ^ P D N N , ^ , , ^ , , , A N , R P O V D N N O V P V R ,
Have you considered that a malicious user could simply turn off Javascript ?	V O V P D A N V R V T ^ ,
It sounds like your real problem is that the re-post works . That would probably be because you : are trusting credentials from the browser rather than the current session , or are not checking that the current session is allowed access the data represented by a key / identifier value sent from the browser I recommend that after a user has logged in you never trust a user name submitted by the browser . Ideally use the security services of a framework like Spring Security but in their absence you can rely on HttpServletRequest.getUserPrincipal() . To make sure the current session is allowed access the data you could use an Access Control List mechanism provided by a framework such as Spring Security or include a WHERE OWNER= ? clause in your database queries .	O V P D A N V P D N V , O V R V P O , V V N P D N R P D A N , & V R V P D A N V V V D N V P D A , A N V P D N O V O P D N V V P O R V D N N V P D N , R V D N N P D N P ^ N & P D N O V V P ^ , P V A D A N V V V D N O V V D ^ ^ ^ N V P D N R P ^ N & V D C C , N P D N N ,
If you're worried about someone seeing what was in a form in a previous page you could use a hidden form for the " real " post and use one that's just for display for the user . When the user submits the display form , you copy all of the fields to the hidden form , clear the display form , then submit the hidden one . I agree with everyone else - fiddling with the back button this is a bad way to handle protecting information .	P L A P O V O V P D N P D A N O V V D A N P D , A , N & V $ L R P N P D N , R D N V D N N , O N R P D N P D A N , V D N N , R V D A $ , O V P N R , V P D N N D V D A N P V V N ,
I'm not 100% sure this is a fix to your issue , as I don't fully understand how you would get another user's data using back . However , I know that for the web apps I develop I try to exclusively use Redirect After Post to avoid back button and refresh duplicate form submissions .	L R $ A O V D V P D N , P O V R V R O V V D S N V R , R , O V O P D N ^ O V O V P R V N P N P V T N & V A N N ,
Jeff Atwood described a way to prevent CSRF and XSRF attacks here . You could use this technique to solve your " users seeing what they should not see " problem .	^ ^ V D N P V ^ & ^ V R , O V V D N P V D , N V O O V R V , N ,
I'm not sure I understand your problem correctly , but it sounds like you are allowing rePOSTs . One approach to prevent resubmission is to use tokens . Put a random token in the form and session . On submission check that the submitted token matches the token in the session if it does , replace the token in the session with a fresh one and process the request otherwise stop processing the request ) .	L R A O V D N R , & O V P O V V ^ , $ N P V N V P V N , V D A N P D N & N , P N V P D V R V D N P D N P O V , V D N P D N P D A $ & N D N R V V D N , ,
All of the different browsers have different behaviors and quirks when it comes to how history relates to the cache and the various headers available to control it . Firefox 3 works differently from Firefox 2 , re-displaying potentially sensitive data when a user clicks the back button in spite of using caching directives to prevent it . The best solution is to use a session cookie that is not persisted and inform the user of the need to close the browser window after logging out . Especially if they are at a public terminal . Painful , I know , but current browser offerings and the HTTP specification do not provide any mechanisms for dealing with browser history . History may be treated differently than caching by a user agent according to the HTTP specification . See 13.13 History Lists as defined in RFC 2616 Hypertext Transfer Protocol -- HTTP / 1.1 for the problem and rationale .	X P D A N V A N & V R O V P R N V P D N & D A N A P N O , ^ $ V R P ^ $ , V R A N R D N V D N N P N P V V N P V O , D A N V P V D N N O V R V & V D N P D V P V D N N P V T , R P O V P D A N , A , O V , & A N N & D N N V R V D N P V P N N , ^ V V V R P V P D N N V P D N N , V ^ ^ ^ P V P ^ ^ ^ ^ ^ , ^ , $ P D N & N ,
I think this is as much a user interface challenge as a coding problem . On top of whatever anti-caching techniques you employ , you need to make it clear to the user that they must hit a big , obvious " Logout " button ( or equivalent ) when they are done .	O V D V R A D N N N P D N N , P A P D V N O V , O V P V O V P D N P O V V D A , A , N , N , & N , R O V V ,
if this might help . This works for ASP , use an equivalent solution for other languages . % response.buffer = true% > % Response.CacheControl = " no-cache " % > % Response.AddHeader " Pragma " , " no-cache " % > % Response.Expires = -1 % >	P D V N , D V P ^ , V D A N P A N , G C = C , , C = , C , C C C ^ , C , , , C , G G G ^ G G G G
Please see post below about equals sign ... ( what's with the 300 char limit on comments ? )	V V N P P V N , , L P D $ N N P V , E
I have found two solutions to this . Here is the first one . Add back in padding to Base64 encoded strings . Inspiration for this came from http://fi.am/entry/urlsafe-base64-encodingdecoding-in-two-lines In this solution , the JavaScript stays the same ( base64 encode everything ) and the server side looks like : On the JavaScript side , you just need to make sure you base64 encode the values :	O V V $ N P D , R V D A $ , V R P V P ^ A N , N P D V P U P D N , D ^ V D A , $ N N , & D N N V R , P D ^ N , O R V P V R O ^ P D N ,
The second solution is just to URLEncode the Base64 encoded string . I'm using commons codec to do the encoding here . Java Code : But now I have to decode it on the JavaScript side as well ... Encode : Decode :	D A N V R P ^ D ^ A N , L V N V P V D N R , ^ N , & R O V P N O P D ^ N P R , N , N ,
