Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Fri Aug 28 2015 21:01:33 GMT+0800 (China Standard Time),,s7w88,focus,
Fri Aug 28 2015 21:01:33 GMT+0800 (China Standard Time),,s7w89,focus,
Fri Aug 28 2015 21:01:33 GMT+0800 (China Standard Time),,s7w90,focus,
Fri Aug 28 2015 21:01:34 GMT+0800 (China Standard Time),,s7w91,focus,
Fri Aug 28 2015 21:01:34 GMT+0800 (China Standard Time),,s7w92,focus,
Fri Aug 28 2015 21:01:34 GMT+0800 (China Standard Time),,s7w93,focus,
Fri Aug 28 2015 21:01:34 GMT+0800 (China Standard Time),,s7w94,focus,
Fri Aug 28 2015 21:01:35 GMT+0800 (China Standard Time),,s7w95,focus,
Fri Aug 28 2015 21:01:35 GMT+0800 (China Standard Time),,s7w96,focus,
Fri Aug 28 2015 21:01:35 GMT+0800 (China Standard Time),,s7w97,focus,
Fri Aug 28 2015 21:01:36 GMT+0800 (China Standard Time),,s7w98,focus,
Fri Aug 28 2015 21:01:36 GMT+0800 (China Standard Time),,s7w99,focus,
Fri Aug 28 2015 21:01:36 GMT+0800 (China Standard Time),,s7w100,focus,
Fri Aug 28 2015 21:01:37 GMT+0800 (China Standard Time),,s7w101,focus,
Fri Aug 28 2015 21:01:37 GMT+0800 (China Standard Time),,s7w102,focus,
Fri Aug 28 2015 21:01:38 GMT+0800 (China Standard Time),,s8w1,focus,
Fri Aug 28 2015 21:01:39 GMT+0800 (China Standard Time),,s8w2,focus,
Fri Aug 28 2015 21:01:40 GMT+0800 (China Standard Time),,s8w3,focus,
Fri Aug 28 2015 21:01:40 GMT+0800 (China Standard Time),,s8w4,focus,
Fri Aug 28 2015 21:01:41 GMT+0800 (China Standard Time),,s8w5,focus,
Fri Aug 28 2015 21:01:43 GMT+0800 (China Standard Time),,s8w4,focus,
Fri Aug 28 2015 21:01:43 GMT+0800 (China Standard Time),,s8w4,focus,
Fri Aug 28 2015 21:01:44 GMT+0800 (China Standard Time),,s8w4,label,"A"
Fri Aug 28 2015 21:01:44 GMT+0800 (China Standard Time),,s8w5,focus,
Fri Aug 28 2015 21:01:45 GMT+0800 (China Standard Time),,s8w6,focus,
Fri Aug 28 2015 21:01:45 GMT+0800 (China Standard Time),,s8w7,focus,
Fri Aug 28 2015 21:01:46 GMT+0800 (China Standard Time),,s8w8,focus,
Fri Aug 28 2015 21:01:46 GMT+0800 (China Standard Time),,s8w9,focus,
Fri Aug 28 2015 21:01:46 GMT+0800 (China Standard Time),,s8w10,focus,
Fri Aug 28 2015 21:01:46 GMT+0800 (China Standard Time),,s8w11,focus,
Fri Aug 28 2015 21:01:47 GMT+0800 (China Standard Time),,s8w12,focus,
Fri Aug 28 2015 21:01:47 GMT+0800 (China Standard Time),,s8w13,focus,
Fri Aug 28 2015 21:01:47 GMT+0800 (China Standard Time),,s8w14,focus,
Fri Aug 28 2015 21:01:47 GMT+0800 (China Standard Time),,s8w15,focus,
Fri Aug 28 2015 21:01:48 GMT+0800 (China Standard Time),,s8w16,focus,
Fri Aug 28 2015 21:01:48 GMT+0800 (China Standard Time),,s8w17,focus,
Fri Aug 28 2015 21:01:48 GMT+0800 (China Standard Time),,s8w18,focus,
Fri Aug 28 2015 21:01:48 GMT+0800 (China Standard Time),,s8w19,focus,
Fri Aug 28 2015 21:01:50 GMT+0800 (China Standard Time),,s8w19,label,"^"
Fri Aug 28 2015 21:01:50 GMT+0800 (China Standard Time),,s8w20,focus,
Fri Aug 28 2015 21:01:50 GMT+0800 (China Standard Time),,s8w21,focus,
Fri Aug 28 2015 21:01:51 GMT+0800 (China Standard Time),,s8w22,focus,
Fri Aug 28 2015 21:01:52 GMT+0800 (China Standard Time),,s8w23,focus,
Fri Aug 28 2015 21:01:52 GMT+0800 (China Standard Time),,s8w24,focus,
Fri Aug 28 2015 21:01:52 GMT+0800 (China Standard Time),,s8w25,focus,
Fri Aug 28 2015 21:01:53 GMT+0800 (China Standard Time),,s8w26,focus,
Fri Aug 28 2015 21:01:53 GMT+0800 (China Standard Time),,s8w27,focus,
Fri Aug 28 2015 21:01:53 GMT+0800 (China Standard Time),,s8w28,focus,
Fri Aug 28 2015 21:01:54 GMT+0800 (China Standard Time),,s8w29,focus,
Fri Aug 28 2015 21:01:54 GMT+0800 (China Standard Time),,s8w30,focus,
Fri Aug 28 2015 21:01:55 GMT+0800 (China Standard Time),,s8w31,focus,
Fri Aug 28 2015 21:01:55 GMT+0800 (China Standard Time),,s8w32,focus,
Fri Aug 28 2015 21:01:56 GMT+0800 (China Standard Time),,s9w1,focus,
Fri Aug 28 2015 21:01:57 GMT+0800 (China Standard Time),,s9w2,focus,
Fri Aug 28 2015 21:01:57 GMT+0800 (China Standard Time),,s9w3,focus,
Fri Aug 28 2015 21:01:58 GMT+0800 (China Standard Time),,s9w3,label,"D"
Fri Aug 28 2015 21:01:58 GMT+0800 (China Standard Time),,s9w4,focus,
Fri Aug 28 2015 21:01:59 GMT+0800 (China Standard Time),,s9w5,focus,
Fri Aug 28 2015 21:02:00 GMT+0800 (China Standard Time),,s9w6,focus,
Fri Aug 28 2015 21:02:00 GMT+0800 (China Standard Time),,s9w7,focus,
Fri Aug 28 2015 21:02:01 GMT+0800 (China Standard Time),,s9w8,focus,
Fri Aug 28 2015 21:02:01 GMT+0800 (China Standard Time),,s9w9,focus,
Fri Aug 28 2015 21:02:01 GMT+0800 (China Standard Time),,s9w10,focus,
Fri Aug 28 2015 21:02:02 GMT+0800 (China Standard Time),,s9w11,focus,
Fri Aug 28 2015 21:02:02 GMT+0800 (China Standard Time),,s9w12,focus,
Fri Aug 28 2015 21:02:03 GMT+0800 (China Standard Time),,s9w13,focus,
Fri Aug 28 2015 21:02:03 GMT+0800 (China Standard Time),,s9w14,focus,
Fri Aug 28 2015 21:02:06 GMT+0800 (China Standard Time),,s9w13,focus,
Fri Aug 28 2015 21:02:06 GMT+0800 (China Standard Time),,s9w13,focus,
Fri Aug 28 2015 21:02:08 GMT+0800 (China Standard Time),,s9w13,label,"N"
Fri Aug 28 2015 21:02:12 GMT+0800 (China Standard Time),,s9w13,label,"^"
Fri Aug 28 2015 21:02:12 GMT+0800 (China Standard Time),,s9w14,focus,
Fri Aug 28 2015 21:02:13 GMT+0800 (China Standard Time),,s9w15,focus,
Fri Aug 28 2015 21:02:14 GMT+0800 (China Standard Time),,s9w16,focus,
Fri Aug 28 2015 21:02:14 GMT+0800 (China Standard Time),,s9w17,focus,
Fri Aug 28 2015 21:02:15 GMT+0800 (China Standard Time),,s9w18,focus,
Fri Aug 28 2015 21:02:15 GMT+0800 (China Standard Time),,s9w19,focus,
Fri Aug 28 2015 21:02:16 GMT+0800 (China Standard Time),,s9w20,focus,
Fri Aug 28 2015 21:02:16 GMT+0800 (China Standard Time),,s9w21,focus,
Fri Aug 28 2015 21:02:16 GMT+0800 (China Standard Time),,s9w22,focus,
Fri Aug 28 2015 21:02:16 GMT+0800 (China Standard Time),,s9w23,focus,
Fri Aug 28 2015 21:02:17 GMT+0800 (China Standard Time),,s9w24,focus,
Fri Aug 28 2015 21:02:17 GMT+0800 (China Standard Time),,s9w25,focus,
Fri Aug 28 2015 21:02:18 GMT+0800 (China Standard Time),,s9w26,focus,
Fri Aug 28 2015 21:02:18 GMT+0800 (China Standard Time),,s9w27,focus,
Fri Aug 28 2015 21:02:19 GMT+0800 (China Standard Time),,s10w1,focus,
Fri Aug 28 2015 21:02:20 GMT+0800 (China Standard Time),,s10w2,focus,
Fri Aug 28 2015 21:02:20 GMT+0800 (China Standard Time),,s10w3,focus,
Fri Aug 28 2015 21:02:20 GMT+0800 (China Standard Time),,s10w4,focus,
Fri Aug 28 2015 21:02:20 GMT+0800 (China Standard Time),,s10w5,focus,
Fri Aug 28 2015 21:02:21 GMT+0800 (China Standard Time),,s10w6,focus,
Fri Aug 28 2015 21:02:21 GMT+0800 (China Standard Time),,s10w7,focus,
Fri Aug 28 2015 21:02:21 GMT+0800 (China Standard Time),,s10w8,focus,
Fri Aug 28 2015 21:02:22 GMT+0800 (China Standard Time),,s10w9,focus,
Fri Aug 28 2015 21:02:22 GMT+0800 (China Standard Time),,s10w10,focus,
Fri Aug 28 2015 21:02:22 GMT+0800 (China Standard Time),,s10w11,focus,
Fri Aug 28 2015 21:02:23 GMT+0800 (China Standard Time),,s10w12,focus,
Fri Aug 28 2015 21:02:23 GMT+0800 (China Standard Time),,s10w13,focus,
Fri Aug 28 2015 21:02:23 GMT+0800 (China Standard Time),,s10w14,focus,
Fri Aug 28 2015 21:02:24 GMT+0800 (China Standard Time),,s10w15,focus,
Fri Aug 28 2015 21:02:24 GMT+0800 (China Standard Time),,s11w1,focus,
Fri Aug 28 2015 21:02:25 GMT+0800 (China Standard Time),,s11w2,focus,
Fri Aug 28 2015 21:02:25 GMT+0800 (China Standard Time),,s11w3,focus,
Fri Aug 28 2015 21:02:25 GMT+0800 (China Standard Time),,s11w4,focus,
Fri Aug 28 2015 21:02:25 GMT+0800 (China Standard Time),,s11w5,focus,
Fri Aug 28 2015 21:02:26 GMT+0800 (China Standard Time),,s11w6,focus,
Fri Aug 28 2015 21:02:26 GMT+0800 (China Standard Time),,s11w7,focus,
Fri Aug 28 2015 21:02:26 GMT+0800 (China Standard Time),,s11w8,focus,
Fri Aug 28 2015 21:02:27 GMT+0800 (China Standard Time),,s11w9,focus,
Fri Aug 28 2015 21:02:27 GMT+0800 (China Standard Time),,s11w10,focus,
Fri Aug 28 2015 21:02:28 GMT+0800 (China Standard Time),,s11w11,focus,
Fri Aug 28 2015 21:02:29 GMT+0800 (China Standard Time),,s11w12,focus,
Fri Aug 28 2015 21:02:29 GMT+0800 (China Standard Time),,s11w13,focus,
Fri Aug 28 2015 21:02:30 GMT+0800 (China Standard Time),,s11w14,focus,
Fri Aug 28 2015 21:02:30 GMT+0800 (China Standard Time),,s11w15,focus,
Fri Aug 28 2015 21:02:30 GMT+0800 (China Standard Time),,s11w16,focus,
Fri Aug 28 2015 21:02:31 GMT+0800 (China Standard Time),,s11w17,focus,
Fri Aug 28 2015 21:02:31 GMT+0800 (China Standard Time),,s11w18,focus,
Fri Aug 28 2015 21:02:31 GMT+0800 (China Standard Time),,s11w19,focus,
Fri Aug 28 2015 21:02:32 GMT+0800 (China Standard Time),,s11w20,focus,
Fri Aug 28 2015 21:02:32 GMT+0800 (China Standard Time),,s11w21,focus,
Fri Aug 28 2015 21:02:33 GMT+0800 (China Standard Time),,s11w22,focus,
Fri Aug 28 2015 21:02:33 GMT+0800 (China Standard Time),,s11w23,focus,
Fri Aug 28 2015 21:02:33 GMT+0800 (China Standard Time),,s11w24,focus,
Fri Aug 28 2015 21:02:34 GMT+0800 (China Standard Time),,s11w25,focus,
Fri Aug 28 2015 21:02:34 GMT+0800 (China Standard Time),,s11w26,focus,
Fri Aug 28 2015 21:02:34 GMT+0800 (China Standard Time),,s11w27,focus,
Fri Aug 28 2015 21:02:34 GMT+0800 (China Standard Time),,s11w28,focus,
Fri Aug 28 2015 21:02:35 GMT+0800 (China Standard Time),,s11w29,focus,
Fri Aug 28 2015 21:02:35 GMT+0800 (China Standard Time),,s11w30,focus,
Fri Aug 28 2015 21:02:35 GMT+0800 (China Standard Time),,s11w31,focus,
Fri Aug 28 2015 21:02:36 GMT+0800 (China Standard Time),,s11w32,focus,
Fri Aug 28 2015 21:02:36 GMT+0800 (China Standard Time),,s11w33,focus,
Fri Aug 28 2015 21:02:38 GMT+0800 (China Standard Time),,s11w33,label,"^"
Fri Aug 28 2015 21:02:38 GMT+0800 (China Standard Time),,s11w34,focus,
Fri Aug 28 2015 21:02:38 GMT+0800 (China Standard Time),,s11w35,focus,
Fri Aug 28 2015 21:02:39 GMT+0800 (China Standard Time),,s11w36,focus,
Fri Aug 28 2015 21:02:39 GMT+0800 (China Standard Time),,s11w37,focus,
Fri Aug 28 2015 21:02:39 GMT+0800 (China Standard Time),,s11w38,focus,
Fri Aug 28 2015 21:02:40 GMT+0800 (China Standard Time),,s11w39,focus,
Fri Aug 28 2015 21:02:40 GMT+0800 (China Standard Time),,s11w40,focus,
Fri Aug 28 2015 21:02:40 GMT+0800 (China Standard Time),,s11w41,focus,
Fri Aug 28 2015 21:02:41 GMT+0800 (China Standard Time),,s11w42,focus,
Fri Aug 28 2015 21:02:41 GMT+0800 (China Standard Time),,s11w43,focus,
Fri Aug 28 2015 21:02:41 GMT+0800 (China Standard Time),,s11w44,focus,
Fri Aug 28 2015 21:02:42 GMT+0800 (China Standard Time),,s11w44,label,"^"
Fri Aug 28 2015 21:02:42 GMT+0800 (China Standard Time),,s11w45,focus,
Fri Aug 28 2015 21:02:43 GMT+0800 (China Standard Time),,s11w46,focus,
Fri Aug 28 2015 21:02:43 GMT+0800 (China Standard Time),,s11w47,focus,
Fri Aug 28 2015 21:02:44 GMT+0800 (China Standard Time),,s11w48,focus,
Fri Aug 28 2015 21:02:45 GMT+0800 (China Standard Time),,s11w49,focus,
Fri Aug 28 2015 21:02:46 GMT+0800 (China Standard Time),,s12w1,focus,
Fri Aug 28 2015 21:02:47 GMT+0800 (China Standard Time),,s12w2,focus,
Fri Aug 28 2015 21:02:47 GMT+0800 (China Standard Time),,s12w3,focus,
Fri Aug 28 2015 21:02:47 GMT+0800 (China Standard Time),,s13w1,focus,
Fri Aug 28 2015 21:02:48 GMT+0800 (China Standard Time),,s13w2,focus,
Fri Aug 28 2015 21:02:48 GMT+0800 (China Standard Time),,s13w3,focus,
Fri Aug 28 2015 21:02:49 GMT+0800 (China Standard Time),,s13w4,focus,
Fri Aug 28 2015 21:02:49 GMT+0800 (China Standard Time),,s13w5,focus,
Fri Aug 28 2015 21:02:49 GMT+0800 (China Standard Time),,s13w6,focus,
Fri Aug 28 2015 21:02:50 GMT+0800 (China Standard Time),,s13w7,focus,
Fri Aug 28 2015 21:02:50 GMT+0800 (China Standard Time),,s13w8,focus,
Fri Aug 28 2015 21:02:51 GMT+0800 (China Standard Time),,s13w9,focus,
Fri Aug 28 2015 21:02:51 GMT+0800 (China Standard Time),,s13w10,focus,
Fri Aug 28 2015 21:02:51 GMT+0800 (China Standard Time),,s13w11,focus,
Fri Aug 28 2015 21:02:52 GMT+0800 (China Standard Time),,s13w12,focus,
Fri Aug 28 2015 21:02:52 GMT+0800 (China Standard Time),,s13w13,focus,
Fri Aug 28 2015 21:02:52 GMT+0800 (China Standard Time),,s13w14,focus,
Fri Aug 28 2015 21:02:53 GMT+0800 (China Standard Time),,s13w15,focus,
Fri Aug 28 2015 21:02:55 GMT+0800 (China Standard Time),,s13w16,focus,
Fri Aug 28 2015 21:02:55 GMT+0800 (China Standard Time),,s13w17,focus,
Fri Aug 28 2015 21:02:56 GMT+0800 (China Standard Time),,s13w18,focus,
Fri Aug 28 2015 21:02:56 GMT+0800 (China Standard Time),,s13w19,focus,
Fri Aug 28 2015 21:02:56 GMT+0800 (China Standard Time),,s13w20,focus,
Fri Aug 28 2015 21:02:56 GMT+0800 (China Standard Time),,s13w21,focus,
Fri Aug 28 2015 21:02:57 GMT+0800 (China Standard Time),,s13w22,focus,
Fri Aug 28 2015 21:02:57 GMT+0800 (China Standard Time),,s13w23,focus,
Fri Aug 28 2015 21:02:57 GMT+0800 (China Standard Time),,s13w24,focus,
Fri Aug 28 2015 21:02:58 GMT+0800 (China Standard Time),,s13w25,focus,
Fri Aug 28 2015 21:02:58 GMT+0800 (China Standard Time),,s13w26,focus,
Fri Aug 28 2015 21:02:59 GMT+0800 (China Standard Time),,s13w27,focus,
Fri Aug 28 2015 21:03:01 GMT+0800 (China Standard Time),,s13w28,focus,
Fri Aug 28 2015 21:03:04 GMT+0800 (China Standard Time),,s13w28,label,"G"
Fri Aug 28 2015 21:03:04 GMT+0800 (China Standard Time),,s13w29,focus,
Fri Aug 28 2015 21:03:05 GMT+0800 (China Standard Time),,s13w30,focus,
Fri Aug 28 2015 21:03:05 GMT+0800 (China Standard Time),,s13w31,focus,
Fri Aug 28 2015 21:03:05 GMT+0800 (China Standard Time),,s13w32,focus,
Fri Aug 28 2015 21:03:06 GMT+0800 (China Standard Time),,s13w33,focus,
Fri Aug 28 2015 21:03:07 GMT+0800 (China Standard Time),,s14w1,focus,
Fri Aug 28 2015 21:03:07 GMT+0800 (China Standard Time),,s14w2,focus,
Fri Aug 28 2015 21:03:08 GMT+0800 (China Standard Time),,s14w3,focus,
Fri Aug 28 2015 21:03:08 GMT+0800 (China Standard Time),,s14w4,focus,
Fri Aug 28 2015 21:03:08 GMT+0800 (China Standard Time),,s14w5,focus,
Fri Aug 28 2015 21:03:08 GMT+0800 (China Standard Time),,s14w6,focus,
Fri Aug 28 2015 21:03:09 GMT+0800 (China Standard Time),,s14w7,focus,
Fri Aug 28 2015 21:03:09 GMT+0800 (China Standard Time),,s14w8,focus,
Fri Aug 28 2015 21:03:09 GMT+0800 (China Standard Time),,s14w9,focus,
Fri Aug 28 2015 21:03:09 GMT+0800 (China Standard Time),,s14w10,focus,
Fri Aug 28 2015 21:03:11 GMT+0800 (China Standard Time),,s14w11,focus,
Fri Aug 28 2015 21:03:12 GMT+0800 (China Standard Time),,s14w12,focus,
Fri Aug 28 2015 21:03:12 GMT+0800 (China Standard Time),,s14w13,focus,
Fri Aug 28 2015 21:03:12 GMT+0800 (China Standard Time),,s14w14,focus,
Fri Aug 28 2015 21:03:13 GMT+0800 (China Standard Time),,s14w15,focus,
Fri Aug 28 2015 21:03:13 GMT+0800 (China Standard Time),,s14w16,focus,
Fri Aug 28 2015 21:03:14 GMT+0800 (China Standard Time),,s14w17,focus,
Fri Aug 28 2015 21:03:14 GMT+0800 (China Standard Time),,s14w18,focus,
Fri Aug 28 2015 21:03:14 GMT+0800 (China Standard Time),,s14w19,focus,
Fri Aug 28 2015 21:03:14 GMT+0800 (China Standard Time),,s14w20,focus,
Fri Aug 28 2015 21:03:15 GMT+0800 (China Standard Time),,s14w21,focus,
Fri Aug 28 2015 21:03:15 GMT+0800 (China Standard Time),,s14w22,focus,
Fri Aug 28 2015 21:03:15 GMT+0800 (China Standard Time),,s14w23,focus,
Fri Aug 28 2015 21:03:15 GMT+0800 (China Standard Time),,s14w24,focus,
Fri Aug 28 2015 21:03:16 GMT+0800 (China Standard Time),,s14w25,focus,
Fri Aug 28 2015 21:03:16 GMT+0800 (China Standard Time),,s14w26,focus,
Fri Aug 28 2015 21:03:16 GMT+0800 (China Standard Time),,s14w27,focus,
Fri Aug 28 2015 21:03:17 GMT+0800 (China Standard Time),,s14w27,label,"^"
Fri Aug 28 2015 21:03:18 GMT+0800 (China Standard Time),,s14w28,focus,
Fri Aug 28 2015 21:03:18 GMT+0800 (China Standard Time),,s14w29,focus,
Fri Aug 28 2015 21:03:18 GMT+0800 (China Standard Time),,s14w30,focus,
Fri Aug 28 2015 21:03:19 GMT+0800 (China Standard Time),,s14w31,focus,
Fri Aug 28 2015 21:03:19 GMT+0800 (China Standard Time),,s14w32,focus,
Fri Aug 28 2015 21:03:19 GMT+0800 (China Standard Time),,s14w33,focus,
Fri Aug 28 2015 21:03:20 GMT+0800 (China Standard Time),,s14w34,focus,
Fri Aug 28 2015 21:03:20 GMT+0800 (China Standard Time),,s14w35,focus,
Fri Aug 28 2015 21:03:22 GMT+0800 (China Standard Time),,s14w36,focus,
Fri Aug 28 2015 21:03:22 GMT+0800 (China Standard Time),,s14w37,focus,
Fri Aug 28 2015 21:03:23 GMT+0800 (China Standard Time),,s14w38,focus,
Fri Aug 28 2015 21:03:23 GMT+0800 (China Standard Time),,s14w39,focus,
Fri Aug 28 2015 21:03:24 GMT+0800 (China Standard Time),,s14w40,focus,
Fri Aug 28 2015 21:03:24 GMT+0800 (China Standard Time),,s14w41,focus,
Fri Aug 28 2015 21:03:24 GMT+0800 (China Standard Time),,s14w42,focus,
Fri Aug 28 2015 21:03:25 GMT+0800 (China Standard Time),,s14w43,focus,
Fri Aug 28 2015 21:03:26 GMT+0800 (China Standard Time),,s14w44,focus,
Fri Aug 28 2015 21:03:26 GMT+0800 (China Standard Time),,s14w45,focus,
Fri Aug 28 2015 21:03:28 GMT+0800 (China Standard Time),,s14w45,label,"N"
Fri Aug 28 2015 21:03:28 GMT+0800 (China Standard Time),,s14w46,focus,
Fri Aug 28 2015 21:03:30 GMT+0800 (China Standard Time),,s14w46,label,","
Fri Aug 28 2015 21:03:31 GMT+0800 (China Standard Time),,s14w47,focus,
Fri Aug 28 2015 21:03:45 GMT+0800 (China Standard Time),,s14w47,label,"D"
Fri Aug 28 2015 21:03:55 GMT+0800 (China Standard Time),,s14w48,focus,
Fri Aug 28 2015 21:03:59 GMT+0800 (China Standard Time),,s14w48,label,"N"
Fri Aug 28 2015 21:03:59 GMT+0800 (China Standard Time),,s14w49,focus,
Fri Aug 28 2015 21:04:00 GMT+0800 (China Standard Time),,s14w49,label,"="
Fri Aug 28 2015 21:04:00 GMT+0800 (China Standard Time),,s14w50,focus,
Fri Aug 28 2015 21:04:01 GMT+0800 (China Standard Time),,s14w51,focus,
Fri Aug 28 2015 21:04:01 GMT+0800 (China Standard Time),,s14w52,focus,
Fri Aug 28 2015 21:04:02 GMT+0800 (China Standard Time),,s14w53,focus,
Fri Aug 28 2015 21:04:02 GMT+0800 (China Standard Time),,s14w54,focus,
Fri Aug 28 2015 21:04:02 GMT+0800 (China Standard Time),,s14w55,focus,
Fri Aug 28 2015 21:04:03 GMT+0800 (China Standard Time),,s14w56,focus,
Fri Aug 28 2015 21:04:03 GMT+0800 (China Standard Time),,s14w57,focus,
Fri Aug 28 2015 21:04:03 GMT+0800 (China Standard Time),,s14w58,focus,
Fri Aug 28 2015 21:04:03 GMT+0800 (China Standard Time),,s14w59,focus,
Fri Aug 28 2015 21:04:04 GMT+0800 (China Standard Time),,s15w1,focus,
Fri Aug 28 2015 21:04:06 GMT+0800 (China Standard Time),,s15w1,label,"D"
Fri Aug 28 2015 21:04:07 GMT+0800 (China Standard Time),,s15w2,focus,
Fri Aug 28 2015 21:04:08 GMT+0800 (China Standard Time),,s15w3,focus,
Fri Aug 28 2015 21:04:08 GMT+0800 (China Standard Time),,s15w4,focus,
Fri Aug 28 2015 21:04:09 GMT+0800 (China Standard Time),,s15w5,focus,
Fri Aug 28 2015 21:04:09 GMT+0800 (China Standard Time),,s15w6,focus,
Fri Aug 28 2015 21:04:09 GMT+0800 (China Standard Time),,s15w7,focus,
Fri Aug 28 2015 21:04:10 GMT+0800 (China Standard Time),,s15w8,focus,
Fri Aug 28 2015 21:04:10 GMT+0800 (China Standard Time),,s15w9,focus,
Fri Aug 28 2015 21:04:10 GMT+0800 (China Standard Time),,s15w10,focus,
Fri Aug 28 2015 21:04:10 GMT+0800 (China Standard Time),,s15w11,focus,
Fri Aug 28 2015 21:04:11 GMT+0800 (China Standard Time),,s15w12,focus,
Fri Aug 28 2015 21:04:11 GMT+0800 (China Standard Time),,s15w13,focus,
Fri Aug 28 2015 21:04:13 GMT+0800 (China Standard Time),,s15w12,focus,
Fri Aug 28 2015 21:04:13 GMT+0800 (China Standard Time),,s15w12,focus,
Fri Aug 28 2015 21:04:16 GMT+0800 (China Standard Time),,s15w12,label,"$"
Fri Aug 28 2015 21:04:17 GMT+0800 (China Standard Time),,s15w13,focus,
Fri Aug 28 2015 21:04:18 GMT+0800 (China Standard Time),,s15w14,focus,
Fri Aug 28 2015 21:04:18 GMT+0800 (China Standard Time),,s15w15,focus,
Fri Aug 28 2015 21:04:19 GMT+0800 (China Standard Time),,s15w16,focus,
Fri Aug 28 2015 21:04:19 GMT+0800 (China Standard Time),,s15w17,focus,
Fri Aug 28 2015 21:04:20 GMT+0800 (China Standard Time),,s15w18,focus,
Fri Aug 28 2015 21:04:20 GMT+0800 (China Standard Time),,s15w19,focus,
Fri Aug 28 2015 21:04:21 GMT+0800 (China Standard Time),,s15w20,focus,
Fri Aug 28 2015 21:04:21 GMT+0800 (China Standard Time),,s15w21,focus,
Fri Aug 28 2015 21:04:21 GMT+0800 (China Standard Time),,s15w22,focus,
Fri Aug 28 2015 21:04:22 GMT+0800 (China Standard Time),,s15w23,focus,
Fri Aug 28 2015 21:04:22 GMT+0800 (China Standard Time),,s15w24,focus,
Fri Aug 28 2015 21:04:23 GMT+0800 (China Standard Time),,s15w25,focus,
Fri Aug 28 2015 21:04:24 GMT+0800 (China Standard Time),,s15w26,focus,
Fri Aug 28 2015 21:04:26 GMT+0800 (China Standard Time),,s15w27,focus,
Fri Aug 28 2015 21:04:27 GMT+0800 (China Standard Time),,s15w28,focus,
Fri Aug 28 2015 21:04:28 GMT+0800 (China Standard Time),,s15w29,focus,
Fri Aug 28 2015 21:04:29 GMT+0800 (China Standard Time),,s15w29,label,"^"
Fri Aug 28 2015 21:04:30 GMT+0800 (China Standard Time),,s15w30,focus,
Fri Aug 28 2015 21:04:30 GMT+0800 (China Standard Time),,s15w31,focus,
Fri Aug 28 2015 21:04:31 GMT+0800 (China Standard Time),,s15w32,focus,
Fri Aug 28 2015 21:04:31 GMT+0800 (China Standard Time),,s15w33,focus,
Fri Aug 28 2015 21:04:32 GMT+0800 (China Standard Time),,s15w34,focus,
Fri Aug 28 2015 21:04:32 GMT+0800 (China Standard Time),,s15w35,focus,
Fri Aug 28 2015 21:04:33 GMT+0800 (China Standard Time),,s15w36,focus,
Fri Aug 28 2015 21:04:34 GMT+0800 (China Standard Time),,s15w36,label,"U"
Fri Aug 28 2015 21:04:34 GMT+0800 (China Standard Time),,s15w37,focus,
Fri Aug 28 2015 21:04:36 GMT+0800 (China Standard Time),,s15w38,focus,
Fri Aug 28 2015 21:04:37 GMT+0800 (China Standard Time),,s15w39,focus,
Fri Aug 28 2015 21:04:37 GMT+0800 (China Standard Time),,s15w40,focus,
Fri Aug 28 2015 21:04:37 GMT+0800 (China Standard Time),,s15w41,focus,
Fri Aug 28 2015 21:04:38 GMT+0800 (China Standard Time),,s15w42,focus,
Fri Aug 28 2015 21:04:38 GMT+0800 (China Standard Time),,s15w43,focus,
Fri Aug 28 2015 21:04:38 GMT+0800 (China Standard Time),,s15w44,focus,
Fri Aug 28 2015 21:04:39 GMT+0800 (China Standard Time),,s15w45,focus,
Fri Aug 28 2015 21:04:39 GMT+0800 (China Standard Time),,s15w46,focus,
Fri Aug 28 2015 21:04:39 GMT+0800 (China Standard Time),,s15w47,focus,
Fri Aug 28 2015 21:04:40 GMT+0800 (China Standard Time),,s15w48,focus,
Fri Aug 28 2015 21:04:40 GMT+0800 (China Standard Time),,s15w49,focus,
Fri Aug 28 2015 21:04:40 GMT+0800 (China Standard Time),,s15w50,focus,
Fri Aug 28 2015 21:04:40 GMT+0800 (China Standard Time),,s15w51,focus,
Fri Aug 28 2015 21:04:41 GMT+0800 (China Standard Time),,s15w52,focus,
Fri Aug 28 2015 21:04:41 GMT+0800 (China Standard Time),,s15w53,focus,
Fri Aug 28 2015 21:04:41 GMT+0800 (China Standard Time),,s15w54,focus,
Fri Aug 28 2015 21:04:41 GMT+0800 (China Standard Time),,s15w55,focus,
Fri Aug 28 2015 21:04:42 GMT+0800 (China Standard Time),,s15w56,focus,
Fri Aug 28 2015 21:04:42 GMT+0800 (China Standard Time),,s15w57,focus,
Fri Aug 28 2015 21:04:42 GMT+0800 (China Standard Time),,s15w58,focus,
Fri Aug 28 2015 21:04:42 GMT+0800 (China Standard Time),,s15w59,focus,
Fri Aug 28 2015 21:04:43 GMT+0800 (China Standard Time),,s15w60,focus,
Fri Aug 28 2015 21:04:43 GMT+0800 (China Standard Time),,s15w61,focus,
Fri Aug 28 2015 21:04:49 GMT+0800 (China Standard Time),,s15w60,focus,
Fri Aug 28 2015 21:04:49 GMT+0800 (China Standard Time),,s15w60,focus,
