TextMate equivalent to gVim Ctrl+P	^ V P ^ G
Although I didn't think the way in which you formulated your question deserved it ( no details , no background , no example problem statement , implied susceptability to injection , etc ) , I dug up some details from the Excellent Wicket in Action : Wicket is secure by default You never need to worry about pimple-faced 14-year-olds trying to hack your web application . To do so , they would have to hijack the session and then guess the right page identifiers and version numbers , which would be relative to the session and the relevant component paths . You d have to be a persistent hacker to pull that off . You can make your Wicket application even more secure from the default by encrypting requests with , for instance , CryptedUrlWebRequestCodingStrategy .	P O V V D N P D O V D N V O , R N , R N , R N N N , A N P N , G , , O V T D N P D A N P N , N V A P N O R V P V P A A V P V D N N , P V R , O V V P V D N & R V D A N N & N N , O V V A P D N & D A N N , O G V P V D A N P V D T , O V V D N N R R A P D N P V N P , P N , ^ ,
All Wicket components escape strings by default ( by Labels , TextFields , etc . ) , which avoids most common issues related to javascript injection . You should take appropriate care , though , if you disable this behavior ( component.setEscapeModelStrings ( false ) ) for some reason , or create custom-rendered components ( if you write the markup directly to the output ) .	D N N V N P N , P N , ^ , G , , , O V A A N V P ^ N , O V V A N , P , P O V D N , ^ , A , , P A N , & V A N , P O V D N R P D N , ,
render complex org chart similar javascript / flash / java graphic library	V A N N A ^ , N , ^ A N
i am looking for javascript / flash / java graphic lib . that able to render nicely a very complex relationship where one node is relate to another node etc . for example a --> b ---> c b --> d , e , f any recommandation library ?	O V V P ^ , N , ^ A N , D A P V R D R A N R $ N V V P A N G , P N D G G G G G G G , N , G A N N ,
So essentially you are looking for recommendations for a graph visualization library for Javascript , Flash , or Java ?	P R O V V P N P D N N N P ^ , N , & ^ ,
yes.i am looking for graph visualization lib	O V V P N N N
what a cooincidence , I was just looking into this myself . I found this : http://www.ryandesign.com/canviz http://code.google.com/p/canviz /	O D N , O V R V P D O , O V D ~ U U ,
Prefuse is very cool and Java based . Demo here .	N V R A & ^ V , N R ,
This is the one I use for Organizational chart http://code.google.com/apis/visualization/documentation/gallery/orgchart.html	D V D $ O V P A N U
The Graphviz open source graph visualization software is widely used to render graphs , and jGraphviz is a binding for java .	D ^ A N N N N V R V P V N , & ^ V D N P ^ ,
focusing the text field	V D N N
How to focus the calender after selecting the date from calender .. I am selecting the date and calender is also closing but after that focus is missing . Please help me on this issue .. Regards Sk	R P V D N P V D N P N , O V V D N & N V R V & P O N V V , ! V O P D N , N G
which calender ?	D N ,
java or javascript ?	^ & ^ ,
It seriously depends on the calendar implementation you use . If the calendar is drown by Java tag try to seek the onchange attribute and set it to :	O R V P D N N O V , P D N V V P ^ N V P V D N N & V O P ,
This appears to be JavaScript code , not Java .	D V P V ^ N , R ^ ,
Do Applet JSObject javascript calls serialize ?	V N ^ ^ V N ,
Do applet javascript calls serialize in any proper way ? I'm considering implementing a model in which two threads send off javascript commands . One responds to requests from the browser ( js ) , and the other hits the browser periodically . My question is this : what happens if these two javascript requests collide ? I'm worried about concurrent javascript requests , as intuition leads me to believe that one of the calls will fail nondeterministically .	V N ^ V N P D A N , L V V D N P D $ N V T ^ N , O V P N P D N , ^ , , & D A V D N R , D N V D , O V P D $ ^ N V , L A P A ^ N , P N V O P V D $ P D N V V R ,
Javascript is single-threaded . Only one block of code can be executing at any given time ; any other event , method , etc . that fires will wait until the currently executing code terminates . Google Chrome's javascript engine may be an exception - I recall them mentioning some kind of multi-threaded javascript support in their features , but I'm unsure how it works . In IE 6 , the browser UI will actually become unresponsive while JS code is running ( if you stop at a breakpoint with keyword ' debugger ' , or have IE set to debug , for example ) .	^ V A , R $ N P N V V V P D V N , D A N , N , G , O V V V P D R V N V , ^ Z A N V V D N , O V O V D N P A ^ N P D N , & L A R O V , P ^ $ , D N N V R V A P ^ N V V , P O V P D N P N , N , , & V ^ V P V , P N , ,
Serialize ? Do you mean synchronize ? JSObject works by passing primitives to a single JSContext JNI NPAPI wrapper which acts on the DOM in the underlying browser implementation . Are you referring to the passing of primitives through JNI ? I don't know much about how chrome's JS engine works , but I assume that since the liveconnect NPAPI in chrome is the same as the others , the ability to write multithreaded javascript has nothing to do with multithreaded JSObject access . The affected code extends the same abstract JSObject class that firefox uses . There are several implementations of JSObject / liveconnect -- a few for netscape / firefox and one for ie ( ocx ) . All behave differently as far as multiple threads go . DOM access isn't threadsafe in general as far as liveconnect is concerned . So , officially , multiple threads accessing the DOM is undefined . If you manage to actually access the DOM through something other than code scoped in DOMService.run() , you'll get crazy deadlocks and race conditions . So , basically , you need all of your java threads to post all DOMActions to your DOM access dispatch thread only .	V , V O V V , ^ V P V N P D A ^ ^ ^ N D V P D ^ P D A N N , V O V P D V P N P ^ , O V V R P R Z ^ N V , & O V O P D N ^ P N V D A P D N , D N P V A N V N P V P A ^ N , D A N V D A A N N P ^ V , X V A N P ^ , N , D A P ^ , ^ & $ P ^ , G , , X V R R R R A N V , ^ N V A P A P R P N V A , P , R , A N V D ^ V A , P O V P R V D ^ P N R P N N P ^ , L V A N & N N , P , R , O V R P D N N P V D ^ P D ^ N N N R ,
Display a javascript / css tooltip within a @For loop with Tapestry 4.0 . V D N , ^ N P D @ N P ^ $ , $
I'm not at all familiar with Tapestry 4.0 . 1 and need to update a legacy application to display a formatted tooltip for a few links within a @For loop . What is the easiest / best way to go about accomplishing this ? Should I be using the @Script component or is there a simpler way ? By the way , upgrading to a newer version of Tapestry is out of the question . Unfortunate , yes , but out of my control . Thanks in advance for your help . Carl	L R P X A P ^ $ , $ & V P V D N N P ^ D A N P D A N P D @ N , O V D A , A N P V P V D , V O V V D @ N & V R D A N , P D N , V P D A N P ^ V T P D N , N , ! , & R P D N , N P N P D N , ^
Maybe the better question would be : How do I pass a value to an inline function call ? I've written a small function to show the tip , but I need to pass the message to it like so : AdUnit Predicate So , how do I pass the message in ?	R D A N V V , R V O V D N P D A N N , L V D A N P V D N , & O V P V D N P O V R , ^ V P , R V O V D N P ,
After posting my question , I managed to come up with a rather hacky ( crappy ? ) solution . Can't say it's my proudest moment as a engineer , but it works . * * Some code omitted to protect the innocent .	P V D N , O V P V T P D R A , N , , N , V V L D A N P D N , & O V , , , A N V P V D A ,
IIRC , using the dom to update the structure is preferred to a straight document.write ( ... ) CMA : There was something along the lines of DOM / document.write posted here on SO a while ago	^ , V D ^ P V D N V V P D A ^ , , , ^ , X V N P D N P ^ , ^ V R P P D N R
Use the @Any component . For your example , substitute MYTOOLTIP with whatever object is holding the message :	V D @ N , P D N , V N P R N V V D N ,
How can I define static properties for Rhino's ScriptableObject ?	R V O V A N P ^ ^ ,
Rhino provides Scriptable interface and ScriptableObject helper class to implement a javascript object backed by a java object . When ScriptableObject is constructed , its methods with names starting with jsFunction___ , jsStaticFunction___ , jsGet___ , jsSet___ , jsConstructor are automatically defined for the javascript object . This way you can defined funations , static frunctions , instance properties ( by its accessors ) , and constructor . The question is how to define static properties ? By static properties I mean properties on the constructor , like static methods are methods on the constructor . The only way I see for now is to use finishInit method , and define static properties manually . But what is the right way ?	^ V ^ N & ^ N N P V D ^ N V P D ^ N , R ^ V V , L N P N V P G , G , G , G , ^ V R A P D ^ N , D N O V V N , A N , N N , P D N , , & N , D N V R P V A N , P A N O V N P D N , R A N V N P D N , D A N O V P R V P V A N , & V A N R , & O V D A N ,
Currently I have something like this on my mind : Are there other ways ? And is this way correct ? IMPORTANT : Note that constructor for MyObject is not yet defined in scope , when finishInit is called . In order to define static properties , which are instances of MyObject , use the following syntax :	R O V N P D P D N , V X A N , & V D N A , A , V D N P ^ V R R V P N , R N V V , P N P V A N , O V N P ^ , V D N N ,
md5 hash for password string in GWT / GWT-Ext ?	^ N P N N P ^ , ^ ,
I am currently trying to modify an existing GWT-Ext application , that is using plain text passwords in its MySql database . My plan was to use md5 hashes , as the existing passwords can be easily altered with the MySql function and I was expecting to find an easy solution for the GWT-Ext side as well . But as I found out , java.security is not supported by GWT and there doesn't seem to be any other implementation that can be used to change the password string to a md5 hash on client side . Only " solution " I found so far , is to re implement a md5 method via JSNI as described here : http://groups.google.com/group/Google-Web-Toolkit/browse_thread/thread/ad09475a9944c9f8 There is an existing user extension for Ext-JS , but I couldn't find anything for GWT-Ext : http://extjs.com/forum/showthread.php?p=133516 Does anybody know a more elegant / simple way to solve this problem ? Maybe I should use something else instead of md5 to make sure the passwords are encrypted ? Cheers Frank	O V R V P V D A ^ N , O V V A N N P D ^ N , D N V P V ^ N , P D A N V V R A P D ^ N & O V V P V D A N P D ^ N P R , & P O V T , ^ V R V P ^ & R V V P V R A N P V V V P V D N N P D ^ N P N N , R , N , O V R R , V P G V D ^ N P ^ P V R , U X V D A N N P ^ , & O V V N P ^ , U V O V D R A , A N P V D N , R O V V N R R P ^ P V A D N V V , N ^
Personally , I would say you're doing it wrong . I wouldn't hash a password on the client side ( which is what GWT is ) . If you hash your password , you will undoubtedly want to salt it , otherwise you will be susceptible to rainbow attacks . If you hash + salt it on the client side , your salt will be accessible to your users . If I were you , I would hash + salt your password on the server side . This will allow you to use your standard Java code to perform your MD5 hash . My 2 cents . -JP	R , O V V L V O R , O V V D N P D N N , O V O ^ V , , P O V D N , O V R V P V O , R O V V A P N N , P O V G N O P D N N , D N V V A P D N , P O V O , O V V G N D N P D N N , D V V O P V D A ^ N P V D ^ N , D $ N , G
Its not a bad scheme if he does something like cram-md5 on the client side , where the client computes a hmac ( md5 hash plus a nonce salt ) and sends it to the server . The down side is that the server needs clear text password to check the hmac .	L R D A N P O V N P ^ P D N N , R D N V D N , ^ N V D N N , & V O P D N , D T N V P D N V A N N P V D N ,
good point about the rainbow attacks , didn't knew about this before . I also solved it by doing the encryption on the server side , but the idea was , that I wanted to encrypt the password , before sending it to the server , as we currently only use http and no https .	A N P D N N , V V P D R , O R V O P V D N P D N N , & D N V , P O V P V D N , P V O P D N , P O R R V ^ & D ^ ,
GWT is client-side and server side . Other than that , the post is good advice . Don't hash it on the client side . Have a look at http://www.owasp.org/index.php/Hashing_Java .	^ V A & N N , R P O , D N V A N , V V O P D N N , V D N P U ,
Another idea that may fit your need is something called zero knowledge auth . ( Ie . the server never needs to know the user's plain text password . ) Basically , when setting the initial password , the client hashes the user's password N times ( where N is a largish number like 1000 ) , and then sends that final hash to the server along with N . The server stores the hash and N . Later , when the user wants to authenticate , the server tells the client N-1 , and the client hashes the password the user types N-1 times and sends that to the server . The server does 1 more hash on the received hash , and ( hopefully ) gets the stored hash . The server then stores the N-1 hash and N-1 number . Each time the user authenticates , the server decrements the stored N and saves the previous hash . When N gets down to 0 , the user must choose and set a new password . The server must ensure that it never asks for the same iteration , otherwise it is vulnerable to a replay . You can't really enforce that condition from the client side because the client ( especially a browser ) can't reliably keep track of the last N .	D N P V V D N V N V $ N N , , G , D N R V P V D Z A N N , , R , O V D A N , D N V D Z N G N , R G V D A N P $ , , & R V D A N P D N P P G , D N V D N & G , R , R D N V P V , D N V D N G , & D N V D N D N V G N & V O P D N , D N V $ A N P D A N , & , R , V D A N , D N R V D G N & G N , D N D N V , D N V D V G & V D A N , R & V T P $ , D N V V & V D A N , D N V V P O R V P D A N , R O V A P D N , O V R V D N P D N N P D N , R D N , V R V N P D A G ,
Very interesting idea , and never thought of that before . Doesn't really fit in the current solution , but I will keep it in mind for future reference , thanks :-)	R A N , & R V P O R , V R V P D A N , & O V V O P N P A N , N E
Interesting idea so I spent some time thinking about it , but it is vulnerable to a man-in-the-middle attack . On an authentication request , the server sends some number M . The attacker sends ( M-1 ) to the client , and receives hash ( M-1 ) back . The attacker tries to authenticate again , receives challenge ( M-1 ) from the server and responds with hash ( M-1 ) . The attacker is now authenticated .	A N P O V D N V P O , & O V A P D A N , P D N N , D N V D N G , D N V , ^ , P D N , & V N , ^ , R , D N V P V R , V N , ^ , P D N & V P N , ^ , , D N V R V ,
yes , that does sound like an issue . My first thought would be to require the server to not reuse M after issuing it during a challenge to the client . However , the larger issue remains that Mallory could tell the client M-100 , collect the hash ( M-100 ) from the client , and then login up to 100 times with the intercepted hash . I'll have to go see if the project that I first encountered this in found the same issues and dealt with it or abandoned zero knowledge auth .	! , O V V P D N , D A N V V P V D N P R V G P V O P D N P D N , R , D A N V D ^ V V D N ^ , V D N , ^ , P D N , & R V T P $ N P D A N , L V P V V P D N P O R V D P V D A N & V P O & A $ N N ,
I think you're always going to be vulnerable to a man in the middle attack . Keyloggers too . Also drunken confessions of passwords . We can only raise the bar so far with reasonable coding efforts .	O V L R V P V A P D N P D A N , ^ R , R A N P N , O V R V D N R R P A N N ,
You can use gwt-crypto to generate SHA-1 hashes on the client side using :	O V V ^ P V ^ N P D N N V ,
You should never use an md5 or other hash functions for password encryption . See http://codahale.com/how-to-safely-store-a-password /	O V R V D ^ & A N N P N N , V U ,
Has anyone used GWT and can say it really delivers what it promises ?	V O V ^ & V V O R V O O V ,
I am a long time Java web developer and as most web developers I have used quite a lot of JavaScript . Even though I don't hate JavaScript as many other Java developers , I am still aware of its faults . GWT is a way to write javascript using java . Since I know both languages for a long time I am pretty skeptical about this claim . I mean , I having a hard time believing that you can really create full Java dynamic web applications with a rich GUI using just GWT . That is why I am asking here if anyone had the chance to work with GWT on a large scale project . If so , I would really like to hear what they think of it .	O V D A N ^ N N & R A N N O V V R D N P ^ , R P O V V ^ R A A ^ N , O V R A P D N , ^ V D N P V ^ V ^ , & O V D N P D A N O V R A P D N , O V , O V D A N V P O V R V A ^ A N N P D A ^ V R ^ , O V R O V V R P O V D N P N P ^ P D A N N , P R , O V R R P V O O V P O ,
Why the close ? This looks like an interesting question to me ..	R D A , D V P D A N P O ,
Some people have the bad habit of clicking ' close ' if they just don't like the question . I don't think this is subjetive nor argumentative at all	D N V D A N P N , N , P O R V P D N , O V V D V A & A P X
Did you end up using GWT ? Did it deliver ?	V O V T V ^ , V O V ,
Hi Dave , No , finally I decided not using it . My final conclusion was that GWT seems like a really good product and the people who use it mostly love it . Nevertheless , I feel like since GWT has a totally different way of doing things , it is a product that once you start using it , you commit for life . And that is something I really stay away from . Thanks for asking .	! ^ , ! , R O V R V O , D A N V D ^ V P D R A N & D N O V O R V O , R , O V V P ^ V D R A N P V N , O V D N P R O V V O , O V P N , & O V N O R V R P , N P V ,
I've looked at it briefly for an older application at one of my jobs , and I must admit that it was very impressive . All the code was written in Java , and the javascript was built beautifully . It had AJAX , dynamic pages , the works . There are plugins for it as well , such as the Ext GWT framework . It's definitely worth looking into and trying out , but you may find that the development cycle doesn't " feel " right , so you might opt to use regular JavaScript .	L V P O R P D A N P $ P D N , & O V V P O V R A , X D N V V P ^ , & D ^ V V R , O V ^ , A N , D V , X V N P O R R , R P D ^ ^ N , L R A V P & V T , & O V V P D N N V , V , R , P O V V P V A ^ ,
good point about the dev environment " feel . " GWT is definitely only for those that enjoy / tolerate the constraints of a language like Java .	A N P D N N , V , , ^ V R A P O O V , V D N P D N P ^ ,
As with any tool , it needs to be used properly . One can wield a hammer skillfully and build something nice , or just wave it around at stuff and do more harm than good . Google Wave , I think , has become the prototype of " what's possible " with GWT . It's still rather hard to find good GWT design patterns because the technology is too new , so that can harm efforts to develop a very rich , large-scale web app in GWT . Before beginning such a project , I would recommend looking at examples of the model-view-presenter ( MVP ) pattern and be sure to use it , or something like it , as a foundation for the control flow of your web app . One nice thing about GWT , and writing your code in Java , is that the high degree of abstraction and decoupling necessary for a clean MVP implementation is pretty easy ( thanks to the compiler ) .	R P D N , O V P V V R , O V V D N R & V R A , & R V O P O N & V A N P A , ^ N , O V , V V D N P , L A , P ^ , L R R R P V A ^ N N P D N V R A , P O V V N P V D A A , A N N P ^ , P V A D N , O V V V P N P D A , N , N & V A P V O , & N P O , P D N P D N N P D N N , $ A N P ^ , & V D N P ^ , V P D A N P N & V A P D A N N V R A , N P D N , ,
I've written fairly large sized app in GWT , and i have to say that i'm even more impressed by GWT than i was when the project started . My general ' feel ' of the platform is that things are really well thought out , and they don't do things unless they can do it well , and can do it well on all browsers ( IE users are still your users ! ) Now , keep in mind that what GWT really excels at is the creation of large , highly dynamic single-page style webapps . If your goal is to enhance an otherwise static page with some javascript effects , than GWT is massive overkill ( gquery may change this , but i don't have experience with gquery ) Some features I enjoy include : The ability to share code between the server side and the client side . ( if your server side is written in java , of course ) . I didn't expect to use this a lot of this at first , but in practice , it can really save a lot of code duplication . However , i find that in general , this only works with code that has been written with GWT in mind - using code that was not written with GWT in mind often doesn't work well . This is because GWT only has a subset of the classes in the JDK , and in javascript , you have to care about performance a lot more than you do on the server side . It aims to achieve the fastest javascript , faster than you would ever write by hand ( because if you did write it by hand , the code would be unmaintainable ) . The unfortunate reality is that the browsers that a lot of people use have incredibly slow javascript engines , so the performance of your javascript code matters a lot . Gwt's compiler is a real optimizing compiler - it will inline methods , intern all your strings . devirtualize your method calls when possible , etc . Because you are compiling for each browser and locale , the compiler can also inline browser-specific and locale-specific code . This Google I / O presentation has some benchmarks a few slides in . It will also automatically sprite your images together to minimize the number of http requests needed , again improving the speed of your site . GWT 2.0 will allow you to combine together arbitrary files . most of the files created by gwt have a strong hash as their filename , which lets you set the files to be cached forever , but not worry about people having old versions if the file changes The code splitting in GWT 2.0 is very impressive and would be very difficult to do by hand . As the size of your application grows , dealing with the size of your javascript matters more and more , and you need to be able to split it into chunks You are coding in a statically typed language . I know some people prefer dynamic typing , but i like to compare this debate to the emacs vs vi debate - there are a lot of smart people on both camps , and arguing on the internet isn't going to change anyone's preference You get to use a lot of the great tools that exist in the java ecosystem , which are generally a lot more mature than the equivilant javascript tools . - junit , java IDEs , java debuggers , refactoring , etc .	L V R A A N P ^ , & O V P V D L R R A P ^ P O V R D N V , D A , N , P D N V D N V R R V T , & O V V N P O V V O R , & V V O R P D N , ^ N V R D N , , R , V P N P O ^ R V P V D N P A , R A A N N , P D N V P V D R A N P D ^ N , P ^ V A N , ^ V V D , & O V V N P ^ , O V O V V , D N P V N P D N N & D N N , , P D N N V V P ^ , P N , , O V V P V D D N P D P R , & P N , O V R V D N P N N , R , O V O P A , D A V P N O V V V P ^ P N , V N O V R V P ^ P N R V V R , D V P ^ R V D N P D N P D ^ , & P ^ , O V P V P N D N R P O V P D N N , O V P V D A ^ , R P O V R V P N , & & O V V O P N , D N V V A , , D A N V P D N P D N P N V V R A ^ N , P D N P D ^ N V D N , Z N V D A V N , O V A N , N X D N , V D N V R A , G , P O V V P D N & N , D N V R V A & A N , D ^ G , G N V D N D A N P , O V R R P D N R P V D N P ^ N V , R V D N P D N , ^ $ V V O P V R A N , R P D N V P ^ V D A N P D N , O V O V D N P V V R , & R V P N V A N P D N V D N V P ^ $ V R A & V V R A P V P N , P D N P D N V , V P D N P D ^ V R & R , & O V P V A P V O P N O V V P D R V N , O V D N V A N , & O V P V D N P D N P ^ N , X V D N P A N P D N , & V P D N V V P V S N O V P V D N P D A N P V P D ^ N , O V R D N R A P D N ^ N , G ^ , ^ ^ , ^ N , V , G ,
Oh , and i guess the biggest downsides is : - compile time - hosted mode is great , but you can't currently use it for the system non-default browser - GWT 2.0 and out of process hosted mode should fix this though . - The java language can be verbose at times , although that is far from a showstopper . ( gwt for scala would be awfully nice :) )	! , & O V D A N V , , V N , V N V A , & O V R V O P D N A N , ^ $ & R P N V N V V D P , , D ^ N V V V P N , P O V A P D N , , ^ P ^ V V R A E ,
If you have familiarity with both JavaScript and Java , you really are perfectly suited to get the most out of GWT . What many people do not realize is that GWT is pretty well layered and that you can really decide which of those levels you want to work at . For instance , I sometimes write directly against the DOM library for projects . Thats a lot like writing JavaScript code except you're able to use an IDE properly and get the power of a compiler . From the compiler I get static type checking , lots of good compiler optimizations , and ( actually my favorite for maintaining code ) debug mode assertions . Nobody ever really makes much of the ability to do assertions , but it's so nice to be able to compile a debug mode that does expensive checks to tease out bugs and then turn off the debug mode and have the code just evaporate . ( Not just the assert statements go away , but all the code reachable from the asserts also gets compiled out ) . Other times , I write code against GWT's UI library . That code looks a bit like swing or SWT code so it is most comfortable to pure java developers . Working at this level , you don't have to worry as much about the DOM and it is usually possible to construct an application without writing any JavaScript . You do occasionally run into a bug where something doesn't work consistently on a particular browser . The GWT folks consider those bugs . You can kind of pick what level of abstraction you want to work at . There are tradeoffs at each level , but GWT should support them . Also , full disclosure : I'm the dude in the video that Chi linked above , so you might say I'm pretty attached to GWT .	& O V N P D ^ & ^ , O R V R V P V D A N P ^ , D A N V R V V D ^ V R R A & P O V R V D P O V O V P V P , P N , O R V R P D ^ N P N , L D N P V ^ N & L A P V D ^ R & V D N P D N , P D N O V A N V , N P A N N , & , R D N P V N , V N N , O R R V R P D N P V N , & L R A P V A P V D N N O V A N P V T N & R V T D N N & V D N R V , , R R D V N V R , & X D N N P D V R V V T , , A N , O V N P L ^ N , D N V D N P ^ & ^ N P O V R A P A ^ N , V P D N , O V V P V R A P D ^ & O V R A P V D N P V D ^ , O V R V P D N R N V V R P D A N , D ^ N V D N , O V N P V D N P N O V P V P , X V N P D N , & ^ V V O , R , A N , L D N P D N P ^ V P , P O V V L R V P ^ ,
I have created two quite substantial GWT applications in my three years at Google . It delivers what it promises - my apps were far more interactive and far more ajax-y than my knowledge of Javascript and my Javascript tooling would have let me produce using other tools . I also found the apps more interactive and more fun than the purely server-side alternatives I had used before moving to it . It is not free of warts , but it is a very productive environment to do the kinds of apps I do . And do watch Kelly's presentation . It , and some of the others from I / O , give a really clear idea of what GWT can do . You will pretty quickly get a good idea of whether it is the right tool for the task you are envisioning .	O V V $ R A ^ N P D $ N P ^ , O V O O V , D N V R R A & R A G P D N P ^ & D ^ N V V V O V V A N , O R V D N R A & A N P D R A N O V V P V P O , O V R A P N , & O V D R A N P V D N P V O V , & V V Z N , O , & D P D N P O , G , V D R A N P D ^ V V , O V R R V D A N P & O V D A N P D N O V V ,
I have been developing a green field application on GWT for a year and it has been surprisingly pleasant . The subset of Java used in GWT causes some headaches but nothing major after all . I didn't have too much JavaScript knowledge when I joined the project but I think that was not a problem . The common GWT related problems I have encountered had usually something to do with Ext GWT / GXT framework or FCKEditor integration .	O V V V D A N N P ^ P D N & O V V R A , D N P ^ V P ^ V D N & R A P X , O V V R A ^ N R O V D N & O V O V R D N , D ^ ^ A N G V V V R N P V P ^ ^ , ^ N & ^ N ,
Simply GWT rocks google is making " google wave " fully on GWT .	R ^ N ^ V V , ^ N , R P ^ ,
I think GWT does what it says on the tin ... Top 5 Reasons for choosing GWT : Tapestry can be overly complicated and the learning curve is pretty steep for new developers who are starting out  joining the team . Esp . on larger projects . I found that I could develop " richer " applications using GWT seeing that my strength is Java not Javascript . In order for me to implement similar functionality using Tapestry I would have to hand write Javascript which would later become a maintenance nightmare . Browser compatibility , I would spend large amounts of time trying to get my hand written Javascirpt to work on all the different browsers ( like I said Javascript is not my strength :-) The GWT Compiler hides me from this which results in me spending more time writing features . Back button blues , GWT's History listener is handles the browsers back button in comparison to Tapestry . GWT has a smaller footprint because only the data is being sent across the wire apposed to refreshing the entire page . The list goes on but all in all , I am very happy to have made the change and have not looked back since .	O V ^ V O O V P D N , A $ N P V ^ , ^ V V R A & D V N V R A P A N O V V T , V D N , ! , P A N , O V P O V V , A , N V ^ V P D N V ^ R ^ , P N P O P V A N V ^ O V V P V V V O V R V D N N , N N , O V V A N P N V P V D N V ^ P N P X D A N , P O V ^ V R D N E D ^ N V O P D D V P O V A N V N , R N N , Z N N V V D S N N P N P ^ , ^ V D A N & R D N V V V P D N V P V D A N , D N V P & R P X , O V R A P V V D N & V R V R P ,
I didn't know much Javascript when I tried to create my website . In fact , that is why I had been putting off creating the website . So for me , GWT made a huge difference as it enabled me to create a dynamic , cross-browser website that I definitely would not have been able to create without putting in significant effort into learning Javascript .	O V V A ^ R O V P V D N , P N , O V R O V V V T V D N , P P O , ^ V D A N P O V O P V D A , A N P O R V R V V A P V P V P A N P V ^ ,
I've done a few projects over a few years and it is fantastic . Going back to JS / JSP / request based framework is really horrible . Don't want to give up compile time checks , unit tests in my IDE , IDE refactoring etc , sharing code between different tiers , solid set of widgets , incredibly well thought out framework . Can do so much more so much faster in a maintainable way .	L V D A N P D A N & O V A , V R P ^ , ^ , N V N V R A , V V P V T V N V , N N P D ^ , ^ N G , V N P A N , A N P N , R R V T N , V V R R R R R R P D A N ,
There is a steep learning curve , but for really dynamic ui applications , there is just no way that you can build from hand in javascript as efficiently . What I mean in particular is for instance an application frontend for a service where all the searchable fields and result type s and length were completely unknown . For this type of thing , a dynamic runtime defined ui , there is nothing better than GWT in my opinion . The drawbacks are the steep learning curve ( especially for non-swing Java programmers , traditional request / response servlet api guys and gals ) and getting cornered into GWT once you make that decision .	X V D A V N , & P R A N N , X V R D N P O V V P N P ^ P R , O O V P A V P N D N N P D N R X D A N & N N G & N V R A , P D N P N , D A N A N , X V V R P ^ P D N , D N V D A V N , R P A ^ N , A N , N N ^ N & N , & V V P ^ R O V D N ,
